Наименование;Установленная мощность, МВА;Класс напряжения
Белореченская ГЭС;95;110/35/10
ПС 35 кВ Головное;0.95;35/6
Майкопская ГЭС;15;35/6
ПС 110 кВ Апшеронская;51.6;110/35/10/6
ПС 110 кВ Ерик;2.5;110/10
ПС 110 кВ Еленовская;16;110/35/10
ПС 110 кВ Новосвободная;2.5;110/10
ПС 110 кВ Очистные;32;110/35/10
ПС 110 кВ Промзона;20;110/10
ПС 110 кВ Северная;60.5;110/35/10/6
ПС 110 кВ Хаджох;29;110/35/10
ПС 110 кВ Ходзь;2.5;110/10
ПС 110 кВ Черёмушки;82.5;110/35/10
ПС 110 кВ Шовгеновская;32;110/35/10
ПС 110 кВ К-Кужорская;10;110/35/10
ПС 35 кВ БВД;8;35/10
ПС 35 кВ Белая;5;35/10
ПС 35 кВ Беляевская;2.5;35/10
ПС 35 кВ Бжедуховская;12.6;35/10
ПС 35 кВ Блечепсин;5;35/10
ПС 35 кВ Бройлерная;1.6;35/10
ПС 35 кВ Великое;8;35/10
ПС 35 кВ Веселое;2.5;35/10
ПС 35 кВ Гиагинская;12.6;35/10
ПС 35 кВ Гузерипль;1;35/10
ПС 35 кВ Даховская;10;35/10
ПС 35 кВ Дондуковская;4;35/10
ПС 35 кВ Дукмасово;4.1;35/10
ПС 35 кВ Егерухай;2.5;35/10
ПС 35 кВ Заводская;11.9;35/6
ПС 35 кВ Зарево;5;35/10
ПС 35 кВ Заречная;4;35/10
ПС 35 кВ Карьерная;2.5;35/10
ПС 35 кВ Калининская;5;35/10
ПС 35 кВ Комбизавод;5;35/10
ПС 35 кВ Кошехабль;8;35/10
ПС 35 кВ Красногвардейск;8;35/10
ПС 35 кВ Кужорская;5;35/10
ПС 35 кВ Курджипская;1;35/10
ПС 35 кВ Курская;3.6;35/10
ПС 35 кВ Майская;8.2;35/10/6
ПС 35 кВ Натырбово;3.2;35/10
ПС 35 кВ Новосевастопольская;1.8;35/10
ПС 35 кВ Первомайская;4.3;35/10
ПС 35 кВ Подлесная;0.4;35/0,4
ПС 35 кВ Промсточная;12.6;35/6
ПС 35 кВ Птицесовхоз;4;35/10
ПС 35 кВ Пшехская;3.2;35/10
ПС 35 кВ Рязанская;1.8;35/10
ПС 35 кВ Рязанская-2;5;35/10
ПС 35 кВ Садовая;5.6;35/10
ПС 35 кВ Самурская;1.8;35/10
ПС 35 кВ Степная;5;35/10
ПС 35 кВ Тульская;7.2;35/10
ПС 35 кВ Хамышки;1.8;35/10
ПС 35 кВ Хатукай;2.5;35/10
ПС 35 кВ Черниговская;2.5;35/10
ПС 35 кВ Чернышевская;5;35/10
ПС 35 кВ Чехрак;5;35/10
ПС 35 кВ Школьная;8;35/10
ПС 35 кВ Штурбино;1.6;35/10
ПС 35 кВ Элит;5;35/10
ПС 110 кВ Белореченская тяговая;55;110/35/27,5/6
ПС 110 кВ Ханская тяговая;20;110/27,5/10
ПС 110 кВ Комсомольская тяговая;20;110/10
ПС 110 кВ Тверская тяговая;10;110/10
ПС 110 кВ Куринская тяговая;20;110/10
ПС 110 кВ Кабардинская тяговая;20;110/10
ПС 110 кВ ГПП-1;80;110/10
ПС 35 кВ Майская;5;35/6
ПС 35 кВ Компрессорная;8;35/6
ПС 35 кВ Южная;20;35/6
ПС 35 кВ АСЗ;11.6;35/6
ПС 35 кВ Пшехская НПС;8;35/6
ПС 35 кВ К.Северный;2.5;35/6
ПС 35 кВ Карьерная-2;4;35/6
ПС 110 кВ Хадыженская;22.6;110/35/6
ПС 35 кВ Нефтегорская;8;35/6
ПС 35 кВ Ширванская;1.8;35/6
ПС 35 кВ Безводная;1.6;35/6
ПС 110 кВ ПДК;50;110/10
