№ п/п;Наименование центра питания;ref;Классы напряжения, кВ;Установленная мощность, МВА
1;Сигнал;1;110/10;50
2;Манжерокская;20;110/10;26
3;Горно-Алтайская;19;110/10;32
4;Майминская;14;110/10;50
5;Ининская;25;110/10;5
6;Онгудайская;24;110/10;12,6
7;Теньгинская;23;110/10;5
8;Урсульская;10;110/10;12,6
9;Артыбашская;11;35/10;5
10;Турачакская;18;110/10;12,6
11;Дмитриевская;12;110/10;5
12;Кебезеньская;17;110/35/10;12,6
13;Чойская;16;110/10;12,6
14;Рудничная;6;110/6;22,3
15;Кош-Агачская;37;110/10;20
16;Акташская;26;110/10;20
17;Улаганская;36;110/10;12,6
18;Усть-Канская;28;110/10;12,6
19;Черно-Ануйская;48;110/10;5
20;Абайская;29;110/10;5
21;Усть-Коксинская;30;110/10;12,6
22;Шебалинская;22;110/10;5
23;Барагашская;27;110/10;5
24;Чергинская;21;110/10;12,6
25;Эликманарская;15;110/10;12,6
