№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
368;ПС 1150 кВ Алтай;32;110/10
377;ПС 220 кВ Бийская РПП;400;220/110/35
380;ПС 220 кВ Власиха;560;220/110/35
383;ПС 220 кВ Горняк;188;220/110/6
420;ПС 220 кВ Светлая;265.12;220/110/10
429;ПС 220 кВ Троицкая Зап-Сиб. ПМЭС;51.26;220/35/10
441;ПС 220 кВ Чесноковская;400;220/110/35
460;ПС 330 кВ Южная;446.82;220/110/10
466;ПС 500 кВ Барнаульская;1002;500/220/10
476;ПС 500 кВ Рубцовская;1002;500/220/10
482;ПС 110 кВ Алтай КТПБ-110/10;41.13;110/10
