'№ п/п';'Наименование центра питания';'ref';'Класс напряжения, кВ';'Установленная мощность, МВА'
1;'Боровская';92;'35000/10000';1,6
2;'Моховская';80;'35000/10000';5
3;'Солнечная';95;'35000/10000';6,3
4;'Алейская';90;'110000/35000/10000';80
5;'Кашино';93;'110000/35000/10000';12,6
6;'Осколково';96;'110000/10000';8,8
7;'Коробейниково';72;'110000/10000';5,7
8;'Отрадное';71;'110000/10000';6,3
9;'Усть-Пристань';11;'110000/10000';12,6
10;'Половинкинская';'90а';'35000/10000';5
11;'Куяганская';38;'110000/10000';5
12;'Предгорная';34;'110000/10000';16,3
13;'Советская';89;'110000/35000/10000';20
14;'Шульгинская';17;'110000/6000';20
15;'Бирюзовая Катунь';30;'110000/10000';50
16;'Бия';68;'35000/10000';12,6
17;'Мало-Енисейская';80;'35000/10000';8
18;'Бехтемировская';52;'110000/10000';8,8
19;'Катунь';16;'110000/10000';5
20;'Лесная';15;'110000/10000';5
21;'Сростинская';8;'110000/35000/10000';12,6
22;'Угреневская';19;'110000/10000';5
23;'Востровская';52;'35000/10000';5
24;'Коминтерновская';42;'35000/10000';2,5
25;'Долинская';53;'35000/10000';1,6
26;'Новоегорьевская';32;'35000/10000';8
27;'Титовская';47;'35000/10000';1,6
28;'Ащегульская';59;'35000/10000';1,6
29;'Полуямки';43;'35000/10000';4,3
30;'Бор-Форпост';9;'110000/10000';6,3
31;'Волчихинская';25;'110000/35000/10000';16,3
32;'Шубинская';11;'110000/10000';12,6
33;'МЗХР';106;'110000/6000';20
34;'Михайловская';26;'110000/10000';20
35;'Николаевская';16;'110000/10000';5,7
36;'Полевая';18;'35000/6000';4
37;'Трофимовская';34;'35000/6000';50
38;'ГПП-4';3;'110000/35000/6000';80
39;'Заречная';7;'110000/35000/20000/10000';52
40;'Зеленый Клин';10;'110000/10000';32
41;'Новая';5;'110000/35000/6000';50
42;'Северо-Западная';4;'110000/35000/10000';80
43;'Локтевская';31;'35000/10000';4
44;'Ремовская';38;'35000/10000';9,6
45;'Второкаменская';36;'110000/10000';12,6
46;'Гилевская';7;'110000/10000';2,5
47;'Горняцкая';15;'110000/35000/6000';25
48;'Золотушинская';4;'110000/10000';6,3
49;'Верхпайвинская';18;'35000/10000';2,5
50;'Нижнечуманская';36;'35000/10000';6,5
51;'Ситниковская';15;'35000/10000';3,2
52;'Озерновская';35;'35000/10000';5
53;'Баевская';11;'110000/35000/10000';16,3
54;'Верхчуманская';28;'110000/10000';5
