№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
1;;10/70;676470, Амурская обл, Свободненский р-н, Углегорск п
2;Аэропорт;35/10;676290, Амурская обл, Тында г
3;Шахтаум;35/10;675000, Амурская обл, Тында г
4;Чалганы;35/6;676105, Амурская обл, Магдагачинский р-н, Чалганы п
5;Ольдой;35/6;676050, Амурская обл, Сковородинский р-н, Тахтамыгда п
6;11;35/6;676731, Амурская обл, Бурейский р-н, Талакан пгт
7;2;35/6;676731, Амурская обл, Бурейский р-н, Талакан пгт
8;5;35/6;676731, Амурская обл, Бурейский р-н, Талакан пгт
9;А;35/6;676770, Амурская обл, Райчихинск г, Райчихинск г
10;Александровка;35/10;676647, Амурская обл, Октябрьский р-н, Николо-Александровка с
11;Алексеевка;35/10;675000, Амурская обл, Ивановский р-н, Алексеевка
12;Амур;35/10;675000, Амурская обл, Благовещенск г
13;Амурсельмаш;35/10;676850, Амурская обл, Белогорск г
14;Анновка;110/10;676945, Амурская обл, Ивановский р-н, Анновка с
15;Арга;35/10;676365, Амурская обл, Серышевский р-н, Арга ст
16;Астрахановка;35/10;675000, Амурская обл, Благовещенск г
17;База;35/10;676770, Амурская обл, Райчихинск г, Райчихинск г
18;Базовая;35/10;676450, Амурская обл, Свободный г, Свободный г
19;Базовая;35/6;676246, Амурская обл, Зея г, Зея г
20;БАМ;110/35/10;676058, Амурская обл, Сковородинский р-н, Бам ж/д_ст
21;Белоярово;35/10;676541, Амурская обл, Мазановский р-н, Белоярово с
22;Белый Яр;35/10;676896, Амурская обл, Завитинский р-н, Белый Яр с
23;Береговая;35/10;676980, Амурская обл, Константиновский р-н, Константиновка с
24;Березовка;35/10;676925, Амурская обл, Ивановский р-н, Березовка с
25;Болдыревка;35/10;676891, Амурская обл, Завитинский р-н, Болдыревка с
26;Бомнак;35/10;676226, Амурская обл, Зейский р-н, Бомнак с
27;Бочкаревка;35/10;676380, Амурская обл, Серышевский р-н, Бочкаревка с
28;Бузули;35/10;676432, Амурская обл, Свободненский р-н, Черновка с
29;Бурейск;110/35/6;676722, Амурская обл, Бурейский р-н, Новобурейский рп
30;Васильевка;35/10;676821, Амурская обл, Белогорский р-н, Васильевка с
31;Верное;35/10;676376, Амурская обл, Серышевский р-н, Верное с
32;Верхняя Полтавка;35/10;676985, Амурская обл, Константиновский р-н, Верхняя Полтавка с
33;Винниково;35/10;
34;Винниково;35/10;676688, Амурская обл, Михайловский р-н, Винниково с
35;Виноградовка;35/10;676711, Амурская обл, Бурейский р-н, Виноградовка с
36;Владимировка;110/10;675004, Амурская обл, Благовещенский р-н, Владимировка с
37;Водозабор;35/10/6;675000, Амурская обл, Благовещенск г
38;Возжаевка;110/35/10;676810, Амурская обл, Белогорский р-н, Возжаевка с
39;Волково;110/35/10;675504, Амурская обл, Благовещенский р-н, Волково с
40;Воскресеновка;35/10;676340, Амурская обл, Шимановский р-н, Нововоскресеновка с
41;Восток;35/6;676770, Амурская обл, Райчихинск г
42;Восточная;35/10;676450, Амурская обл, Свободный г, Свободный г
43;Георгиевка;35/10;676332, Амурская обл, Шимановский р-н, Новогеоргиевка с
44;Горная;110/35/6;676230, Амурская обл, Зейский р-н, Горный п
45;Городская;35/10;676870, Амурская обл, Завитинский р-н, Завитинск г
46;Гуран;35/10;676413, Амурская обл, Свободненский р-н, Гуран с
47;Дамбуки;110/35/6;675000, Амурская обл, Зейский р-н, Дамбуки п
48;Дачная;110/10;675520, Амурская обл, Благовещенский р-н, Чигири с
49;Державинка;35/10;676355, Амурская обл, Серышевский р-н, Державинка с
50;Джалинда;35/10;676064, Амурская обл, Сковородинский р-н, Джалинда с
51;Дим;110/35/10;675000, Амурская обл, Тамбовский р-н, Дим с
52;Дмитриевка;35/10;676930, Амурская обл, Ивановский р-н, Дмитриевка с
53;Ерковцы;35/10;676941, Амурская обл, Ивановский р-н, Ерковцы с
54;ЖБИ;35/6;675000, Амурская обл, Бурейский р-н, Прогресс
55;Желтоярово;35/10;676437, Амурская обл, Свободненский р-н, Желтоярово с
56;Заводская;35/10;675000, Амурская обл, Свободненский р-н
57;Загорное;35/10;676413, Амурская обл, Свободненский р-н, Загорная Селитьба с
58;Западная;110/35/10;675000, Амурская обл, Благовещенск г
59;Заречное;35/10;676836, Амурская обл, Белогорский р-н, Заречное с
60;Зейская;35/10;675000, Амурская обл, Благовещенск г
61;Зеленый Бор;35/10;676691, Амурская обл, Михайловский р-н, Зеленый Бор с
62;Златоустовск;35/6;676564, Амурская обл, Селемджинский р-н, Златоустовск пгт
63;Знаменка;35/10;676614, Амурская обл, Ромненский р-н, Знаменка с
64;Ивановка;110/35/10;676930, Амурская обл, Ивановский р-н, Ивановка с
65;Игнатьево;110/10;676910, Амурская обл, Благовещенский р-н, Игнатьево с
66;Ильиновка;35/10;675000, Амурская обл, Михайловский р-н, Ильиновка с
67;Индустрия;35/10;676836, Амурская обл, Белогорский р-н, Заречное с
68;Иннокентьевка;35/10;676756, Амурская обл, Архаринский р-н, Иннокентьевка с
69;Казанка;35/10;676361, Амурская обл, Серышевский р-н, Казанка с
70;Калинино;35/10;676687, Амурская обл, Михайловский р-н, Калинино с
71;Касаткино;35/10;676754, Амурская обл, Архаринский р-н, Касаткино с
72;Кирпичная;110/10;675000, Амурская обл, Благовещенск г
73;Киселеозерка;35/10;676850, Амурская обл, Белогорский р-н, Киселеозерка с
74;Климоуцы;35/10;676404, Амурская обл, Свободненский р-н, Климоуцы с
75;Ключи;35/10;676983, Амурская обл, Константиновский р-н, Ключи с
76;Князевка;35/10;676802, Амурская обл, Белогорский р-н, Великокнязевка с
77;Коболдо;110/35/6;676566, Амурская обл, Селемджинский р-н, Коболдо пгт
78;Коврижка;35/10;676989, Амурская обл, Константиновский р-н, Коврижка с
79;Коммунальная;35/10;676850, Амурская обл, Белогорск г
80;Комплекс;35/10;676982, Амурская обл, Константиновский р-н, Крестовоздвиженка с
81;Комплекс;35/10;676870, Амурская обл, Завитинский р-н, Завитинск г
82;Комсомольская;35/10;676850, Амурская обл, Белогорск г
83;Кооперативная;110/10;675000, Амурская обл, Благовещенск г
84;Коршуновка;35/10;676682, Амурская обл, Михайловский р-н, Коршуновка с
85;Костюковка;35/10;676411, Амурская обл, Свободненский р-н, Костюковка с
86;Красноярово;35/10;676543, Амурская обл, Мазановский р-н, Красноярово с
87;Куприяновка;35/10;676882, Амурская обл, Завитинский р-н, Куприяновка с
88;Куропатино;35/10;676963, Амурская обл, Тамбовский р-н, Куропатино с
89;Ленинское;35/10;676747, Амурская обл, Архаринский р-н, Ленинское с
90;Лесная;35/10;676407, Амурская обл, Свободненский р-н, Орлинный п
91;Лозовое;35/10;676970, Амурская обл, Тамбовский р-н, Лозовое с
92;Лохвицы;35/10;676804, Амурская обл, Белогорский р-н, Лохвицы с
93;Луговая;35/10;676988, Амурская обл, Константиновский р-н, Новопетровка с
94;Мазаново;35/10;676540, Амурская обл, Мазановский р-н, Мазаново с
95;Максимовка;35/10;676630, Амурская обл, Октябрьский р-н, Максимовка с
96;Малиновка;35/10;676713, Амурская обл, Бурейский р-н, Малиновка с
97;Маргаритовка;35/10;676523, Амурская обл, Мазановский р-н, Маргаритовка с
98;Марково;35/10;675511, Амурская обл, Благовещенский р-н, Марково с
99;Мебельная;35/6;676770, Амурская обл, Райчихинск г, Райчихинск г
100;Металлист;35/10;675000, Амурская обл, Благовещенск г
101;Мехзавод;110/10/10;676246, Амурская обл, Зея г, Зея г
102;Михайловка;110/35/10;676670, Амурская обл, Михайловский р-н, Михайловка с
103;Моховая;35/10;675018, Амурская обл, Благовещенск г, Моховая Падь п
104;Муравьевка;35/10;676964, Амурская обл, Тамбовский р-н, Муравьевка с
105;Мухино;35/10;676310, Амурская обл, Шимановский р-н, Мухино с
106;Н. Михайловка;35/10;676638, Амурская обл, Октябрьский р-н, Новомихайловка с
107;Набережная;35/10;676740, Амурская обл, Архаринский р-н, Архара пгт
108;Нагорная;35/10;676850, Амурская обл, Белогорск г
109;Невер;35/6;676055, Амурская обл, Сковородинский р-н, Невер с
110;Некрасовка;110/35/10;676831, Амурская обл, Белогорский р-н, Некрасовка с
111;Николаевка;35/10;676962, Амурская обл, Тамбовский р-н, Николаевка с
112;Никольская;35/10;676834, Амурская обл, Белогорский р-н, Никольское с
113;Новая;110/10;675000, Амурская обл, Благовещенск г
114;Новоивановка;35/10;676418, Амурская обл, Свободненский р-н, Новоивановка с
115;Новорайчиха;35/6;675000, Амурская обл, Бурейский р-н, Новорайчихинск
116;Новосергеевка;35/10;676383, Амурская обл, Серышевский р-н, Новосергеевка с
117;Новотроицкая;35/10;675521, Амурская обл, Благовещенский р-н, Новотроицкое с
118;Обувная;35/6;676770, Амурская обл, Райчихинск г, Райчихинск г
119;Овсянка;35/10;676201, Амурская обл, Зейский р-н, Овсянка с
120;Огоджа;35/6;676567, Амурская обл, Селемджинский р-н, Огоджа пгт
121;Озерная;110/35/10;675000, Амурская обл, Октябрьский р-н, Озерное с
122;Октябрьская;110/35/6;676221, Амурская обл, Зейский р-н, Октябрьский с
123;Ольгинск;35/6;676563, Амурская обл, Селемджинский р-н, Ольгинск с
124;Орловка;35/10;676987, Амурская обл, Константиновский р-н, Орловка с
125;Отважное;35/10;676746, Амурская обл, Архаринский р-н, Отважное с
126;Панино;35/10;676630, Амурская обл, Октябрьский р-н, Панино с
127;Пера;35/10;676450, Амурская обл, Свободный г, Свободный г
128;Перевалбаза;35/6;676722, Амурская обл, Бурейский р-н, Новобурейский рп
129;Петровка;35/10;675525, Амурская обл, Благовещенский р-н, Новопетровка с
130;Петропавловка;35/10;676934, Амурская обл, Ивановский р-н, Петропавловка с
131;Поздеевка;35/10;676610, Амурская обл, Ромненский р-н, Поздеевка с
132;Полевая;110/35/10;676940, Амурская обл, Ивановский р-н, Константиноградовка с
133;Полтавка;35/10;676986, Амурская обл, Константиновский р-н, Нижняя Полтавка с
134;Поляна;35/10;676370, Амурская обл, Серышевский р-н, Поляна с
135;Портовая;110/10;675000, Амурская обл, Благовещенск г
136;Поярково;110/35/10;676680, Амурская обл, Михайловский р-н, Поярково с
137;Правовосточная;35/10;676946, Амурская обл, Ивановский р-н, Правовосточное с
138;Прибрежная;35/10;675000, Амурская обл, Михайловский р-н, Прибрежное с
139;Пригородное;35/10;676830, Амурская обл, Белогорский р-н, Пригородное с
140;Прогресс;35/6;676767, Амурская обл, Прогресс пгт, Прогресс пгт
141;Промежуточная;35/10;675000, Амурская обл, Сковородинский р-н
142;Промышленная;35/10;676850, Амурская обл, Белогорск г
143;Протока;35/10;676246, Амурская обл, Зея г, Зея г
144;ПРП;35/10;675000, Амурская обл, Благовещенск г
145;Птицефабрика;110/35/10;675000, Амурская обл, Благовещенск г
146;Раздольное;110/35/10;676961, Амурская обл, Тамбовский р-н, Раздольное с
147;Реммаш;35/10;676300, Амурская обл, Шимановск г
148;Речная;35/10;676246, Амурская обл, Зея г, Зея г
149;Рогозовка;35/10;676612, Амурская обл, Ромненский р-н, Рогозовка с
150;Родионовка;35/10;676735, Амурская обл, Бурейский р-н, Родионовка с
151;Романовка;35/10;676633, Амурская обл, Октябрьский р-н, Романовка с
