Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Архара;120;220/35/10
ПС 220 кВ Белогорская;206;220/110/35/10
ПС 220 кВ Благовещенская;250;220/110/35
ПС 220 кВ Дипкун;17,8;220/35/10
ПС 220 кВ Завитая;50;220/35/10
ПС 220 кВ Ключевая;29;220/35/10
ПС 220 кВ Ледяная;40;220/35/6
ПС 220 кВ Лопча;50;220/35/10
ПС 220 кВ Магдагачи;105;220/35/27,5/10
ПС 220 кВ Новокиевка;50;220/35/10
ПС 220 кВ НПС-24;50;220/10
ПС 220 кВ Призейская;50;220/35/10
ПС 220 кВ Рудная;63;220/110/6
ПС 220 кВ Светлая;603,6;220/110/35/10
ПС 220 кВ Свободненская;47,5;220/35/10
ПС 220 кВ Сиваки;93;220/110/6
ПС 220 кВ Сковородино;176;220/110/35/10
ПС 220 кВ Талакан;80;220/35/6
ПС 220 кВ Тунгала;50;220/35/10
ПС 220 кВ Тутаул;50;220/35/10
ПС 220 кВ Тында;206;220/110/35/10
ПС 220 кВ Уландочка;20;220/10
ПС 220 кВ Февральск;176;220/110/35/10
ПС 220 кВ Хани;50;220/35/10
ПС 220 кВ Хвойная;70;220/110/35
ПС 220 кВ Хорогочи;50;220/35/10
ПС 220 кВ Шимановск;50;220/35/10
ПС 220 кВ Энергия;100;220/35/10/6
ПС 220 кВ Юктали;50;220/35/10
ПС 500 кВ Амурская;1128;500/220/35
