№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;№1;110/35/10/6;113
2;№5 Варавино;35/6;12.6
3;№13;35/6;20
4;№69 Мебельная Фабрика;35/10;12.6
5;№79 Лес.Зав.№3;35/6;12.6
6;№2 Привокзальная;110/10;75
7;№6 Соломбальская;110/35/6;80
8;№7;110/35/6;50
9;№8;35/6;20
10;№18 Заостровье;35/10;8
11;№37 Бакарица;35/6;12.6
12;№9н;110/35/10;50
13;№10;35/10;20
14;№4;35/6;10.3
15;№61 Бревенник-2;35/10;12.6
16;№12 Кузнечевская;110/35/6;50
17;№15;35/10;5
18;№11 Нефтебаза;35/6;14
19;№75 Лапоминка;35/10;5
20;№14;110/10/6;80
21;№66 Ломоносовская;110/10;32
22;№70 Жаровиха;110/35/10;32
23;№16;35/10;5
24;№19;35/6;8
25;№20;35/6;2.8
26;№68 Промузловая;35/10;12.6
27;№27 Северодвинская;110/35/10;80
28;№60 ВОС-2;35/6;8
29;№33 Солза;35/6;12.6
30;№55;110/10;80
31;№59 Кехта;110/10;5
32;№42 Карпогоры;110/10;12.6
33;№41 Сийская;110/10;6.3
34;№43 Шилега;110/10;12.6
35;№47 Пинега;110/35/10;6.3
36;№51 Труфанова Гора;110/10;2.5
37;№64 Сояльская;110/10;5
38;№65 Кушкопала;110/10;2.5
39;№36;110/35/10;32
40;№62 Кегостров;110/10;12.6
41;№63 Ластола;110/10;12.6
42;№38;110/10;126
43;№67 Южная;110/10;32
44;№23 Луковецкая;110/35/10;20
45;№22 Тройная Гора;35/10;7.2
46;№34 Холмогоры;110/10;20
47;№39 Белогорская;110/10;2.5
48;№40 Угзеньга;110/10;2.5
49;№44 Усть-Мехреньга;110/10;2.5
50;№46 Брин-Наволок;110/10;5
51;№48 Емецк;110/10;12.6
52;№73 Хаврогоры;110/10;5
53;№76 Орлецы;110/10;12.6
54;№221 ВЛПБ;35/10;12.6
55;№209 Двинской Березник;110/35/10;20
56;№229 ШЛПБ;35/10;12.6
57;№201 Благовещенск;110/10;5
58;№202 Кокшеньга;110/10;5
59;№216 Пежма;35/10;3.2
60;№217 Ефремковская;35/10;3.2
61;№218 Большая Липовка;35/10;3.2
62;№219 Хозьмино;35/10;3.2
63;№220 Березник;35/10;2
64;№222 Долматово;35/10;6.4
65;№223 Солга;35/10;12.6
66;№224 Комсомольская;35/10;4
67;№226 Пайтово;35/10;4.1
68;№210 Рочегда;110/10;12.6
