"№ ПС/ТП";"Наименование";"Установленная мощность, МВА";"Классы напряжения"
588;"ПС 110 кВ Бузанская";12.6;"110/10"
589;"ПС 110 кВ В.Баскунчак";25;"110/35/10"
607;"ПС 220 кВ Баррикадная";291;"220/110/35/6"
616;"ПС 220 кВ Владимировка";146;"220/110/35/6"
620;"ПС 220 кВ Газовая";250;"220/110/10"
650;"ПС 220 кВ Лиман";104;"220/110/35/10"
666;"ПС 220 кВ Нефтепровод";126;"220/110/10"
688;"ПС 220 кВ Рассвет";251.26;"220/110/10"
717;"ПС 220 кВ Харабали";95;"220/110/10"
722;"ПС 220 кВ Черный Яр";126;"220/110/10"
746;"ПС 500 кВ Астрахань";668;"500/220/110/10"
