№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Восточная;110000/6000;31
2;Временная;35000/6000;10
3;Городская;110000/10000/6000;50
4;ЖБК;35000/6000;16,3
5;Кири-Кили;110000/10000;32
6;Кировская;35000/6000;20
7;Кубанская;35000/6000;2,5
8;Первомайская;110000/35000/10000;32
9;Прогресс;35000/6000;32
10;Северная;110000/10000/6000;80
11;Стекловолокно;35000/6000;30
12;Судостроительная;110000/6000;50
13;Трикотажная;110000/35000/6000;80
14;Царевская;110000/10000/6000;80
15;Царевская-2;35000/6000;4
16;ЦРП;110000/35000/10000;50
17;Юбилейная;110000/10000;80
18;Южная;110000/10000/6000;50
19;Аксарайская;110000/10000;32
20;Ахтубинская;110000/35000/10000;32
21;Дружба;110000/10000;6,3
22;Красный Яр;110000/10000;20
23;Сеитовка;110000/10000;12,6
24;Урусовка;110000/10000;6,3
25;Володаровка;110000/35000/10000;32
26;Зеленга;35000/10000;4
27;Марфино;35000/10000;6,5
28;Мултаново;35000/10000;4
29;Новинка;35000/10000;4
30;Тишково;35000/10000;5,6
31;Тумак;35000/10000;6,5
32;Яблонька;35000/6000;4
33;Горбаневка;35000/10000;3,2
34;Горбаневка-2;110000/35000/10000;16,3
35;Капустин Яр;110000/35000/10000;50
36;Пологое Займище;110000/6000;12,6
37;Садовая;35000/10000;4
38;Советская;110000/35000/10000;12,6
39;Бударино;35000/10000;4
40;Зензели;110000/35000/10000;12,6
41;Камышово;110000/35000/10000;6,3
42;Караванное;35000/10000;8
43;Михайловка;35000/10000;4
44;Оля;110000/10000;12,6
45;Яндыки;110000/35000/10000;13,8
46;Житное;110000/10000;6,3
47;Икряное;110000/10000;20
48;Киреты;35000/6000;1,6
49;Маячное;110000/10000;6,3
50;Мумра;110000/10000;6,3
51;Озерная;110000/10000;12,6
52;Оранжерейная;110000/10000;16,3
53;Труд-Фронт;110000/10000;11,9
54;Калиновка;35000/10000;4
55;Камызяк;110000/10000;6,3
56;Коммунар;110000/6000;10
57;Николо-Комаровка;110000/10000;12,6
58;Новинская;110000/10000;12,6
59;НС-5;35000/6000;2,5
60;Раздор;110000/35000/10000;20
61;Табола;110000/10000;16,3
62;Травино;35000/10000;10,3
63;Тузуклей;110000/10000;10
64;Увары;110000/35000/10000;16
65;Чаганская;110000/10000;12,6
66;Чапаевская;110000/6000;6,3
67;Ашулук;110000/10000;6,3
68;Вольное;110000/10000;12,6
69;Гремучая;35000/6000;2,5
70;Заволжская;35000/10000;6,3
71;Михайловка-1;35000/6000;4
72;Послеспадовая;35000/6000;2,5
73;Присельская;35000/10000/6000;12,6
74;Сасыколи;110000/35000/10000;16
75;Тамбовка;110000/35000/10000;10
76;ХВТ;35000/10000/6000;6,3
77;Хошеутово;110000/35000/10000;10
78;Бараний Бугор;35000/6000;2,5
79;Бирюковка;35000/10000;6,5
80;Водозабор;110000/6000;5
81;ВОС;110000/6000;12,6
82;Евпраксино;110000/35000/6000;12,6
83;Началово;35000/6000;13,8
84;Растопуловка;110000/10000;16
85;Фунтово;110000/10000;32
86;Береговая;110000/10000;8,8
87;Ватажная;110000/35000/6000;16
88;Ветлянка;110000/6000;6,3
89;Грачевская;35000/6000;10
90;Енотаевка;110000/10000;20
91;Косика;110000/10000;10
92;Ленино;110000/10000;2,5
93;Никольская;110000/10000;12,6
94;Сероглазовка;110000/10000;6,3
95;Солнечная;110000/6000;10
96;Вододелитель;110000/6000;20
97;Джакуевка;110000/10000;6,3
98;Интернациональная;35000/6000;9,6
99;Лесная;110000/35000/6000;40
100;Лесная - Новая;110000/35000/6000;40
101;Линейная;35000/10000;4
102;Нефтебаза;35000/6000;12,6
103;Николаевка;35000/10000;4
104;Окрасочная;110000/6000;20
105;Октябрьская;35000/6000;12,6
106;Прикаспийская;35000/10000;6,3
107;Промстройматериалы;110000/10000;32
108;Резиновая;110000/10000/6000;80
109;Стройиндустрия;110000/10000;32
110;Трусовская;35000/6000;32,5
111;Ахтуба;110000/6000;10
112;Батаевка;110000/10000;6,3
113;Водозабор-1;110000/6000;6,3
114;Джелга;110000/6000;12,6
115;Кочевая;110000/6000;10
116;Пироговка;110000/10000;16,3
117;Покровка;110000/6000;20
118;Рождественка;110000/10000;12,6
119;Удачное;110000/10000;10
120;Вязовка;110000/10000;2,5
121;Горная;110000/6000;16
122;Дальняя;110000/6000;10
123;Соленое займище;110000/10000;6,3
124;Солодники;110000/10000;10
125;Старица-2;110000/10000;6,3
126;Степная;110000/6000;6,3
127;Ступино;110000/6000;6,3
128;Ушаковка;110000/6000;20
129;Черный Яр-2;110000/10000;12,6
