Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ Вышков;20;110/10
ПС 110 кВ Индуктор;50;110/10
ПС 110 кВ Красная Гора;16,3;110/35/10
ПС 110 кВ Новозыбков;20;110/6
ПС 110 кВ Суземка;26;110/35/10
ПС 220 кВ Брянская;392;220/110/35/6
ПС 220 кВ Машзавод;250;220/110/10
ПС 220 кВ Найтоповичи;281;220/110/35/6
ПС 220 кВ Новобрянская;420;220/110/10
ПС 220 кВ Цементная;606;220/110/35/6
ПС 35 кВ Ивановка;5;35/10
ПС 35 кВ Лотаки;4,1;35/10
ПС 500 кВ Белобережская;1002;500/220/10
ПС 750 кВ Новобрянская;3504;750/500/220/10
