Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/35/6кВ Аксинино;1975;80;53.1103534583803;35.1007360373821
ПС 110/10кВ Аэропорт;1994;12.6;53.2172194107198;34.1381813350694
ПС 110/6кВ Бежицкая;1963;80;53.3035394298282;34.3194386835397
ПС 110/6кВ Белая Березка;1969;41;52.3847087873072;33.4857549037301
ПС 110/10кВ Бобовичи;1981;8.8;52.591937400005;31.7278821680761
ПС 110/10кВ Валуецкая;1972;10.3;52.7368639512219;33.3681508254461
ПС 110/6кВ Водозабор;1978;12.6;53.3247039859582;34.2152075689655
ПС 110/35/6кВ Водоочистная;1989;16.3;52.7722338683236;32.1819647049182
ПС 110/6кВ Высокое;1978;80;52.7688172566803;32.9411624918787
ПС 110/10кВ Глыбочка;1984;2.5;52.5017009326386;33.4907534162084
ПС 110/6кВ Городищенская;1974;75;53.2789259318628;34.2995969789974
ПС 110/10кВ Десятуха;1994;6.3;53.2789259318628;34.2995969789974
ПС 110/10кВ Добруньская;1971;12.6;53.1922702308307;34.2446078520332
ПС 110/35/6кВ Дормашевская;1964;126;53.2449797469667;34.3760271442746
ПС 110/35/10кВ Дубровская;1982;32;53.6992177509869;33.5153474547144
ПС 110/35/6кВ Дятьковская;1949;80;53.588249120587;34.3193835995584
ПС 110/35/10кВ Жуковская;1962;41;53.5184400091457;33.7311767863498
ПС 110/10кВ Залинейная;1983;16.3;52.7171782372704;32.2479627788287
ПС 110/6кВ Западная;1969;32;52.7593499372319;32.2089286310169
ПС 110/6кВ Заречная;1984;20;53.2158554381835;34.3769760492775
ПС 110/35/10кВ Ивайтенки;1980;6.3;52.785468358643;33.0567099733912
ПС 110/35/6кВ Ивотская;1989;50;53.6799748604605;34.1805015034006
ПС 110/6кВ Камвольная;1973;50;53.339284729667;34.2942818255058
ПС 110/6кВ Карачевская;1970;41;53.123422111918;34.9793309924499
ПС 110/6кВ Карачижская;1980;32;53.2282072193705;34.348677997364
ПС 110/35/10кВ Клетнянская;1974;32.3;53.3924076150023;33.2318561076629
ПС 110/35/10кВ Климово;1977;32;52.3716542561969;32.2113630088717
