№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Ярикто;35/10;3,5
2;Баргузин;110/35/10;22,6
3;Баянгол;110/35/10;12,6
4;Уро;110/10;6,3
5;Усть-Баргузин;110/35/10;20
6;Алтачей;35/10;2,5
7;Дунда-Киреть;35/10;3,2
8;Елань;35/10;8
9;Малый Куналей;35/10;5
10;Поселье;35/10;2,5
11;Шанага;35/10;4,1
12;Шибертуй;35/10;4,1
13;Бичура;110/35/10;20
14;Окино-Ключи;110/35/10;20
15;Авиационно-ремонтный завод (АРЗ);35/10;16,3
16;Бурятцелинстрой;35/10;12,6
17;Грязнуха;35/6;3,2
18;Зенит;35/10;8
19;Полигон;35/10;5
20;Таежная;35/10;8
21;Учебный полигон;35/10;0
22;Бурводстрой;110/10;50
23;Бурятферммаш;110/10;80
24;Верхняя Березовка;110/10;20
25;Западная;110/35/6;80
26;Медведчиково;110/10;80
27;Октябрьская;110/35/10;80
28;Улан-Удэнскптицефабрика (ПТФ);110/6;12,6
29;Шишковка;110/35/10;50
30;Энергетик;110/10;20
31;Южная;110/35/10;50
32;ЗММК;110/35;50
33;Тохой;35/10;5
34;Жаргаланта;35/10;5
35;Новоселенгинск;35/10;4,1
36;Ноехон;35/10;4,1
37;Нур-Тухум;35/10;2
38;Ташир;35/10;5
39;Харгана;35/10;3,2
40;Щучье Oзеро;35/10;4,1
41;УПБ-Щучье-Озеро;;0,63
42;Гусиноозерская;110/35/10/6;38,5
43;Завод;110/10;17,4
44;Тухум;110/6;10
45;Холбольджино;110/35/6;20
46;Енхор;35/10;4,1
47;Инзагатуй;35/10;4,1
48;Ичетуй;35/10;3,2
49;Нарын;35/10;4,1
50;Боргой;110/35/10;12,6
51;Бургултай;110/10;5
52;Джида;110/10;16,3
53;Петропавловка;110/10;16,3
54;Торей;110/35/10;14
55;Гунда;35/10;5
56;Телемба;35/10;3,2
57;Багдарин;110/35/10;12,6
58;Монгой;110/10;2,5
59;Романовка;110/35/10;12,6
60;Исинга;110/10;2,5
61;Комсомольская;110/10;5
62;Поперечное;110/10;2,5
63;Сосново - Озерск;110/35/10;10
64;Хиагда;110/10;12,6
65;Береза;35/10;8
66;Бройлерная;35/10;8
67;Джонка;35/10;3,2
68;Диванчик;35/6;8
69;Заиграево;35/10;12,6
70;Илька;35/10;10,3
71;Сосновый Бор;35/6;12,6
72;Татарский Ключ;35/10;5
73;Ташелан;35/10;3,2
74;Билюта;35/6;5
75;Курба;110/10;12,6
76;Новая;110/35/6;22,5
77;Эрхирик;110/10;8,8
78;Бургуй;35/10;5
79;Дутулур;35/10;5
80;Михайловка;35/10;3,6
81;Мыла;35/10;4,1
82;Нурта;35/10;2,6
83;Санага;35/10;3,2
84;Цаган-Морин;35/10;2
85;Инкурская;110/35/6;26
86;Гурульба;35/10;8
87;Нижняя Иволга;35/10;6,5
88;Оронгой;35/10;5
89;Хурумша;35/10;6,5
90;Наран;35/10;20
91;Иволга;110/35/10;41
92;Большая Речка;35/10;3,2
93;Брянск;35/10;5
94;Красный Яр;35/10;2,5
95;Оймур;35/10;3,2
96;Ранжурово;35/10;5
97;Романово;35/10;2,5
98;Творогово;35/10;3,2
99;Шергино;35/10;1,6
100;Клюевка;35/6;3,6
101;Сухая;35/10;20
102;Полигон;35/10;0
103;Тимлюйская;110/35/10/6;50
104;Байкало-Кудара;110/35/10;20
105;Кабанская;110/35/10;32
106;Селенгинская;110/35/6;11,8
107;Вознесеновка;35/10;2,5
108;Загустай;35/10;5
109;Кижинга;35/10;8
110;Кодунская;35/10;5,6
111;Усть - Орот;35/10;3,2
112;Чесан;35/10;2,5
113;В-2;35/10;5
114;Алла;35/10;3,2
115;Аргада;35/10;5
116;Барагхан;35/10;2,5
117;Курумкан;35/10;5,8
118;Майск;35/10;4,1
119;Сахули;35/10;2,5
120;Улюнхан;35/10;5
121;Могойто;110/35/10;20
122;Водоподъем;35/10;5
123;Мурочи;35/10;5
124;Наушки;35/10;5
125;Октябрьская;35/10;6,5
126;Перешеек;35/10;2,5
127;Усть-Кяхта;35/10;8
128;Шарагол;35/10;4,3
129;Большой Луг;110/10;2,5
130;Кудара Самон;110/35/10;20
131;Кяхта;110/35/10/6;37,6
132;Харанхой;110/35/10;32
133;Бом;35/10;1
134;Тугнуй;35/10;5
135;Хошун-Узур;35/10;5
136;Цолга;35/10;5
137;Шаралдай;35/10;5
