№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;"ПС 110/35/6 ""Ойсунгур""";110/35/6;50
2;"ПС 110/35/6 ""Гудермес""";110/35/6;32
3;"ПС 110/35/10 ""Шали""";110/35/10;32
4;"ПС 110/35/6 ""Цемзавод""";110/35/6;50
5;"ПС 110/35/10 ""Шелковская""";110/35/10;20
6;"ПС 110/35/10/6 ""Ищерская""";110/35/6;32
7;"ПС 110/35/10 ""Каргалиновская""";110/35/10;10
8;"ПС 110/35/6 ""Червленая""";110/35/10;12.6
9;"ПС 110/35/10 ""Наурская""   ";110/35/10;32
10;"ПС 110/35/6 ""Горячеисточненская""";110/35/6;32
11;"ПС 110/10 ""Алпатово""";110/10;6.3
12;"ПС 110/35/10 ""Горец""";110/35/10;50
13;"ПС 110/35/10 ""Самашки""";110/35/10;32
14;"ПС 110/35/10 ""Восточная""";110/35/10;50
15;"ПС 110/35/10 ""Октябрьская""";110/35/10;16
16;"ПС 110/10 ""Северная"" ";110/10;50
17;"ПС 110/35/6 ""Холодильник""";110/10/6;50
18;"ПС 110/10 ""Южная""";110/10;32
19;"ПС 110/10 ""ГРП-110""";110/35/10;55
20;"ПС 110/35/6 ""№ 84""";110/35/6;32
21;"ПС 110/35/10 ""Консервная""";110/35/10;32
22;"ПС 110/6 ""АКХП""";110/6;10
23;"ПС 35/6 ""Горская-3""";35/6;2.5
24;"ПС 35/10 ""Алхазурово""";35/10;6.5
25;"ПС 35/10 ""Ачхой-Мартан""";35/10;7.2
26;"ПС 35/6 ""Горская-1""";35/6;1.8
27;"ПС 35/10 ""Катыр-Юрт""";35/10;8
28;"ПС 35/10 ""Урус-Мартан""";35/10;10.4
29;"ПС 35/10 ""Урус-Мартан-1""";35/10;8
30;"ПС 35/6 ""Петропавловская""";35/6;4.3
31;"ПС 35/10 ""№56""";35/10;8
32;"ПС 35/6 ""Черноречье""";35/6;11.9
33;"ПС 35/10 ""Аэропорт""";35/10;4
34;"ПС 35/6 ""Калаус""";35/6;3.4
35;"ПС 35/6 ""Электроприбор""";35/6;11.9
36;"ПС 35/6 ""Старая Сунжа""";35/6;4
37;"ПС 35/10 ""Красноармейская""";35/10;8
38;"ПС 35/10 ""Тепличная""";35/10;8
39;"ПС 35/10 ""Западная""";35/10;8.8
40;"ПС 35/10 ""Ассиновская""";35/10;2.5
41;"ПС 35/10 ""Серноводская""";35/10;4
42;"КПС 35/10 ""Курчалой""";35/10;20
43;"ПС 35/10 ""Бачи-Юрт""";35/10;12.6
44;"ПС 35/6 ""Мединструмент""";35/6;3.2
45;"ПС 35/10 ""Энгель-Юрт""";35/10;6.3
46;"ПС 35/6 ""Бердыкель""";35/6;6.3
47;"ПС 35/10 ""Ведено""";35/10;4
48;"ПС 35/10 ""Махкеты""";35/10;5.6
49;"ПС 35/10 ""Шатой""";35/10;8
50;"ПС 35/10 ""Итум-Кале""";35/10;6.5
51;"ПС 35/10 ""Саясан""";35/10;3.2
52;"ПС 35/10 ""Ножай-Юрт""";35/10;10.3
53;"ПС 35/6 ""Беной""";35/6;5.8
54;"ПС 35/10 ""Сержень-Юрт""";35/10;6.5
55;"ПС 35/10 ""Предгорная""";35/10;6.5
56;"ПС 35/10 ""Капустино""";35/10;1.6
57;"ПС 35/10 ""Фрунзе""";35/10;2.5
58;"ПС 35/10 ""Бороздиновская""";35/10;1.6
59;"ПС 35/10 ""Башан""";35/10;1
60;"ПС 35/10 ""Майская""";35/10;1.6
61;"ПС 35/10 ""Степная""";35/10;1.6
62;"ПС 35/6 ""Озеро""";35/6;4.1
63;"ПС 35/10 ""Кирова""";35/10;5
64;"ПС 35/10 ""Корнеево""";35/10;2.5
65;"ПС 35/6 ""Толстой-Юрт""";35/6;7.2
66;"ПС 35/6 ""Конев""";35/6;2.5
67;"ПС 35/6 ""Знаменская""";35/6;8
68;"ПС 35/6 ""Правобережная""";35/6;4
69;"ПС 35/10 ""Николаевская""";35/10;2.5
70;"ПС 35/10 ""Ново-Щедринская""";35/10;2.5
71;"ПС 35/10 ""Калиновская""";35/10;5
72;"ПС 35/10 ""ИТК-2""";35/10;2.5
73;"ПС 35/10 ""Сар-Сакай""";35/10;1.6
74;"ПС 35/10 ""Старогладовская""";35/10;1.6
75;"ПС 35/10 ""Надтеречная""";35/10;6.5
76;"ПС 35/10 ""Постная""";35/10;1.6
77;"ПС 35/10 ""Братская""";35/10;2.5
78;"ПС 35/10 ""Гвардейская""";35/10;5
79;"ПС 35/10 ""Шелковская""";35/10;2.5
80;"ПС 35/10 ""Минеральная""";35/10;2.5
81;"ПС 110/10 ""Гудермес Сити""";110/10;50
82;"ПС 110/10 ""Черноречье-110""";110/10;32
83;"ПС 110/10 ""Курчалой-110""";110/10;50
