Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Исаково;380;220/110/10
ПС 220 кВ Карталы - 220;325;220/110/10
ПС 220 кВ КС-19;64;220/6/6
ПС 220 кВ Кунашак;94;220/110/35/10
ПС 220 кВ Мраморная;250;220/110/10
ПС 220 кВ Новометаллургическая;400;220/110/10
ПС 220 кВ Чебаркуль;490;220/110/10
ПС 500 кВ Златоуст;752,5;500/110/10
ПС 500 кВ Козырево;2002;500/220/110/10
ПС 500 кВ Кропачево;500;500/110/10
ПС 500 кВ Магнитогорская;1602;500/220/10
ПС 500 кВ Приваловская;250;500/110/10
ПС 500 кВ Смеловская;1001;500/220/110/10
ПС 500 кВ Челябинская;12,6;110/10
ПС 500 кВ Шагол;1502;500/220/110/10
