№ п/п;Наименование центра питания;Установленная мощность, МВА
1;ПС 110/35/6 Алатырь ;80
2;ПС 110/10  Алгаши ;8.8
3;ПС 110/35/10 Аликово ;32
4;ПС 110/10  Алтышево ;8.8
5;ПС 110/10 Атлашево;16.3
6;ПС 110/10 Атнашево ;12.6
7;ПС 110/10  Ачаксы ;12.6
8;ПС 35/10  Б.Баишево ;12.6
9;ПС 110/35/10 Батырево ;65
10;ПС 110/10  Бройлерная ;16.3
11;ПС 110/10  Буинск ;16.3
12;ПС 110/6  Восточная ;20
13;ПС 110/10  Вурманкасы;32
14;ПС 35/10 Вурманская ;12.6
15;ПС 110/35/10 Вурнары ;35
16;ПС 110/10 Динамо ;12.6
17;ПС 110/10 Дружба ;12.6
18;ПС 110/10  Заволжская ;32
19;ПС 110/6  Заовражная ;32
20;ПС 110/6  Западная ;66
21;ПС 110/10  Ибреси ;20
22;ПС 35/10  Известковая ;12.6
23;ПС 110/10  Кабельная ;50
24;ПС 35/10  Калинино ;8
25;ПС 110/10  Картлуево ;12.6
26;ПС 110/35/10  Катраси ;20
27;ПС 110/10  Кибечи ;16.3
28;ПС 35/10  Кильдюшево ;4
29;ПС 110/10/6  Кировская ;50
30;ПС 110/10  Киря ;8.8
31;ПС 110/10  Кожевенная ;12.6
32;ПС 110/10  Козловка ;20
33;ПС 110/35/10  Комсомольская ;32
34;ПС 110/35/10  Красноармейская ;20
35;ПС 35/10  Красномайская ;7.2
36;ПС 110/35/10 Красные Четаи;12.6
37;ПС 110/10  Кувакино ;5
38;ПС 110/10 Кугеси;20
39;ПС 110/35/10  Кукшум ;12.6
40;ПС 35/10  Кумаши ;8
41;ПС 110/10  Лапсары ;32
42;ПС 110/35/10  Лесная ;20
43;ПС 110/10  Луч ;12.6
44;ПС 110/10  Маяк ;2.5
45;ПС 110/35/10  Моргауши ;26
46;ПС 110/10  Нискасы ;10
47;ПС 110/35/10  Новая ;80
48;ПС 110/10  Новый город ;80
49;ПС 110/10  Октябрьская ;16.3
50;ПС 110/10  Оросительная ;6.3
51;ПС 110/6  Парковая ;32
52;ПС 110/10  Первомайская ;2.5
53;ПС 35/10  Первомайская ;12.6
54;ПС 35/10  Полевая ;8
55;ПС 110/35/10 Порецкая;32
56;ПС 110/10  Радуга ;50
57;ПС 110/10  Рассвет ;20
58;ПС 110/10  Россия ;11.9
59;ПС 110/10  Саланчики ;2.5
60;ПС 110/10  Светлая ;20
61;ПС 110/6  Северная ;25
62;ПС 110/10  Семеновская ;12.6
63;ПС 110/10  Слава ;12.6
64;ПС 35/10 Советская;6.4
65;ПС 35/6  Сосновка ;9.6
66;ПС 110/35/10  Спутник ;80
67;ПС 35/10 Старые Атаи;5
68;ПС 35/10  Стемассы ;5
69;ПС 110/6  Стрелка ;50
70;ПС 110/6  Студенческая ;72
71;ПС 110/10  Сугуты ;20
72;ПС 110/10  Сундырь ;16.3
73;ПС 35/6  Сура ;20
74;ПС 35/10  Таутово ;5
75;ПС 35/10  Тимерчеево ;5
76;ПС 110/6  Тиньговатово ;50
77;ПС 35/10 Тойси ;8
78;ПС 110/6 Тормозная ;50
79;ПС 35/10 Туруново ;12.6
80;ПС 35/10 Ударник ;5
81;ПС 110/35/6 Уржумка ;20
82;ПС 110/35/10 Урмары ;41
83;ПС 110/10 Хмельмаш ;20
84;ПС 110/10 Ходары ;12.6
85;ПС 35/10 Хыркасы ;6.5
86;ПС 110/35/10 Цивильск ;32
87;ПС 110/10 Чагаси ;6.3
88;ПС 35/10 Чандрово ;2.5
89;ПС 35/10 Чебаково ;2.5
90;ПС 35/10 Чурачики ;8
91;ПС 110/35/10 Шемурша ;30
92;ПС 35/10 Шигали ;7.2
93;ПС 35/10 Шимкуссы ;4
94;ПС 110/10 Шоркистры ;5
95;ПС 110/35/6  Шумерля ;21.3
96;ПС 110/6 Южная ;80
97;ПС 110/35/10 Яльчики ;20
98;ПС 35/6 Яманчурино ;4
99;ПС 110/35/10 ЯМЗ ;32
100;ПС 110/10 Яндоба ;12.6
101;ПС 110/35/10 Янтиково ;20
