№ п/п;Наименование центра питания;Классы напряжения. кВ;Установленная мощность. МВА
1;Алатырь ;110000/35000/6000;80
2;Алгаши ;110000/10000;8.8
3;Аликово ;110000/35000/10000;32
4;Алтышево ;110000/10000;8.8
5;Атлашево;110000/35000/10000;16.3
6;Атнашево ;110000/10000;12.6
7;Ачаксы ;110000/10000;12.6
8;Бичурга-Баишево;35000/10000;12.6
9;Батырево ;110000/35000/10000;65
10;Бройлерная ;110000/10000;16.3
11;Буинск ;110000/10000;16.3
12;Восточная ;110000/6000;20
13;Вурманкасы ;110000/10000;32
14;Вурманская ;35000/10000;12.6
15;Вурнары ;110000/35000/10000;35
16;Динамо ;110000/10000;12.6
17;Дружба ;110000/10000;12.6
18;Заволжская ;110000/10000;32
19;Заовражная ;110000/6000;32
20;Западная ;110000/6000;66
21;Ибреси ;110000/10000;20
22;Известковая ;35000/10000;12.6
23;Кабельная ;110000/10000;50
24;Калинино ;35000/10000;8
25;Картлуево ;110000/10000;12.6
26;Катраси ;110000/35000/10000;20
27;Кибечи ;110000/10000;16.3
28;Кильдюшево ;35000/10000;8
29;Кировская ;110000/10000/6000;50
30;Киря ;110000/10000;8.8
31;Кожевенная ;110000/10000;12.6
32;Козловка ;110000/10000;20
33;Комсомольская ;110000/35000/10000;32
34;Красноармейская ;110000/35000/10000;20
35;Красномайская ;35000/10000;7.2
36;Красные Четаи;110000/35000/10000;12.6
37;Кувакино ;110000/10000;5
38;Кугеси;110000/35000/10000;20
39;Кукшум ;110000/35000/10000;12.6
40;Кумаши ;35000/10000;8
41;Лапсары ;110000/10000;26
42;Лесная ;110000/35000/10000;20
43;Луч ;110000/10000;12.6
44;Маяк ;110000/10000;2.5
45;Моргауши ;110000/35000/10000;26
46;Нискасы ;110000/10000;10
47;Новая ;110000/35000/10000;80
48;Новый город ;110000/10000;80
49;Октябрьская ;110000/10000;16.3
50;Оросительная ;110000/10000;6.3
51;Парковая ;110000/6000;32
52;Первомайская ;110000/10000;2.5
53;Первомайская ;35000/10000;12.6
54;Полевая ;35000/10000;8
55;Порецкая;110000/10000;32
56;Радуга ;110000/10000;50
57;Рассвет ;110000/10000;20
58;Россия ;110000/10000;11.9
59;Саланчики ;110000/10000;2.5
60;Светлая ;110000/10000;20
61;Северная ;110000/6000;25
62;Семеновская ;110000/10000;12.6
63;Слава ;110000/10000;12.6
64;Советская;35000/10000;6.4
65;Сосновка ;35000/6000;9.6
66;Спутник ;110000/35000/10000;80
67;Старые Атаи;35000/10000;5
68;Стемассы ;35000/10000;5
69;Стрелка ;110000/6000;50
70;Студенческая ;110000/6000;72
71;Сугуты ;110000/10000;20
72;Сундырь ;110000/10000;16.3
73;Сура ;35000/6000;20
74;Таутово ;35000/10000;5
75;Тимерчеево ;35000/10000;5
76;Тиньговатово ;110000/6000;50
77;Тойси ;35000/10000;8
78;Тормозная ;110000/6000;50
79;Туруново ;35000/10000;12.6
80;Ударник ;35000/10000;5
81;Уржумка ;110000/35000/6000;20
82;Урмары ;110000/35000/10000;41
83;Хмельмаш ;110000/10000;20
84;Ходары ;110000/10000;12.6
85;Хыркасы ;35000/10000;6.5
86;Цивильск ;110000/35000/10000;32
87;Чагаси ;110000/10000;6.3
88;Чандрово ;35000/10000;2.5
89;Чебаково ;35000/10000;2.5
90;Чурачики ;35000/10000;8
91;Шемурша ;110000/35000/10000;30
92;Шигали ;35000/10000;7.2
93;Шимкуссы ;35000/10000;4
94;Шоркистры ;110000/10000;5
95;Шумерля ;110000/35000/6000;21.3
96;Южная ;110000/6000;80
97;Яльчики ;110000/35000/10000;20
98;Яманчурино ;35000/6000;4
99;ЯМЗ ;110000/35000/10000;32
100;Яндоба ;110000/10000;12.6
101;Янтиково ;110000/35000/10000;20
