№ ПС/ТП;Наименование;Установленная мощность, МВА
1;ПС 110/10 кВ «Дружба»;2.5
2;ПС 35/6 кВ «Жуково»;6.3
3;ПС 35/6 кВ «Карбушево»;2.5
4;ПС 35/10 кВ «Озерное»;2.5
5;ПС 110/35/6 кВ «Пеньки»;15
6;ПС 35/10 кВ «Мыт»;2.5
7;ПС 110/10 кВ «Воробьево»;2.5
8;ПС 35/10 кВ «Колшево»;1.6
9;ПС 35/10 кВ «Якимово»;1.6
10;ПС 110/35/10 кВ «Зарубино»;6.3
11;ПС 110/35/10 кВ «Новлянское»;6.3
12;ПС 110/10 кВ «Сеготь»;2.5
13;ПС 35/10 кВ «Филюково»;1.6
14;ПС 35/10 кВ «Гари»;2.5
15;ПС 110/10 кВ «Центральная»;10
16;ПС 35/6 кВ «СиМ-1»;4
17;ПС 110/6 кВ «Ивановская-15»;40
18;ПС 110/35/6 кВ «Ивановская-1»;70
19;ПС 110/35/6 кВ «Ивановская-2»;72
20;ПС 110/35/6 кВ «Ивановская-4»;126
21;ПС 35/6 кВ «Ивановская-5»;32
22;ПС 110/35/6 кВ «Ивановская-6»;126
23;ПС 110/6 кВ «Ивановская-7»;40
24;ПС 35/6 кВ «Ивановская-9»;32
25;ПС 110/6 кВ «Ивановская-10»;80
26;ПС 35/6 кВ «Ивановская-11»;20
27;ПС 110/6 кВ «Ивановская-14»;32
28;ПС 110/6 кВ «Кохма»;31
29;ПС 110/10 кВ «Богородское»;12.6
30;ПС 110/10 кВ «Бройлерная»;20
31;ПС 110/35/10 кВ «Водозабор»;20
32;ПС 110/10 кВ «Стройиндустрия»;26
33;ПС 110/35/6 кВ «Строммашина»;20
34;ПС 35/10 кВ «Дегтярево»;5
35;ПС 35/10 кВ «Ермолино»;4.1
36;ПС 110/6 кВ «Богданиха»;20
37;ПС 35/6 кВ «8 Марта»;32
38;ПС 110/35/6 кВ «Фурманов-1»;51.5
39;ПС 110/35/6 кВ «Фурманов-3»;50
40;ПС 35/6 кВ «Плес»;8
41;ПС 35/10 кВ «Снетиново»;5
42;ПС 110/35/6 кВ «Приволжск»;40
43;ПС 110/10 кВ «Рождествено»;5
44;ПС 110/35/6 кВ «Шуя-1»;63
45;ПС 110/35/10 кВ «Шуя-2»;50
46;ПС 110/10 кВ «Шуя-3»;80
47;ПС 110/10 кВ «Камешково»;32
48;ПС 110/35/6 кВ «Колобово»;50
49;ПС 110/35/10 кВ «Палех»;32
50;ПС 110/35/10 кВ «Китово»;20
51;ПС 35/10 кВ «Паново»;5
52;ПС 35/10 кВ «Ворожино»;6.5
53;ПС 35/10 кВ «Очистные сооружения»;3.2
54;ПС 35/10 кВ «Горячево»;5
55;ПС 35/10 кВ «Дубакино»;3.2
56;ПС 35/6 кВ «Панфилово»;1.12
57;ПС 35/10 кВ «Шуйско-Егорьевская»;4.6
58;ПС 35/10 кВ «Векино»;3.2
59;ПС 35/10 кВ «Афанасьевское»;6.5
60;ПС 35/10 кВ «Майдаково»;8
61;ПС 35/10 кВ «Дунилово»;5
62;ПС 110/10 кВ «Верещагино»;5
63;ПС 110/35/10 кВ «Демидово»;12.6
64;ПС 35/10 кВ «Пестяки»;8
65;ПС 35/10 кВ «Верхний Ландех»;8
66;ПС 35/3 кВ «№46»;3.6
67;ПС 35/6 кВ «№47»;2
68;ПС 110/35/6 кВ «Южа»;41
69;ПС 35/3 кВ «Мугреево»;2.43
70;ПС 35/10 кВ «Холуй»;4.3
71;ПС 110/35/10 кВ «Никольское»;8.8
72;ПС 110/10 кВ «Хотимль»;2.5
73;ПС 110/10 кВ «Узбекистан»;8.8
74;ПС 110/10 кВ «Волжская»;12.6
75;ПС 110/35/10 кВ «Журихино»;20
76;ПС 35/10 кВ «Тревражье»;3.2
77;ПС 35/10 кВ «Шилекша»;3.2
78;ПС 35/10 кВ «Мухортово»;8
106;ПС 110/35/10 кВ «Лежнево-110»;32
80;ПС 35/10 кВ «Батманы»;8
81;ПС 35/6 кВ «Водозабор»;16.3
82;ПС 35/10 кВ «Луговое»;8
83;ПС 35/10 кВ «Семеновская»;3.2
84;ПС 110/35/6-10 кВ «Заволжск»;31
85;ПС 35/10 кВ «Есиплево»;5
86;ПС 35/10 кВ «Жажлево»;5
87;ПС 110/35/6 кВ «Кинешма»;56.5
88;ПС 110/35/10 кВ «Лух»;20
89;ПС 35/10 кВ «Порздни»;4.1
90;ПС 35/10 кВ «Золотилово»;5
91;ПС 110/35/10 кВ «Пучеж»;32
92;ПС 110/6 кВ «Электроконтакт»;50
93;ПС 110/35/10 кВ «Юрьевец»;26
94;ПС 35/10 кВ «Елнать»;2.6
95;ПС 35/10 кВ «Костяево»;3.6
96;ПС 35/10 кВ «Зарайская»;3.2
97;ПС 35/10 кВ «Кандаурово»;3.2
98;ПС 110/10 кВ «Светоч»;31.3
99;ПС 110/10 кВ «Васильевская»;8.8
100;ПС 110/6 кВ «Родники»;50
101;ПС 110/10 кВ «Парское»;16.3
102;ПС 110/35/10 кВ «Острецово»;20
103;ПС 35/10 кВ «Филисово»;5
104;ПС 35/10 кВ «Горкино»;6.5
105;ПС 110/35/10 кВ «Аньково»;20
138;ПС 110/10/6 кВ «Залесье»;50
107;ПС 110/35/10 кВ «Гав.-Посад»;32
108;ПС 110/10 кВ «Ильинская»;16.3
109;ПС 35/10 кВ «Игрищи»;3.4
110;ПС 35/10 кВ «Нажерово»;3.2
111;ПС 35/10 кВ «Восточная»;2
112;ПС 110/35/10 кВ «Комсомольская»;26
113;ПС 110/10 кВ «Марково»;8.8
114;ПС 110/35/6 кВ «Отрадное»;20
115;ПС 35/10 кВ «Западная»;5
116;ПС 35/10 кВ «Воскресенское»;5
117;ПС 35/10/0,4 кВ «Вознесенье»;7.16
118;ПС 35/6 кВ «Лесная»;2
119;ПС 35/10 кВ «Северная»;8
120;ПС 35/10 кВ «Мелюшево»;5.6
121;ПС 110/10 кВ «Светиково»;5
122;ПС 35/10 кВ «Крапивново»;5
123;ПС 35/10 кВ «Н.-Леушино»;8
124;ПС 110/35/6 кВ «Южная»;12.6
125;ПС 110/6 кВ «Пелгусово»;16.3
126;ПС 110/35/6 кВ «Петровское»;50
127;ПС 35/6 кВ «ТБ-3»;5.7
128;ПС 35/10 кВ «Заречная»;8
129;ПС 35/10 кВ «Сокатово»;4.1
130;ПС 35/10 кВ «Бережок»;5.6
131;ПС 35/10 кВ «Савино»;8
132;ПС 110/10 кВ «Писцово»;20
133;ПС 110/10 кВ «Подозерская»;8.8
134;ПС 35/3 кВ «ОБ-4»;3.6
135;ПС 110/35/10 кВ «Боровое»;22.3
136;ПС 110/10 кВ «Осановец»;5
137;ПС 110/35/6 кВ «Тейково»;50
139;ПС 110/10 кВ «Ново-Талицы»;32
140;ПС 35/10 кВ «Кукарино»;2.5
79;ПС 35/10 кВ «Решма»;5
141;ПС 35/10 кВ «ф-ка Красина 35/10»;2.5
