№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;ПС Нальчик - 110;110/10/6;75
2;ПС СКЭП;110/10/6;50
3;ПС Телемеханика-1;110/10/6;65
4;ПС Искож;110/6;32
5;ПС Долинск;110/10/6;75
6;ПС Дубки;110/6;32
7;ПС Птицефабрика;110/6;16.3
8;ПС Чегем-2;110/35/10;32
9;ПС Водозабор;110/6;12.6
10;ПС Баксан-110;110/35/10;42
11;ПС Кызбурун;110/10;20
12;ПС Гунделен;110/10;12.6
13;ПС Плотина;110/10;6.3
14;ПС Малка;110/10;35
15;ПС Залукокоаже;110/10;16.3
16;ПС Каменномостская;110/35/10;12.6
17;ПС Нарткала;110/6;16.3
18;ПС Кахун;110/10;12.6
19;ПС Герменчик;110/10;6.3
20;ПС Заводская;110/10;32
21;ПС Псыгансу;110/10;12.6
22;ПС Старый Лескен;110/35/10;20
23;ПС Кашхатау;110/10;32
24;ПС Аушигер;110/35/10;10
25;ПС Прохладная-1;110/35/10;32
26;ПС Екатериноградская;110/10;2.5
27;ПС Майская;110/35/10;26
28;ПС Котляревская;110/10;10
29;ПС Терек-2;110/35/10;26
30;ПС Верхний Акбаш;110/35/10;6.3
31;ПС ЦРУ;110/6;12.6
32;ПС Адыл-Су;110/35/10;16.3
33;ПС Соцгородок;110/35/6;16
34;ПС Нейтрино;110/6;8.1
35;ПС РМЗ;110/6;10
36;ПС Чегем-1;35/6;12.6
37;ПС Лечинкай;35/6;4
38;ПС Нижний Чегем;35/10;2.5
39;ПС Баксан-35;35/10;12.6
40;ПС Куркужин;35/10;8
41;ПС Кременчуг-Константиновская;35/10;5
42;ПС Баксаненок;35/10;4
43;ПС Залукодес;35/10;12.6
44;ПС Сармаково;35/10;10.3
45;ПС Аргудан;35/10;4
46;ПС Старый Урух;35/10;4
47;ПС Лескен-1;35/10;2.5
48;ПС Советская;35/10;4
49;ПС ЦСБ;35/10;4
50;ПС Кара-Су;35/10;1.8
51;ПС Ново-Полтавская;35/10;8
52;ПС Саратовская;35/10;8
53;ПС Солдатская;35/10;8
54;ПС Пролетарская;35/10;2.5
55;ПС Прималкинская;35/10;10.3
56;ПС Заречная;35/10;4
57;ПС Дальняя;35/10;4
58;ПС Малакановская;35/10;1.6
59;ПС Ново-Ивановская;35/10;5
60;ПС Красная Нива;35/10;2.5
61;ПС Александровская;35/10;9.5
62;ПС Терек-1;35/10;4
;ПС ЗАИ;35/10;12.6
;ПС Акбаш-35;35/10;4
;ПС Верхний Курп;35/10;4
;ПС Нижний Курп;35/10;4
;ПС Пенькозавод;35/10;2.5
;ПС Терекская;35/10;4
;ПС Терскол;35/10;12.6
;ПС Чегет;35/6;4.3
;ПС Джайлык;35/10;1
;ПС Чалмас;35/6;2.5
;ПС Юго Восточная;110/10;50
