№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;"ПС 110/10 кВ ""Заречная""";110/10;1х6,3
2;"ПС 110/10 кВ ""Ильичевская"" ";110/10;1х6,3
3;"ПС 110/10 кВ ""ПРП""";110/10;1х25
4;"ПС 110/10/6 кВ ""Северная"" ";110/10/6;1х20 и 1х25
5;"ПС 110/10 кВ  ""Южная""";110/10;2х40
6;"ПС 110/6 кВ ""Головная"" ";110/6;2х6,3
7;"ПС 35/10 кВ ""Николаевская""";35/10;2х2,5
8;"ПС 35/10 кВ ""Новая-Джегута """;35/10;2х2,5
9;"ПС110/10/6 кВ ""Ток Москвы""";110/10/6;1х10 и 1х16
10;"ПС110/35/10/6кВ ""Усть-Джегута"" ";110/35/10/6;2х20
11;"ПС 110/6 кВ ""Цементная """;110/6;2х40
12;"ПС 35/10 кВ ""Эльтаркач""";35/10;1х2,5
13;"ПС 110/10/6 кВ ""Береговая """;110/10/6;2х10
14;"ПС 110/10 кВ ""Кавказская """;110/10;2х6,3
15;"ПС110/10 кВ ""Майская"" ";110/10;2х6,3
16;"ПС 110/10/6 кВ ""Октябрьская """;110/10/6;2х10
17;"ПС 35/10 кВ ""Бесленей"" ";35/10;2х2,5
18;"ПС 35/10кВ ""Икон-Халк"" ";35/10;1х2,5
19;"ПС 35/10кВ ""Кубан-Халк""";35/10;2х4
20;"ПС35/10/35 кВ ""Полевая "" ";35/10;1х2,5
21;"ПС 35/10 кВ ""Псаучье-Дахе""";35/10;2х4
22;"ПС 110/10 кВ ""Садовая """;110/10;1х10 и 1х6,3
23;"ПС 110/35/10 кВ ""Старокувинская"" ";110/35/10;1х6,3
24;"ПС 110/35/10/6 кВ ""Эркин-Шахар"" ";110/35/10/6;1х10 и 1х16
25;"ПС 35/10 кВ ""Эрсакон""";35/10;1х4 и 1х6,3
26;"ПС 110/10/6 кВ ""Академическая""";110/10/6;1х25
27;"ПС 35/10кВ ""Архыз""";35/10;2х4
28;"ПС 35/10кВ ""Буково"" ";35/10;1х2,5
29;"ПС 110/35/10 кВ ""Зеленчук """;110/35/10;1х16 и 1х20
30;"ПС 35/10 кВ ""Исправная"" ";35/10;1х4
31;"ПС 35/10кВ ""Кардоникская"" ";35/10;1х6,3
32;"ПС 110/10кВ ""Кош-Хабль""";110/10;2х6,3
33;"ПС 110/10кВ ""Курджиново"" ";110/10;1х6,3
34;"ПС 110/10кВ ""Маруха"" ";110/10;1х2,5
35;"ПС 110/35/6кВ ""Преградная"" ";110/35/6;2х25
36;"ПС 35/10 кВ ""Ратан""";35/10;1х4
37;"ПС 110/10 кВ ""Салихо""";110/10;1х2,5
38;"ПС 110/10 кВ ""Сторожевая""";110/10;2х6,3
39;"ПС 110/10 кВ ""Хабез"" ";110/10;2х6,3
40;"ПС 110/10 кВ ""Чапалы"" ";110/10;2х16
41;"ПС 35/10 кВ ""Электроизолит"" ";35/10;1х4
42;"ПС 110/10 кВ ""БСР"" ";110/10;1х2,5
43;"ПС 110/10 кВ ""Гоначхир""";110/10;2х10
44;"ПС 110/10 кВ ""Горная"" ";110/10;2х6,3
45;"ПС 110/10 кВ ""Карачаевск"" ";110/10;1х16 и 1х63
46;"ПС 110/10 кВ ""Кубанская"" ";110/10;1х10 и 1х16
47;"ПС110/35/10 кВ ""Поляна"" ";110/35/10;1х2,5 и 1х6,3
48;"ПС 110/10 кВ ""Сары-Тюз"" ";110/10;1х10
49;"ПС 110/10 кВ ""Теберда"" ";110/10;1х10
50;"ПС 35/6 кВ ""Учкулан"" ";35/6;1х2,5
51;"ПС35/10 кВ ""Худес"" ";35/10;1х2,5
52;"ПС 35/10 кВ ""Биче-Сын""";35/10;1х4
53;"ПС 35/10 кВ ""Конзаводская"" ";35/10;1х4
54;"ПС 35/10 кВ ""Красный Восток""";35/10;2х4
55;"ПС 35/10 кВ ""Кичи-Балык """;35/10;2х2,5
56;"ПС 35/10 кВ ""Первомайская""";35/10;2х4
57;"ПС 35/10 кВ ""Терезе"" ";35/10;2х2,5
58;"ПС 110/35/10 кВ ""Учкекен"" ";110/35/10;1х16
59;"ПС 35/6 кВ ""Эшкакон"" ";35/6;2х1,6
60;"ПС 110/10 кВ ""Горный Воздух""";110/10;1х2,5
61;"ПС 110/10 ""Лунная Поляна""";110/10;2х40
62;"ПС 35/10 ""Романтик""";35/10;2х16
