Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ НПС;50;110/6
ПС 220 кВ Афипская;250;220/110/10
ПС 220 кВ Брюховецкая;271,3;220/110/35/10
ПС 220 кВ Бужора;250;220/110/10
ПС 220 кВ Витаминкомбинат;520;220/110/35/10/6
ПС 220 кВ Восточная;864;220/110/35/10
ПС 220 кВ Восточная промзона;410;220/110/10
ПС 220 кВ Вышестеблиевская;282;220/110/10
ПС 220 кВ Горячий Ключ;192;220/110/35/10
ПС 220 кВ Дагомыс;480;220/110/10
ПС 220 кВ Каневская;100;220/35/27,5
ПС 220 кВ Кирилловская;450;220/110/35/10/6
ПС 220 кВ Крыловская;145;220/110/35/10/6
ПС 220 кВ Крымская;416;220/110/10/6
ПС 220 кВ Ново-Лабинская;330;220/110
ПС 220 кВ НПС-7;80;220/10
ПС 220 кВ НПС-8;50;220/10
ПС 220 кВ Поселковая;300;220/110/10
ПС 220 кВ Псоу;400;220/110/35/10
ПС 220 кВ Светлая;603,6;220/35/10
ПС 220 кВ Староминская;300;220/110/35/10
ПС 220 кВ Тверская;120;220/110/6
ПС 220 кВ Усть-Лабинск;136,3;220/110/35/10
ПС 220 кВ Шепси;155;220/110/10
ПС 330 кВ Армавир;930;330/220/110/10
ПС 330 кВ Кропоткин;242;330/110/10/6
ПС 500 кВ Кубанская;1668,5;500/220/110/35/10/6
ПС 500 кВ Тамань;1566;500/220/10
ПС 500 кВ Тихорецк;1876,3;500/330/220/110/35/10/6
ПС 500 кВ Центральная;1392;500/330/110/10
ПС 220 кВ Славянская;260;220/110/10
РП 220 кВ Черноморская;25;220/10
