№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
;ПС 110 кВ Кущевская;63;110/35/6
;ПС 110 кВ Ленинградская;32;110/35/10
;ПС 110 кВ Червонная;2.5;110/10
;ПС 110 кВ Шкуринская;10;110/35/10
;ПС 110 кВ Ромашки;10;110/10
;ПС 110 кВ Ейск-2;41;110/6
;ПС 110 кВ Моревская;20;110/35/10
;ПС 110 кВ Ясенская;26;110/35/10
;ПС 110 кВ Старощербиновская;20;110/35/10 
;ПС 110 кВ Щербиноский свиносовхоз;16;110/35/10
;ПС 110 кВ Ейск;57;110/35/6 
;ПС 35 кВ Копанская;5;35/10
;ПС 35 кВ Ясенская;2.5;35/10
;ПС 35 кВ Камышеватская;5;35/10
;ПС 35 кВ Лиманская;2.5;35/10
;ПС 35 кВ Советская;2.5;35/10
;ПС 35 кВ Плодоовощ;2.5;35/10
;ПС 35 кВ Путь к коммунизму;2.5;35/10
;ПС 35 кВ Ейский зерносовхоз;4;35/10
;ПС 35 кВ Кухаревская;2.5;35/10
;ПС 35 кВ Урожайная;5;35/10
;ПС 35 кВ Должанская;4;35/10
;ПС 35 кВ Азовец;4;35/10
;ПС 35 кВ Александровская;6.5;35/10
;ПС 35 кВ Ейский свиносовхоз;2.5;35/10
;ПС 35 кВ Средняя Чубурка;1.6;35/10
;ПС 35 кВ Большая Козинка;2.5;35/10
;ПС 35 кВ Исаевская;4;35/10
;ПС 35 кВ Большая Лопатина;1.6;35/10
;ПС 35 кВ Элеватор;8;35/10
;ПС 35 кВ Казачья;1.8;35/10
;ПС 35 кВ Слюсаревская;4;35/10
;ПС 35 кВ  Ильинская;2.5;35/10
;ПС 35 кВ Глебовская;1.8;35/10
;ПС 35 кВ Полтавченская;1.6;35/10
;ПС 35 кВ Раздольная;2.5;35/10
;ПС 35 кВ Первомайская;3.2;35/10
;ПС 35 кВ Шкуринская;3.2;35/10
;ПС 35 кВ Степнянская;4;35/10
;ПС 35 кВ Кущевская;10;35/10
;ПС 35 кВ Кисляковская;2.5;35/10
;ПС 35 кВ Новомихайловская;1.6;35/10
;ПС 35 кВ Ленинградская;11;35/10
;ПС 35 кВ Рощинская;8;35/10
;ПС 35 кВ Куликовская;3.2;35/10
;ПС 35 кВ 2-ая Пятилетка;4;35/10
;ПС 35 кВ Новоплатнировская;5;35/10
;ПС 35 кВ Образцовая;5;35/10
;ПС 35 кВ Украинская;2.5;35/10
;ПС 35 кВ Белая;2.5;35/10
;ПС 35 кВ Уманская;2.5;35/10
;ПС 35 кВ Соревнование;2.5;35/10
;ПС 35 кВ Крыловская;5;35/10
;ПС 35 кВ Крыловская-2;2.5;35/10
;ПС 35 кВ Коржи;2.5;35/10
;ПС 35 кВ Сторожевская;1.6;35/10
;ПС 35 кВ Заводская;2;35/0,4
;ПС 35 кВ Канеловская;2.5;35/10
;ПС 35 кВ Канеловская-2;2.5;35/10
;ПС 35 кВ Староминский зерносовхоз;1.6;35/10
;ПС 35 кВ Староминский зерносовхоз-2;2.5;35/10
;ПС 35 кВ Ясени;1.6;35/10
;ПС 35 кВ Трудовая;5;35/10
;ПС 35 кВ Ей-Укрепление;2.5;35/10
;ПС 35 кВ Екатериновка;2.5;35/10
;ПС 35 кВ Глафировка;2.5;35/10
;ПС 35 кВ Шабельск;4;35/10
;ПС 35 кВ Загорская;2.5;35/10
;ПС 35 кВ Новощербиновская;5;35/10
;ПС 35 кВ Нерест;4;35/10
;ПС 35 кВ Моревская;1.8;35/10
;ПС 110 кВ Староминская тяговая;50;110/27,5/10
;ПС 110 кВ Степная тяговая;63;110/27,5/10
;ПС 110 кВ НПС ;32;110/27,5/10
;ПС 110 кВ Кисляковская тяговая;63;110/27,5/10
;ПС 110 кВ Джигинская;50;110/35/10
;ПС 110 кВ Анапская;120;110/35/10
;ПС 110 кВ Джемете;90;110/35/10/6
;ПС 110 кВ Гостагаевская;10;110/10
;ПС 110 кВ Сукко;10;110/10
;ПС 35 кВ Виноградная;2.5;35/6
;ПС 35 кВ Анапа;24.3;35/6
;ПС 35 кВ Школьная;3.2;35/10
;ПС 35 кВ Пионерская;32;35/10
;ПС 35 кВ Благовещенская;10;35/10
;ПС 35 кВ Малый Разнокол;2.5;35/10
;ПС 35 кВ Котлома;6.3;35/10
;ПС 35 кВ Аэропорт;10.3;35/10
;ПС 110 кВ Новотроицкая;20;110/35/10
;ПС 110 кВ КПТФ;16.3;110/10
;ПС 110 кВ Варениковская;45;110/35/10/6
;ПС 110 кВ Троицкий водозабор;50;110/10/6
;ПС 110 кВ Пролетарская;10;110/6
;ПС 110 кВ Никитинская;16;110/35/10
;ПС 35 кВ Неберджай;1.6;35/10
;ПС 35 кВ Мерчанская;4;35/10
;ПС 35 кВ Адагумская;5;35/10
;ПС 35 кВ Баканская;5.6;35/10
;ПС 35 кВ Саук-Дере-6;2.5;35/6
;ПС 35 кВ Садовая;2.5;35/10
;ПС 35 кВ Новоукраинская;5;35/6
;ПС 35 кВ Саук-Дере-10;2.5;35/10
;ПС 35 кВ Ленинский путь;5;35/10
;ПС 35 кВ Насосная-13;2.5;35/10
;ПС 35 кВ Насосная-10;5;35/6
;ПС 35 кВ III подъем;20;35/6
;ПС 110 кВ Сухой порт;12.6;110/10
;ПС 110 кВ Геленджик;120;110/35/10/6
;ПС 110 кВ Дивноморская;20;110/35/10
;ПС 110 кВ Береговая;12.6;110/10
;ПС 110 кВ Архипо-Осиповка;50;110/10
;ПС 110 кВ Тонкий Мыс;50;110/10
;ПС 110 кВ Прасковеевка;10;110/10
;ПС 35 кВ Марьина Роща;2.5;35/6
;ПС 35 кВ Толстый Мыс;20;35/6
;ПС 35 кВ Совхозная;2.5;35/10
;ПС 10 кВ Кабардинка;20;10/6
;ПС 110 кВ Холмская;35;110/35/6
;ПС 110 кВ Абинская;32;110/35/6
;ПС 110 кВ Звезда;16;110/35/6
;ПС 110 кВ Хабль;6.3;110/10
;ПС 110 кВ Ахтырская;20;110/10
;ПС 110 кВ Новая;5;110/10
;ПС 35 кВ Мингрельская;2.5;35/10
;ПС 35 кВ Федоровская;5;35/10
;ПС 35 кВ Ольгинская;2.5;35/10
;ПС 35 кВ Красный Октябрь;4.1;35/10
;ПС 35 кВ Родина;2.5;35/10
;ПС 35 кВ Элеваторная;6.5;35/6
;ПС 35 кВ Насосная-8;5;35/6
;ПС 35 кВ Насосная-12;2.5;35/6
;ПС 35 кВ Насосная-19;2.5;35/6
;ПС 35 кВ Насосная-1;1.8;35/6
;ПС 110 кВ Новороссийск;111.5;110/35/10/6
;ПС 110 кВ Тоннельная;56.3;110/35/6
;ПС 110 кВ РИП;80;110/10
;ПС 110 кВ НовоРЭС;41;110/6
;ПС 110 кВ Северо-Западная;20;110/10
;ПС 110 кВ Южная;50;110/10/6
;ПС 110 кВ ДСК;26;110/6
;ПС 110 кВ Широкая балка;22.3;110/10
;ПС 110 кВ Солнечная;12.6;110/35/10
;ПС 35 кВ Абрау-Дюрсо;8;35/10
;ПС 110 кВ Западная;20;110/35/6
;ПС 35 кВ Гайдук;12.8;35/6
;ПС 110 кВ Раевская-110;26;110/35/10
;ПС 35 кВ Раевская-35;5.6;35/6
;ПС 110 кВ Первомайская;80;110/6
;ПС 35 кВ Горный;0.4;35/0,4
;ПС 35 кВ Заречье;0.32;35/0,4
;ПС 110 кВ Неберджаевская;20;110/6
;ПС 110 кВ Троицкая А-1;10;110/35/6
;ПС 110 кВ Троицкая А-4;20;110/6
;ПС 110 кВ Пенайская;20;110/35/6
;ПС 110 кВ Пролетарий;126;110/6
;ПС 110 кВ Лесной порт;32;110/35/10
;ПС 110 кВ Крымская тяговая;80;110/27,5/10
;ПС 110 кВ Гайдук тяговая;80;110/27,5/10
;ПС 35 кВ Киевская;1.8;35/6
;ПС 35 кВ Мелехово;4.3;35/6
;ПС 35 кВ Абинская-35;10.3;35/6
;ПС 35 кВ Ахтырская-35;12.6;35/6
;ПС 35 кВ Фадеево;1;35/6
;ПС 35 кВ Гусева Балка;2.8;35/6
;ПС 35 кВ Бугундырь;8;35/6
;ПС 35 кВ Шесхарис;4;35/6
;ПС 35 кВ Атакай;3.4;35/6
;ПС 35 кВ Кирилловская нефтебаза;4;35/6
;ПС 110 кВ Новоросметалл;103;110/35/6
;ПС 110 кВ КНПС;32;110/35/6
;ПС 110 кВ Нефтеналивная;6.3;110/10
;ПС 35 кВ Союз-Вино;1;35/6
;ПС 35 кВ Бауцентр;2.5;35/0,4
;ПС 35 кВ Ключавто;1.26;35/0,4
;ПС 110 кВ Русская;10;110/10
;ПС 110 кВ Казачья;6.3;110/10
;ПС 110 кВ Геопорт;50;110/10
;ПС 35 кВ Насосная-2;2.6;35/6
;ПС 35 кВ Насосная-6;2.5;35/6
;ПС 110 кВ Стрела;2.5;110/10
;ПС 35 кВ Электроаппарат;5;35/6
;ПС 110 кВ Десантник;80;110/10/10
;ПС 110 кВ Ладожская;32;110/35/10
;ПС 110 кВ Тбилисская;50;110/35/10
;ПС 110 кВ Кореновская;50;110/35/10
;ПС 110 кВ Геймановская;16;110/35/10
;ПС 110 кВ Журавская;17.5;110/35/10
;ПС 110 кВ Рассвет;26;110/35/10
;ПС 110 кВ Выселки;50;110/35/6
;ПС 110 кВ Бузиновская;2.5;110/10
;ПС 35 кВ АГНКС;10.3;35/10
;ПС 35 кВ Усть-Лабинская-2;12.6;35/10
;ПС 35 кВ Сельхозтехника;12.6;35/10
;ПС 35 кВ Воронежская;4;35/10
;ПС 35 кВ Железнянская;2.5;35/10
;ПС 35 кВ Кирпильская;2.5;35/10
;ПС 35 кВ Откормбаза;2.5;35/10
;ПС 35 кВ Восточная;2.5;35/10
;ПС 35 кВ Безлесная;2.5;35/10
;ПС 35 кВ Новолабинская;5.7;35/10
;ПС 35 кВ Некрасовская;4;35/10
;ПС 35 кВ Тенгинская;4;35/10
;ПС 35 кВ Братская;5;35/10
;ПС 35 кВ Мичуринская;2.5;35/10
;ПС 35 кВ Суворовская;2.5;35/10
;ПС 35 кВ Двубратская;8;35/10
;ПС 35 кВ Спецхоз Дружба;2.5;35/10
;ПС 35 кВ Кореновская Городская;6.4;35/6
;ПС 35 кВ Новоберезанская;6.5;35/10
;ПС 35 кВ Бураковская;2.5;35/10
;ПС 35 кВ Сергиевская;2.5;35/10
;ПС 35 кВ Платнировская-2;6.3;35/10
;ПС 35 кВ Журавская-1;2.5;35/10
;ПС 35 кВ Дядьковская;4;35/10
;ПС 35 кВ Родина;6.5;35/10
;ПС 35 кВ Раздольная;2.5;35/10
;ПС 35 кВ Полив Бейсуг;1.6;35/10
;ПС 35 кВ Очеретова Балка;1.8;35/10
;ПС 35 кВ Элитная;12.6;35/10
;ПС 35 кВ Комсомольская;4;35/10
;ПС 35 кВ Завод сухой сыворотки;12.6;35/10
;ПС 35 кВ Журавская-2;2.5;35/10
;ПС 35 кВ Тбилисская;6.3;35/10
;ПС 35 кВ Кавказ;8.8;35/10
;ПС 35 кВ Кубань;6.3;35/10
;ПС 35 кВ Заря;2.5;35/10
;ПС 35 кВ Нововладимировская;2.5;35/10
;ПС 35 кВ Ванновская;2.5;35/10
;ПС 35 кВ Алексеетенгинская;2.5;35/10
;ПС 35 кВ Песчаная;2.5;35/10
;ПС 35 кВ Северино;2.5;35/10
;ПС 35 кВ Дружба;4;35/10
;ПС 35 кВ Ирклиевская;4;35/10
;ПС 35 кВ Новодонецкая;4;35/10
;ПС 35 кВ Новобейсугская;1.8;35/10
;ПС 35 кВ Бейсужек;2.5;35/10
;ПС 35 кВ Юбилейная;4;35/10
;ПС 35 кВ Крупская;1.8;35/10
;ПС 35 кВ Межколхозсовхозсад;4;35/10
;ПС 35 кВ Новогражданская;2.5;35/10
;ПС 35 кВ Газырь;4;35/10
;ПС 35 кВ Березанская-1;1.8;35/10
;ПС 35 кВ Березанская-2;4;35/10
;ПС 35 кВ Кореновский сах.завод;6.3;35/6
;ПС 110 кВ Усть-Лабинская тяговая;50;110/27/10
;ПС 110 кВ Кореновская тяговая;50;110/27/10
;ПС 35 кВ Ладожская НПС;8;35/6
;ПС 35 кВ Некрасовская газ;1.8;35/6
;ПС 35 кВ Гаджировка;8;35/10
;ПС 110 кВ Славянская;26;110/35/10
;ПС 110 кВ Центральная;26;110/35/10
;ПС 110 кВ Забойская;20;110/35/6
;ПС 110 кВ Н.Петровская;16;110/35/10
;ПС 110 кВ Ханьковская;31;110/35/6
;ПС 110 кВ ПТФ;20;110/10
;ПС 110 кВ Коржевская;6.3;110/6
;ПС 110 кВ ЧОРС-2;6.3;110/6
;ПС 110 кВ Галицина;2.5;110/6
;ПС 110 кВ ПАОС;12.5;110/10
;ПС 35 кВ Бараниковская;6.5;35/10
;ПС 35 кВ НС-12;8;35/10/6
;ПС 35 кВ Тиховский г/у;5;35/10
;ПС 35 кВ Анастасиевская;4;35/10
;ПС 35 кВ Анастасиевская-2;2.5;35/10
;ПС 35 кВ Рисовая;1.8;35/10
;ПС 35 кВ НС-9;2.5;35/6
;ПС 35 кВ Петровская;7.2;35/10
;ПС 35 кВ НС-14;2.5;35/10
;ПС 35 кВ Голубая Нива;10.3;35/10/6
;ПС 35 кВ Сладковская;2.5;35/10
;ПС 35 кВ Проточная;2.5;35/10
;ПС 35 кВ Черный Ерик;2.5;35/10
;ПС 35 кВ Слободка;6.3;35/6
;ПС 35 кВ Черноерковская;2.5;35/10
