Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Бачатская;250;220/110/10
ПС 220 кВ Еланская;500;220/110/10
ПС 220 кВ Заискитимская;250;220/110/10
ПС 220 кВ Западно-Сибирская;490;220/110/10
ПС 220 кВ Кемеровская;480;220/110/10
ПС 220 кВ Краснополянская;250;220/110/10
ПС 220 кВ Крохалёвская;282;220/110/35/6
ПС 220 кВ Междуреченская;616;220/110/35/10/6
ПС 220 кВ НКАЗ-2;1000;220/110/10
ПС 220 кВ Северный Маганак;600;220/110/35
ПС 500 кВ Кузбасская;801;500/220/10
ПС 500 кВ Ново-Анжерская;1502;500/220/110/10
ПС 500 кВ Новокузнецкая;1602;500/220/35
ПС 500 кВ Юрга;500;500/110/10
