№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Беловская Городская;35/10;32
2;Беловская ЦОФ;35/6;32
3;Беловский Разрез;35/6;20
4;Грамотеинская-1\2;35/6;20
5;Беловская;110/35/6;120
6;Грамотеинская-3\4;110/6;30
7;Ново-Чертинская;110/35/6;72
8;Промузел;110/10;80
9;Цинкзаводская;110/6;26
10;Шестаковская;110/35/10;32
11;Береговая;35/10;8
12;Бирюлинская;35/6;25
13;Латышевская;35/6;12,6
14;Мазуровская;35/10;20
15;Насосная-5;35/6;3,2
16;Насосная-9;35/6;5
17;Осиновская;35/10;12,6
18;Промышленовская;35/6;15
19;Северная;35/6;20
20;Силинская;35/10;12,6
21;ЦОФ Берёзовская;35/6;20
22;Транзитная;35/10;31
23;Центральная (Гор.РЭС);35/6;32
24;Строительная (Гор. РЭС);35/10;8
25;Щегловская;35/10;8
26;Ягуновская;35/6;20
27;Весенняя;110/35/10;50
28;Водозабор;110/10;32
29;Восточная;110/10;50
30;АКЗ;110/6;0
31;Заводская;110/10;126
32;Звёздная;110/6;16,3
33;Космическая;110/10;75
34;Мирная;110/10;80
35;Мозжухинская;110/6;20
36;Оросительная;110/35/6;50
37;Очистная;110/6;32
38;Рудничная;110/35/10;80
39;Спутник;110/10;41
40;Таёжная;110/6;32
41;Тепличная (Гор. РЭС);110/6;88
42;Толевая;110/6;6,3
43;Черниговская;110/35/6;32
44;Южная;110/35/10;80
45;Имени Лапина В.И.;110/10;50
46;Комсомольская(Восточ3-4СШ 110);110/10;80
47;Фабрика;35/6;20
48;Рассвет;35/10;6,5
49;Рудник;35/6;16,2
50;Урская;35/10;4,1
51;Гурьевская-Горная;35/6;15,6
52;Гурьевская;110/35/10;81
53;Ижморская;35/10;8
54;Колыонская;35/10;3,2
55;Красноярская;35/10;3,6
56;Святославская;35/10;3,2
57;Симбирская;35/10;1,8
58;Инская;35/6;17,5
59;Пермяковская;35/10;12,6
60;Родина;35/10;5
61;Вишнёвская;110/35/10;20
62;Колмогоровская;110/35/6;32
63;Молодёжная;110/10;12,6
64;Уропская;110/35/6;50
65;Хахалинская;110/10;12,6
66;Шалым;35/6;10
67;Кондомская;110/35/6;50
68;Мундыбашская;110/6;65
69;Темирская;110/35/6;45
70;Абагур-Атамановская;35/6;16,3
71;Абагур-Лесной;35/6;12,6
72;Абашевская 1/2;35/6;50
73;Абашевская 3/4;35/6;20
74;Байдаевская;35/6;20
75;Бунгурская;35/6;20
76;Куйбышевская;35/6;20,6
77;Ново-Бунгурская;35/6;20
78;Сосновская;35/10;26
79;Береговая;110/6;80
80;Абагурская;110/35/6;157,5
81;Бызовская;110/6;45
82;Водная;110/35/6;80
83;Высокая;110/6;32
84;Ильинская-1;110/10;50
85;Ильинская-Городская-2;110/10;50
86;Кузнецкая;110/35/10;80
87;КФЗ-1;110/10;223
88;КФЗ-2;110/10;320
89;Луговая;110/6;20
90;Ново-Байдаевская;110/35/6;80
91;Орджоникидзевская;110/35/10;50
92;РМК;110/10;50
93;Северная;110/35/6;81
94;Северо-Байдаевская;110/6;0
95;Сидоровская;110/35/10;32
96;Степная;110/10;26
97;Шахтовая;110/35/6;81
98;Ширпотреб;110/6;80
99;Камышинская;35/10;8
100;Комсомолец;35/6;32
101;Краснинская;35/10;12,6
102;Никитинская;35/6;8
103;Подгорновская;35/10;5
104;Больничная;110/10;50
105;Городская;110/6;50
106;Заречная;110/35/6;50
107;Кирова-Западная;110/6;20
108;Красноярская;110/6;32
109;КСК;110/6;64
110;Кузбассэлемент;110/6;32
111;Мусохрановская;110/35/10;20
112;Новоленинская;110/35/6;160
113;Полысаевская-III;110/35/6;80,5
114;Фильтровальная;110/6;20
115;Костромовская;110/6;32
116;Авангард;35/10;5
117;Благовещенская;35/10;6,5
