№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА;ref
1;Центральная;110/15;32;О-1
2;Янтарь;110/6;50;О-2
3;Знаменск;110/15;20;О-3
4;Черняховск;110/15/6;50;О-4
5;Советск;110/15/6;50;О-5
6;Неман;110/15/6;41;О-6
7;Приморск;60/15;20;О-7
8;Янтарное;110/60/15/6;20;О-8
9;Светлогорск;110/15/10;50;О-9
10;Зеленоградск;110/15;50;О-10
11;Ленинградская;110/10;90;О-11
12;Южная;110/10;80;О-12
13;Енино;110/15;20;О-13
14;Мамоново;110/15;20;О-14
15;Нестеров;110/15;26;О-15
16;Лужки;110/15;12,6;О-16
17;Рыбный порт;110/10;32;О-17
18;Озерки;110/15;12,6;О-18
19;Полесск;110/15;20;О-19
20;Озёрск;110/15;20;О-20
21;Краснознаменск;110/15;12,6;О-22
22;Охотное;110/15;6,3;О-23
23;Гурьевск;110/15;50;О-24
24;Вишневка;110/15;12,6;О-25
25;Лесная;110/10;50;О-26
26;Муромская;110/15/10;20;О-27
27;Московская;110/10;126;О-30
28;Багратионовск;110/15;20;О-31
29;Черняховск-2;110/6;32;О-32
30;Правдинск;110/15/6;20;О-34
31;Космодемьянская;110/15/10;41;О-35
32;Лунино;110/15;16,3;О-37
33;Добровольск;110/15;20;О-38
34;Ладушкин;110/15;20;О-39
35;Чистые пруды;110/15;12,6;О-40
36;Железнодорожная;110/15;12,6;О-41
37;Северная 110;110/10;80;О-42
38;Славск;110/15;12,6;О-46
39;Борисово;110/15;50;О-47
40;Молокозаводская;110/10;32;О-48
41;Люблино;110/15/10;20;О-49
42;Междуречье;110/15;12,6;О-50
43;Гвардейская;110/15;32;О-51
44;Светлый;110/15/6;50;О-52
45;Правобережная;110/10/6;126;О-53
46;Гусев;110/15/6;50;О-54
47;Береговая;110/10;50;
48;Романово;110/10;20;
49;Храброво;110/15;20;
50;Нивенская;110/15;32;
