№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
1;КТПН1;;682640, Хабаровский край, Амурский р-н, Амурск г
2;КТПН2;;682640, Хабаровский край, Амурский р-н, Амурск г
3;Азимут;110/10;682730, Хабаровский край, Солнечный р-н, Хурмули п
4;Бикин;110/10;682970, Хабаровский край, Бикинский р-н, Бикин г
5;Вяземская;110/10;682950, Хабаровский край, Вяземский р-н, Вяземский г
6;ДВПТФ;110/10;680539, Хабаровский край, Хабаровский р-н, Мирное с
7;Дормидонтовка;110/10;682966, Хабаровский край, Вяземский р-н, Дормидонтовка с
8;Золотая;110/10;682908, Хабаровский край, Имени Лазо р-н, Золотой п
9;Кедровая;110/10;682732, Хабаровский край, Солнечный р-н, Горин п
10;Лермонтовка;110/10;682990, Хабаровский край, Бикинский р-н, Лермонтовка с
11;Лиан;110/10;682730, Хабаровский край, Солнечный р-н, Хурмули п
12;Обор;110/10;682903, Хабаровский край, Имени Лазо р-н, Обор п
13;Сидима;110/10;682906, Хабаровский край, Имени Лазо р-н, Сидима п
14;Сукпай;110/10;682909, Хабаровский край, Имени Лазо р-н, Сукпай п
15;Водозабор;110/10;681058, Хабаровский край, Комсомольский р-н, Новый Мир с
16;Вознесеновская;110/10;682650, Хабаровский край, Амурский р-н, Вознесенское с
17;Гайтер;110/10;681050, Хабаровский край, Комсомольский р-н, Гайтер с
18;Иннокентьевская;110/10;682364, Хабаровский край, Нанайский р-н, Иннокентьевка с
19;Картель;110/10;681000, Хабаровский край, Комсомольский р-н, Картель
20;Лидога;110/10;682361, Хабаровский край, Нанайский р-н, Лидога с
21;Маго;110/10;682450, Хабаровский край, Николаевский р-н, Маго п
22;Озерная;110/10;681000, Хабаровский край, Комсомольск-на-Амуре г
23;Пивань;110/10;681070, Хабаровский край, Комсомольский р-н, Пивань с
24;Троицкая;110/10;682350, Хабаровский край, Нанайский р-н, Троицкое с
25;Бройлерная 2;110/35/10;680507, Хабаровский край, Хабаровский р-н, Некрасовка с
26;Гродеково;110/35/10;682939, Хабаровский край, Имени Лазо р-н, Гродеково с
27;Елабуга;110/35/10;680527, Хабаровский край, Хабаровский р-н, Елабуга с
28;Корфовская;110/35/10;680504, Хабаровский край, Хабаровский р-н, Корфовский рп
29;Котиково;110/35/10;682947, Хабаровский край, Вяземский р-н, Котиково с
30;Красицкая;110/35/10;682941, Хабаровский край, Вяземский р-н, Красицкое с
31;Осиновая речка;110/35/10;680572, Хабаровский край, Хабаровский р-н, Осиновая Речка с
32;Петровичи;110/35/10;682910, Хабаровский край, Имени Лазо р-н, Петровичи с
33;Племрепродуктор;110/35/10;680025, Хабаровский край, Хабаровск г, Березовка пгт
34;Сита;110/35/10;682900, Хабаровский край, Имени Лазо р-н, Сита п
35;БАМ-ПТФ;110/35/10;681000, Хабаровский край, Комсомольск-на-Амуре г
36;КСК;110/35/10;681000, Хабаровский край, Комсомольск-на-Амуре г
37;Хурба;110/35/10;681060, Хабаровский край, Комсомольский р-н, Хурба с
38;АК;110/35/6;680000, Хабаровский край, Хабаровск г
39;Восточная;110/35/6;680000, Хабаровский край, Хабаровск г
40;ГВФ;110/35/6;680000, Хабаровский край, Хабаровск г
41;Горький;110/35/6;680000, Хабаровский край, Хабаровск г
42;КАФ;110/35/6;680000, Хабаровский край, Хабаровск г
43;Северная;110/35/6;681000, Хабаровский край, Комсомольск-на-Амуре г
44;СМР;110/35/6;680000, Хабаровский край, Хабаровск г
45;Хор;110/35/6;682920, Хабаровский край, Имени Лазо р-н, Хор рп
46;ХЭС;110/35/6;680000, Хабаровский край, Хабаровск г
47;Ц;110/35/6;680000, Хабаровский край, Хабаровск г
48;Эльбан;110/35/6;682610, Хабаровский край, Амурский р-н, Эльбан рп
49;Южная;110/35/6;680000, Хабаровский край, Хабаровск г
50;ЮМР;110/35/6;680000, Хабаровский край, Хабаровск г
51;Байкальская;110/35/6;681000, Хабаровский край, Комсомольск-на-Амуре г
52;Березовка;110/6;680000, Хабаровский край, Хабаровск г
53;Горная;110/6;682707, Хабаровский край, Солнечный р-н, Горный рп
54;Городская;110/6;680000, Хабаровский край, Хабаровск г
55;Дурмин;110/6;682905, Хабаровский край, Имени Лазо р-н, Дурмин п
56;Здоровье;110/6;680000, Хабаровский край, Хабаровск г
57;МЖК;110/6;680000, Хабаровский край, Хабаровск г
58;Многовершинная;110/6;682449, Хабаровский край, Николаевский р-н, Многовершинный рп
59;Молодежная;110/6;682711, Хабаровский край, Солнечный р-н, Молодежный
60;Мухен;110/6;682916, Хабаровский край, Имени Лазо р-н, Мухен рп
61;НПЗ;110/6;680000, Хабаровский край, Хабаровск г
62;НПЗ-2;110/6;
63;Падали;110/6;682652, Хабаровский край, Амурский р-н, Известковый п
64;Ручей;110/6;682711, Хабаровский край, Солнечный р-н
65;Солнечная;110/6;682711, Хабаровский край, Солнечный р-н, Солнечный рп
66;ЦОФ;110/6;682711, Хабаровский край, Солнечный р-н, Солнечный рп
67;Энергомаш;110/6;680000, Хабаровский край, Хабаровск г
68;Белая Гора;110/6;682456, Хабаровский край, Николаевский р-н, Чля с
69;Береговая;110/6;681000, Хабаровский край, Комсомольск-на-Амуре г
70;К;110/6;681000, Хабаровский край, Комсомольск-на-Амуре г
71;Привокзальная;110/6;681000, Хабаровский край, Комсомольск-на-Амуре г
72;Анастасьевка;35/10;680524, Хабаровский край, Хабаровский р-н, Анастасьевка с
73;Благодатное;35/10;680550, Хабаровский край, Хабаровский р-н, Благодатное с
74;Болин;35/10;682647, Хабаровский край, Амурский р-н, Мылки ст
75;Бычиха;35/10;680502, Хабаровский край, Хабаровский р-н, Бычиха с
76;Водозабор;35/10;680505, Хабаровский край, Хабаровский р-н, Гаровка-1 с
77;Георгиевка;35/10;682923, Хабаровский край, Имени Лазо р-н, Георгиевка с
78;ДВЗОСП;35/10;680539, Хабаровский край, Хабаровский р-н, Скворцово с
79;Дружба;35/10;680506, Хабаровский край, Хабаровский р-н, Дружба с
80;Дубки;35/10;680550, Хабаровский край, Хабаровский р-н, Князе-Волконское с
81;Дуки;35/10;682737, Хабаровский край, Солнечный р-н, Дуки п
82;Капитоновка;35/10;682964, Хабаровский край, Вяземский р-н, Капитоновка с
83;Красно-Знаменка;35/10;680524, Хабаровский край, Хабаровский р-н, Краснознаменка с
84;Маяк;35/10;Хабаровский край, Хабаровский р-н, Маяк
85;Менгон;35/10;682600, Хабаровский край, Амурский р-н, Болонь с
86;Некрасовка;35/10;680507, Хабаровский край, Хабаровский р-н, Некрасовка с
87;ОПХ;35/10;680528, Хабаровский край, Хабаровский р-н, Черная Речка с
88;Очистные сооружения;35/10;680507, Хабаровский край, Хабаровский р-н, Некрасовка с
89;Переяславка;35/10;682910, Хабаровский край, Имени Лазо р-н, Переяславка рп
90;Р;35/10;680000, Хабаровский край, Хабаровск г
91;Ракитное;35/10;680505, Хабаровский край, Хабаровский р-н, Ракитное с
92;Святогорье;35/10;682931, Хабаровский край, Имени Лазо р-н, Святогорье с
