Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Амур;250;220/110/10
ПС 220 кВ Березовая;50;220/35/10
ПС 220 кВ Ванино;205;220/110/35/10
ПС 220 кВ Восток;628;220/10
ПС 220 кВ Высокогорная;50;220/35/10
ПС 220 кВ Гидролизная;50;220/35/6
ПС 220 кВ Горин;50;220/35/10
ПС 220 кВ Джамку;50;220/35/10
ПС 220 кВ Князе-Волконская;63;220/110/35
ПС 220 кВ Литовко;50;220/35/10
ПС 220 кВ НПС-36;50;220/10
ПС 220 кВ Парус;126;220/110/10
ПС 220 кВ РЦ;501;220/110/35/6
ПС 220 кВ Селихино;79;220/110/35/10
ПС 220 кВ Старт;250;220/110/10
ПС 220 кВ Сулук;50;220/35/10
ПС 220 кВ Уктур;10;220/35/10
ПС 220 кВ Ургал;134;220/110/35/10
ПС 220 кВ Хехцир;188;220/110/10
ПС 220 кВ Этеркан;50;220/35/10
ПС 500 кВ Комсомольская;689;500/220/110
ПС 500 кВ Хехцир 2;501;500/220
