Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Барсово;250;220/110/10
ПС 220 кВ Болчары;64;220/10
ПС 220 кВ Варьеган;300;220/110/35/10/6
ПС 220 кВ Васильев;250;220/110/10
ПС 220 кВ Вектор;376;220
ПС 220 кВ Восточно-Моховая;300;220/110/35/10/6
ПС 220 кВ Зима;126;220/10/10
ПС 220 кВ Ильичевка;64;220/10/10
ПС 220 кВ Имилор;250;220/110/10
ПС 220 кВ Каркатеевы;187;220/10/6
ПС 220 кВ Картопья;157;220/110/10
ПС 220 кВ Кварц;126;220/10/6
ПС 220 кВ Кирьяновская;250;220/110/35
ПС 220 кВ Когалымская;261;220/110/10/6
ПС 220 кВ Комета;250;220/110/10
ПС 220 кВ Компрессорная;552;220/10
ПС 220 кВ Контур;250;220/110/10
ПС 220 кВ Космос;250;220/110/10
ПС 220 кВ Красноленинская;300;220/110/35/6
ПС 220 кВ Красноленинский ГПЗ;200;220/110/10
ПС 220 кВ Кратер;250;220/110/10
ПС 220 кВ КС-3;252;220/10/10
ПС 220 кВ КС-5;252;220/10/10
ПС 220 кВ Лас-Еганская;330;220/110/35/6
ПС 220 кВ Ленинская;650;220/110/35
ПС 220 кВ Мачтовая;250;220/110/10
ПС 220 кВ Мегион;455;220/110/10/6
ПС 220 кВ Мираж;250;220/110/10
ПС 220 кВ Мирная;672;220/110/10
ПС 220 кВ Надежда (Зап.Сибири);126;220/10/10
ПС 220 кВ Новая;650;220/110/10
ПС 220 кВ Новый Катыш;64;220/10
ПС 220 кВ Орбита;500;220/110/10
ПС 220 кВ Пачетлор;250;220/110/10
ПС 220 кВ Пимская;330;220/110/10
ПС 220 кВ Полоцкая;250;220/110/10
ПС 220 кВ Правдинская;250;220/110/35/10
ПС 220 кВ Прогресс;250;220/110/10
ПС 220 кВ Северный Варьеган;188;220/110/35
ПС 220 кВ Сотник;330;220/110/10
ПС 220 кВ Сургут;250,8;220/110/10
ПС 220 кВ Топаз;126;220/10/10
ПС 220 кВ Урьевская;376;220/110/6
ПС 220 кВ Усть-Балык;160;220/35/10
ПС 220 кВ Чеснок;64;220/10/10
ПС 220 кВ Эмтор;250;220/110/10
ПС 220 кВ ЮБГПЗ;126;220/10/10
ПС 220 кВ Ягодная (Зап.Сибири);126;220/110/10
ПС 500 кВ Белозерная;1958;500/220/110/10/6
ПС 500 кВ Ильковская;1002;500/220/35
ПС 500 кВ Кирилловская;1502;500/220/110/10
ПС 500 кВ Кустовая;1002;500/220/35
ПС 500 кВ Луговая;1002;500/220/35
ПС 500 кВ Магистральная;1252;500/220/110/10
ПС 500 кВ Пересвет;1002;500/220/35
ПС 500 кВ Пыть-Ях;1878;500/220/110/35
ПС 500 кВ Святогор;1402;500/220/110/35
ПС 500 кВ Сибирская;1002;500/220/10
ПС 500 кВ Сомкино;1503;500/220/35/10
ПС 500 кВ Трачуковская;1503;500/220/35
