Наименование;Установленная мощность, МВА
ПС 35/10 кВ Аджим;5
ПС 35/10 кВ Александровское;1.6
ПС 110/10 кВ Альмеж;20
ПС 110/35/10 кВ Арбаж;12.6
ПС 35/10 кВ Аркуль;3.2
ПС 35/10 кВ Архангельское;1.6
ПС 35/10 кВ Астраханово;1.6
ПС 110/35/10 кВ Афанасьево;10.3
ПС 110/35/10 кВ Белая Холуница;26
ПС 35/10 кВ Бажелка;1
ПС 35/10 кВ Байса;2.5
ПС 110/35/10 кВ Бахта;32
ПС 110/10 кВ Безбожник;6.3
ПС 35/10 кВ Безводное;5
ПС 110/10 кВ Беляево;20
ПС 35/6 кВ Береговая;20
ПС 110/35/10 кВ Бисерово;6.3
ПС 110/35/10 кВ Богородск;16.3
ПС 35/10 кВ Большой Рой;1
ПС 35/10 кВ Буйск;3.4
ПС 110/10 кВ Бурмакино;6.3
ПС 110/10 кВ Бытприбор;50
ПС 110/10 кВ Вахруши;20
ПС 35/10 кВ Великорецкое;2.5
ПС 35/10 кВ Верхобыстрица;5
ПС 110/35/10 кВ Верхошижемье;20
ПС 110/10 кВ Ветошкино;12.6
ПС 35/6 кВ Виноградово;5
ПС 35/10 кВ Вихарево;4.1
ПС 35/10 кВ Вичевщина;5
ПС 35/10 кВ Вожгалы;6.5
ПС 110/10 кВ Восточная;25
ПС 110/10/6 кВ Восточная;50
ПС 35/10 кВ Восход (ПО ЗЭС);3.2
ПС 35/10 кВ Восход (ПО СЭС);1
ПС 35/10 кВ Вотчина ;2.5
ПС 35/10 кВ Воя;6.3
ПС 35/10 кВ Высокораменье;2.5
ПС 110/6 кВ Гарь;6.3
ПС 35/10 кВ Гирсово;12.6
ПС 35/6 кВ Гнусино;20
ПС 35/10 кВ Гордино;1.6
ПС 110/10 кВ Городская;20
ПС 110/10 кВ Гостовская ;5
ПС 35/10 кВ Дамаскино ;1.6
ПС 110/35/10 кВ Даровское;16.3
ПС 35/10 кВ Демаки;5
ПС 110/35/10/6 кВ Демьяново ;40
ПС 110/10 кВ Дубровка;6.3
ПС 110/10 кВ Дымное;6.3
ПС 35/10 кВ Езжа;1.6
ПС 35/10 кВ Екатерина;2.5
ПС 110/6 кВ Заводская;32
ПС 35/10 кВ Загарье;5.6
ПС 35/10 кВ Заево;1
ПС 110/10 кВ Залазна;6.3
ПС 110/35/6 кВ Западная;31
ПС 110/35/6 кВ Заречная;16.3
ПС 35/10 кВ Заречная;3.2
ПС 35/10 кВ Зониха ;2.5
ПС 110/35/10 кВ Иванцево;16.3
ПС 110/10 кВ Ильинская;5
ПС 110/10 кВ Искра;16.3
ПС 35/10 кВ Кай ;1.6
ПС 35/10 кВ Каринка;8
ПС 35/6 кВ Каринторф;9.6
ПС 35/10 кВ Карино;4.1
ПС 110/35/10 кВ Кикнур;20
ПС 35/10 кВ Кильмезь;7.2
ПС 110/6 кВ Кирс;32
ПС 35/10 кВ Кичма;8
ПС 35/10 кВ Кобра ;2.5
ПС 35/10 кВ Кожа;3.2
ПС 35/10 кВ Кокшага;1.6
ПС 35/10 кВ Колянур;6.3
ПС 110/35/10 кВ Коминтерн;32
ПС 110/10 кВ Коммунальная;50
ПС 35/10 кВ Корляки;2.5
ПС 110/35/6 кВ Красный Курсант;30
ПС 110/6 кВ Красный Якорь;20
ПС 110/6 кВ Красная Поляна;20
ПС 110/10 кВ Красногорская;20
ПС 35/10 кВ Красное;6.3
ПС 110/10 кВ Краснооктябрьская;2.5
ПС 35/10 кВ Краснополье;3.4
ПС 110/10 кВ Кремешки;6.3
ПС 110/35/10 кВ Круглыжи;12.6
ПС 110/10 кВ Кстинино;16.3
ПС 110/35/10 кВ Кузнецы;20
ПС 110/35/10 кВ Кумены;26
ПС 35/10 кВ Курчум;2.5
ПС 110/10 кВ Кырчаны;12.6
ПС 35/10 кВ Лаж;3.2
ПС 110/10 кВ Лазарево-1;50
ПС 110/10 кВ Лазарево-2 ;80
ПС 35/10 кВ Лальск;7.2
ПС 110/35/10 кВ Лебяжье;10
ПС 35/10 кВ Леваны;4.1
ПС 35/10 кВ Лекма;1.6
ПС 35/10 кВ Лема ;2.5
ПС 35/10 кВ Лойно;4.1
ПС 35/10 кВ Лопьял ;2.5
ПС 110/35/10 кВ Луговая;16.3
ПС 110/35/10 кВ Луза;20
ПС 35/10 кВ Лунданка;2.5
ПС 110/35/6 кВ Лыжная;50
ПС 110/35/10 кВ Макарье;20
ПС 110/35/10 кВ Малмыж;20
ПС 35/10 кВ Малый Конып;4.1
ПС 35/10 кВ Малый Сатнур;2.5
ПС 35/10 кВ Маромица;5
ПС 110/10 кВ Матвинур ;2.5
ПС 110/35/10 кВ Маяк;10
ПС 110/6 кВ Маяк;50
ПС 35/10 кВ Маяк;1.6
ПС 35/10 кВ Медведок ;4
ПС 35/10 кВ Медяны;5.7
ПС 35/10 кВ Мелеть;2.5
ПС 110/10 кВ Митюши;2.5
ПС 35/10 кВ Михайловская;2.5
ПС 35/10 кВ Молома ;3.2
ПС 110/35 кВ Мураши;6.3
ПС 35/10 кВ Мухино;10.3
ПС 110/35/10 кВ Муша ;16.3
ПС 35/10 кВ Нагорск;12.6
ПС 35/10 кВ Нема;10.3
ПС 110/10 кВ Нижнеивкино;16.3
ПС 35/10 кВ Никольская;1.6
ПС 35/10 кВ Новотроица;5
ПС 110/35/10 кВ Нолинск;26
ПС 110/10 кВ Опытное Поле ;2.5
ПС 110/6 кВ Октябрьская;32
ПС 35/10 кВ Октябрьская ;5
ПС 110/35/10 кВ Опарино;16.3
ПС 110/35/10 кВ Оричи;26
ПС 110/10 кВ Отворское;6.3
ПС 110/10 кВ Павлово;8.8
ПС 35/10 кВ Папулово;1.6
ПС 110/10 кВ Пасегово;12.6
ПС 35/10 кВ Пачи ;3.2
ПС 110/10 кВ Первомайск;2.5
ПС 110/6 кВ Первомайская;40
ПС 110/10 кВ Перекоп;6.3
ПС 35/10 кВ Пермята;1.6
ПС 110/10 кВ Песковка;64
ПС 110/10 кВ Петровское;6.3
ПС 110/35/10 кВ Пижанка;16.3
ПС 110/10 кВ Пиксур ;3.2
ПС 110/10 кВ Пинюг;20
ПС 35/10 кВ Пишнур;1.6
ПС 35/10 кВ Подосиновец;8
ПС 110/10 кВ Подрезчиха;2.5
ПС 110/10 кВ Полом ;12.6
ПС 35/10 кВ Порез;8
ПС 35/10 кВ Порек;1.8
ПС 110/35/10 кВ Прогресс;10
ПС 35/10/6 кВ Прокопье;2.6
ПС 110/35/10 кВ Просница;26
ПС 110/10 кВ Прудки;32
ПС 110/10 кВ Птицефабрика;20
ПС 35/10 кВ Пышак ;1.6
ПС 110/10 кВ РМЗ;10
ПС 110/10 кВ Рожки;12.6
ПС 110/35/10 кВ Рудничная;41
ПС 35/10 кВ Русское;8
ПС 110/10 кВ Савали;6.3
ПС 110/10/6 кВ Садовая;20
ПС 35/10 кВ Салобеляк;2.5
ПС 110/35/10 кВ Санчурск;22.3
ПС 110/10 кВ Свеча;12.6
ПС 110/35/6 кВ Северная;71.5
ПС 110/10 кВ Селезениха;12.6
ПС 35/10 кВ Сердеж;1.6
ПС 35/10 кВ Синегорье;5.6
ПС 110/6 кВ Скопино;12.6
ПС 110/35/10/6 кВ Слободская;32
ПС 110/10 кВ Слудка;6.3
ПС 110/35/10 кВ Советск;32
ПС 35/6 кВ Созим;5.6
ПС 35/10 кВ Соколовка;6.5
ПС 110/35/6 кВ Сосновка;26
ПС 35/10 кВ Среднеивкино;8
ПС 110/35/10 кВ ССК;32
ПС 35/10 кВ Степановщина;8
ПС 35/10 кВ Стрельская ;1.6
ПС 110/35/10 кВ Суна;20
ПС 35/10 кВ Сырьяны ;1.6
ПС 110/35/10 кВ Талица;12.6
ПС 35/10 кВ Татаурово ;10.3
ПС 35/10 кВ Тохтино;4.1
ПС 110/35/10 кВ Тужа;12.6
ПС 35/10 кВ Тырышкино ;2.5
ПС 110/10 кВ Тюмень;12.6
ПС 110/35/10 кВ Уни;26
ПС 110/35/10 кВ Уржум;26
ПС 110/10 кВ Утиная;12.6
ПС 35/10 кВ Утманово;3.2
ПС 35/10 кВ Ухтым ;2.5
ПС 35/10 кВ Фаленки;12.6
ПС 35/6 кВ Филейка;20
ПС 110/35/10 кВ Филиппово;16.3
ПС 35/10 кВ Халтурин;12.6
ПС 110/10 кВ Чёрная Холуница ;6.3
ПС 35/10 кВ Чимбулат ;4
ПС 35/10 кВ Черновское ;2.5
ПС 110/35/10 кВ Чижи;80
ПС 35/10 кВ Чуваши;5
ПС 35/10 кВ Шалегово;5
ПС 35/10 кВ Шапта;1.6
ПС 110/10 кВ Шараница;3.2
ПС 110/10 кВ Швариха;6.3
ПС 110/6 кВ Шевели;80
ПС 35/10 кВ Шембеть;3.2
ПС 110/35/10 кВ Шестаки;12.6
ПС 110/10 кВ Шурма;5
ПС 110/10 кВ Юбилейная;5
ПС 35/10 кВ Юго-Западная;32
ПС 110/10 кВ Юрьево;12.6
ПС 110/35/10/6 кВ Юрья;32
ПС 110/35/10 кВ Яранск;32
ПС 35/10 кВ Ярославль;2.5
ПС 35/6 кВ №3;3.2
ПС 35/6 кВ №5;3.2
ПС 35/6 кВ №6;5
ПС 35/10 кВ Чистые Пруды;20
ПС 110/10 кВ Урванцево;40
