№ ПС/ТП;Наименование;Установленная мощность, МВА
283;ПС 110/10 кВ Белкино;65
284;ПС 110/10 кВ Белоусово;20
285;ПС 110/10 кВ Буран;25
286;ПС 110/10 кВ Вега;56
287;ПС 35/10 кВ Тишнево;8
288;ПС 35/10 кВ Федорино;8
289;ПС 110/35/10 кВ Ворсино;20
290;ПС 35/10 кВ Воробьи;20
291;ПС 110/10 кВ Денисово;41
292;ПС 110/10 кВ Кирпичная;32
293;ПС 110/35/10 кВ Колосово;126
294;ПС 110/35/10 кВ Космос;32
295;ПС 35/10 кВ Лопатино;6.5
296;ПС 35/10 кВ Остров;12.6
297;ПС 35/10 кВ Салтыково;8
298;ПС 110/10 кВ Маланьино;25
299;ПС 110/35/10 кВ Медынь;32
300;ПС 35/10 кВ Кременская;5
301;ПС 35/10 кВ Передел;3.4
302;ПС 110/10/6 кВ Окружная;80
303;ПС 110/35/10 кВ Протва;65
304;ПС 35/10 кВ Высокиничи;8
305;ПС 35/10 кВ Коллонтай;10.3
306;ПС 35/10 кВ Тарутино;12.6
307;ПС 110/10 кВ Радищево;32
308;ПС 110/35/10 кВ Русиново;80
309;ПС 35/10 кВ Текстильная;20
310;ПС 220/110 кВ Созвездие;500
311;ПС 110/10 кВ Строительная;20
312;ПС 110/6 кВ Цветково;80
313;ПС 110/35/6 кВ Черкасово;20
314;ПС 35/10 кВ Ерденево;10.3
315;ПС 35/10 кВ Кудиново;8
316;ПС 35/10 кВ Недельная;5
317;ПС 35/10 кВ Детчино;16.3
318;ПС 110/35/10 кВ Юхнов;32
319;ПС 35/10 кВ Агарышево;3.2
320;ПС 35/10 кВ Беляево;3.4
321;ПС 35/10 кВ Износки;8
322;ПС 35/10 кВ Климовская;1
323;ПС 35/10 кВ Рыляки;4.1
324;ПС 35/10 кВ Угра;5
325;ПС 35/10 кВ Шанская;8
326;ПС 35/10 кВ Щелканово;5
327;ПС 110/10 кВ Михали;12.6
328;ПС 35/10 кВ Акулово;3.4
329;ПС 110/35/10 кВ Агеево;30
330;ПС 35/10 кВ Корекозево;7.2
331;ПС 35/10 кВ Песочная;2.5
332;ПС 110/35/10 кВ Азарово;51
333;ПС  35/6 кВ Мостовая;8
334;ПС 110/6 кВ Аненки;30
335;ПС 110/35/10 кВ Ахлебинино;25
336;ПС 110/10 кВ Верховая ;25
337;ПС 110/10 кВ Восток;32
338;ПС 110/10/6 кВ Восход;50
339;ПС 110/35/10 кВ Галкино;50
340;ПС 35/6 кВ Грабцево;8
341;ПС 110/10 кВ Гранат;80
342;ПС 110/6 кВ Дубрава;50
343;ПС 110/35/6 кВ Железняки;32
344;ПС 110/35/6 кВ Звягино;11.6
345;ПС 35/10 кВ Волконская;2.5
346;ПС 35/10 кВ Рогачи;2.5
347;ПС 110/35/6 кВ Калуга;71.5
348;ПС 110/35/10 кВ Квань;32
349;ПС 35/6 кВ Бор;9.6
350;ПС 35/10 кВ Колюпаново;7.2
351;ПС 110/35/10 кВ Козельск;26
352;ПС 35/10 кВ Плюсково;1.8
353;ПС 35/10 кВ Подборки;8
354;ПС 110/35/10 кВ Кондрово;65
355;ПС 35/10 кВ Гончарово;12.6
356;ПС 110/10 кВ Копытцево;32
357;ПС 110/35/6 кВ Кричина;12.5
358;ПС 35/10 кВ Дудоровская;2.5
359;ПС 35/10 кВ Ульяново;12.6
360;ПС 35/10 кВ Грынь;4
361;ПС 110/10 кВ Крутицы;32
362;ПС 110/10 кВ Малинники;32
363;ПС 110/35/6 кВ Маяк;50
364;ПС 110/35/10 кВ Острожная;10
365;ПС 35/10 кВ Мятлево;8
366;ПС 110/10 кВ Пегас;32
367;ПС 110/35/10 кВ Перемышль;16.3
368;ПС 35/10 кВ Желохово;2.5
369;ПС 35/10 кВ Петровская;3.6
370;ПС 110/10/6 кВ Приокская;50
371;ПС 110/10 кВ ПРМЗ;32
372;ПС 110/35/10 кВ Пятовская;50
373;ПС 35/10 кВ Муратовка;6.4
374;ПС 110/35/10 кВ Росва;50
375;ПС 35/10 кВ Дубенки;2.5
376;ПС 35/10 кВ Керамика;20
377;ПС 35/10 кВ Куровская;5
378;ПС 35/10 кВ Осеньево;7.5
379;ПС 35/6 кВ Резвань;2.5
380;ПС 110/6 кВ СДВ;32
381;ПС 110/10 кВ Сосенская;20
382;ПС 110/35/10 кВ Товарково;32
383;ПС 110/35/10 кВ Ферзиково;32
384;ПС 35/10 кВ Бебелево;5
385;ПС 35/10 кВ Богданино;8
386;ПС 35/10 кВ Сугоново;2.5
387;ПС 35/10 кВ Шейкино;6.4
388;ПС 35/10 кВ Петрищево;2.5
389;ПС 35/10 кВ Рощинская;3.4
390;ПС 110/35/10 кВ Шепелево;17.5
391;ПС 35/10 кВ Оптино;8
392;ПС 110/10 кВ Университет;32
393;ПС 110/35/10 кВ Бетлица;20
394;ПС 35/10 кВ Закрутое;5
395;ПС 35/10 кВ Троицкая;4
396;ПС 110/35/10 кВ Середейск;41
397;ПС 35/10 кВ Дабужа;3.6
398;ПС 35/10 кВ Опаленки;5
399;ПС 35/10 кВ Асмолово;1.6
400;ПС 35/10 кВ Шихтино;5.8
401;ПС 110/35/10 кВ Маклаки;6.3
402;ПС 35/10 кВ Фоминичи;4.1
403;ПС 35/10 кВ Букань;3.2
404;ПС 110/35/10 кВ Руднево;32
405;ПС 35/10 кВ Заря;4.1
406;ПС 110/35/10 кВ Мещовск;26
407;ПС 35/10 кВ Гаврики;1.6
408;ПС 35/10 кВ Серпейск;1.8
409;ПС 110/35/10 кВ Мосальск;26.3
410;ПС 35/10 кВ Мосур;2.5
411;ПС 35/10 кВ Людково;2.5
412;ПС 110/35/10 кВ Хвастовичи;20
413;ПС 35/10 кВ Бояновичи;4
414;ПС 35/10 кВ Еленская;5
415;ПС 35/10 кВ Ловать;1.8
416;ПС 35/10 кВ Подбужье;2.5
417;ПС 35/10 кВ Теребень;2.5
418;ПС 110/35/6 кВ Людиново;47
419;ПС 35/10 кВ Вербежичи;3.4
420;ПС 35/10 кВ Дубровка;2.5
421;ПС 35/10 кВ Жиздра;8
422;ПС 35/10 кВ Судимир;1.6
423;ПС 110/35/10 кВ Фаянсовая;32
424;ПС 35/10 кВ Выползово;12.6
425;ПС 35/10 кВ Желтоухи;2.5
426;ПС 35/10 кВ ССК;8
427;ПС 110/35/10 кВ Чипляево;22.3
428;ПС 35/10 кВ Барятино;8
429;ПС 35/10 кВ Буда;1.6
430;ПС 35/10 кВ Павлиново;1.6
431;ПС 35/10 кВ Спас-Деменск;8
432;ПС 110/35/10 кВ Болва;31.3
433;ПС 35/10 кВ Тягаево;3.2
434;ПС 110/35/10 кВ Думиничи;26
435;ПС 35/10 кВ Хотьково;1.8
436;ПС 35/10 кВ Брынь;4
437;ПС 110/10 кВ Заводская;25
