Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Возейская;80;220/35/6
ПС 220 кВ Воркута;250;220/110/35
ПС 220 кВ Газлифт;80;220/35/10
ПС 220 кВ Зеленоборск;64;220/110/10
ПС 220 кВ Инта;80;220/110/35
ПС 220 кВ Микунь;282;220/110/10
ПС 220 кВ Печора;158;220/110/35/10
ПС 220 кВ Северная;926;220/10
ПС 220 кВ Северный Возей;50;220/35/6
ПС 220 кВ Синдор;50;220/35/10
ПС 220 кВ Сыктывкар;135;220/110/10
ПС 220 кВ Сыня;50;220/35/10
ПС 220 кВ Усинская;80;220/35/6
ПС 220 кВ Ухта;250;220/110/35
