№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;ПС «Городская»;110/35/6;80
2;ПС «Тиман»;35/10/6;32
3;ПС «Октябрьская»;35/6;16.3
4;ПС «ВМЗ»;35/6;20
5;ПС «Воркутинская»;35/6;32
6;ПС «Вентствол №2 ш. Воркутинская»;35/6;9.6
7;ПС «Карьерная»;35/6;4
8;ПС «Юнь-Яга»;110/35/6;32
9;ПС «Советская»;35/6;12.6
10;ПС «Усинская»;35/6;12.6
11;ПС «Южная»;110/6;32
12;ПС «Северная-2»;110/6/6;20
13;ПС «ЦВК»;35/6;20
14;ПС «Шахтерская»;110/10;12.6
15;ПС «Вентствол №4 ш. Воркутинская»;110/6/6;20
16;ПС «Юр-Шор»;35/6;12.6
17;ПС «Вентствол №3 ш. Комсомольская»;35/6;20
18;ПС «Заполярная»;35/6;32
19;ПС «Юбилейная»;35/10/6;32
20;ПС «ЦОФ»;110/10/6;50
21;ПС «Северная»;35/6;32
22;ПС «ВЦЗ»;35/6;20
23;ПС «Новая»;35/6;11.9
24;ПС «Воргашорская»;110/6;50
25;ПС «Ярвож»;110/6;20
26;ПС «Юго-Западная»;35/6;12.6
27;ПС «Интинская»;35/6;32
28;ПС «Восточная»;35/6;20
29;ПС «РВК»;35/6;8
30;ПС «Коммунальная»;35/10;20
31;ПС «Районная»;35/6;20
32;ПС «Заводская»;35/6;8
33;ПС «Шахтная»;35/6;12.6
34;ПС «Промбаза»;35/10;32
35;ПС «Насосная 1 подъема»;35/6;5
36;ПС «Сельхозкомплекс»;35/10;20
37;ПС «Парогенераторная» 20У;35/6;12.6
38;ПС «Западная» (УРЭС);35/10;32
39;ПС «Баган» - сев. нефть;35/6;12.6
40;ПС «Парма»;35/6;12.6
41;ПС «1У»;35/6;6.3
42;ПС «2У»;35/6;12.6
43;ПС «7У»;35/6;20
44;ПС «8У»;35/6;12.6
45;ПС «9У»;35/6;12.6
46;ПС «12У»;35/6;12.6
47;ПС «6У»;35/6;20
48;ПС «15У»;35/6;12.6
49;ПС «Усть-Уса»;35/10;3.2
50;ПС «Промысловая»;220/35/6;80
51;ПС «КС УГПЗ»;220/35/6;80
52;ПС «2СВ»;35/6;12.6
53;ПС «2В»;35/6;12.6
54;ПС «3В»;35/6;12.6
55;ПС «4В»;35/6;12.6
56;ПС «5В»;35/6;12.6
57;ПС «6В»;35/6;12.6
58;ПС «7В»;35/6;12.6
59;ПС «8В»;35/6;12.6
60;ПС «9В»;35/6;12.6
61;ПС «11В»;35/6;12.6
62;ПС «12В»;35/6;12.6
63;ПС «14В»;35/6;12.6
64;ПС «15В»;35/6;12.6
65;ПС «16В»;35/6;12.6
66;ПС «17В»;35/6;12.6
67;ПС «18В»;35/6;12.6
68;ПС «Трош»;35/10;3.5
69;ПС «Водозабор»;35/6;12.6
70;ПС «ЖБИ»;110/10;20
71;ПС «Городская»;110/10;50
72;ПС «Западная»;110/10;6.3
73;ПС «Белый-Ю»;110/10;12.6
74;ПС «Кожва»;110/20/10;20
75;ПС «Сухой-Лог»;110/6;12.6
76;ПС «Берёзовка»;110/10;5
77;ПС «Чикшино»;110/10;20
78;ПС «Западно-Соплесская»;110/6;12.6
79;ПС «Речная»;35/10;10
80;ПС «Южная»;35/10;12.6
81;ПС «Ермак»;35/10;4
82;ПС «Каджером»;110/10;12.6
83;ПС «Лемью»;110/10;12.6
84;ПС «Городская»;110/35/10;81
85;ПС «КС-10»;110/35/10;20
86;ПС «Водный»;110/35/6;32
87;ПС «Ярега»;110/35/6;75
88;ПС «Ветлосян»;110/35/6;50
89;ПС «Западная»;110/10;50
90;ПС «Геолог»;35/10;8
91;ПС «ДСК»;35/10;12.6
92;ПС «Боровая»;35/10;5
93;ПС «Озерная»;35/10/6;32.3
94;ПС «Седью»;35/6;1.8
95;ПС «Дальняя»;35/6;7.2
96;ПС «Водовод»;35/6;5.7
97;ПС «Первомайская»;35/6;7.2
98;ПС «Герд-Ель»;35/6;3.2
99;ПС «Верховье»;110/35/6;126
100;ПС «Н.Одес»;110/6;36
101;ПС «Пашня»;110/35/6;32
102;ПС «Сев. Савинобор»;110/35/6;26
103;ПС «Сосновка»;110/10;50
104;ПС «Джьер»;35/6;6.4
105;ПС «Ванью»;110/6;6.4
106;ПС «Металлобаза»;35/6;5.8
107;ПС «Керки»;35/6;1.6
108;ПС «Водозабор»;35/6;2.8
109;"ПС ""ДНС-3"" (№504)";35/6;6.3
110;ПС «Вуктыл-1»;110/35/6;20
111;ПС «Вуктыл-2»;110/35/6;32
112;ПС «Промбаза»;35/6;6.4
113;ПС «2-ймикрорайон»;35/6;10.3
114;ПС «ГОС»;35/6;8
115;ПС «1-йподъем»;35/6;2.2
116;ПС «Дутово»;35/10;1
117;ПС «УКПГ-1»;35/6;5
118;ПС «УКПГ-2»;35/6;5
119;ПС «УКПГ-4»;35/6;4.3
120;ПС «УКПГ-8»;35/6;5
121;ПС «Подчерье»;35/10;3.2
122;ПС «Кырта»;35/0,4;1
123;ПС «2-йподъем»;35/0,4;1.2
124;ПС «Троицк»;110/35/10;20
125;ПС «Верхняя Омра»;110/35/6;26
126;ПС «Южная»;110/10;20
127;ПС «Крутая»;110/10;5
128;ПС «Комсомольская»;35/10;2.4
129;ПС «Мамыль»;35/10;1.6
130;ПС «Белый Бор»;35/10;2.5
131;ПС «Мылва»;35/10;1.6
132;ПС «Илыч»;35/10/6;5
133;ПС «Вой-Вож»;110/35/6;10
134;ПС «900» (Н. Омра);35/6;4
135;ПС «200»;35/6;1
136;ПС «220» (Бадъель);35/0,4;0.3
137;ПС «700»;35/6;12.6
138;ПС «Усть-Цильма»;110/20/10;26.3
139;ПС «Синегорье»;110/10;16.3
140;ПС «Замежная»;110/10;5
141;ПС «Ижма»;110/10;12.6
142;ПС «Щельяюр»;110/10;20
143;ПС «Керчомья»;110/10 ;6.3
144;ПС «Пожег»;110/10 ;6.3
145;ПС «Помоздино»; 110/10 ;6.3
146;ПС «Усть-Нем»;110/10 ;6.3
147;ПС «Усть-Кулом»;110/10 ;22.6
148;ПС «Зимстан»;110/10 ;6.3
149;ПС «Богородск»;110/10 ;5
150;ПС «Корткерос»;110/10 ;12.6
151;ПС «Приозерная»;110/10 ;2.5
152;ПС «Мордино»;110/10 ;5.7
153;ПС «Подтыбок»;110/10 ;5
154;ПС «Сторожевск»;110/10 ;5
155;ПС «Койгородок»;110/10 ;12.6
156;ПС «Подзь»;110/10 ;5
157;ПС «Гурьевка»; 110/10 ;2.5
158;ПС «Летка»;110/10 ;5
159;ПС «Ношуль»;110/10 ;6.3
160;ПС «Оъячево»;110/10 ;12.6
161;ПС «Спаспоруб»;110/10 ;2.5
162;ПС «Лойма»;110/10 ;2.5
163;ПС «Луза»;110/10 ;6.3
164;ПС «Куратово»;110/10 ;2.5
165;ПС «Межадор»;110/10 ;2.5
166;ПС «Пыелдино»;110/10 ;2.5
167;ПС «Визинга»;110/10 ;12.6
168;ПС «Жешарт»; 110/10/6 ;50
169;ПС «Айкино»; 110/10 ;12.6
170;ПС «Усть-Вымь»;110/10 ;6.3
171;ПС «Благоево»; 110/10 ;12.6
172;ПС «Чернутьево»; 110/10 ;5
173;ПС «Едва»;110/10 ;5
174;ПС «Междуреченск»;110/10 ;6.3
175;ПС «Усогорск»;110/35/10 ;15.1
176;ПС «Кослан»; 35/10 ;5.6
177;ПС «Княжпогост»;110/35/6 ;32
178;ПС «Серегово»;110/10 ;12.6
179;ПС «Железнодорожная»;35/10/6 ;9.6
180;ПС «Онежье»;35/10 ;3.4
181;ПС «Тракт»; 35/10 ;1.6
182;ПС «Весляна»; 35/10 ;5
183;ПС «Ропча»; 35/10 ;4
184;ПС «Краснозатонская»;110/10 ;32
185;ПС «Зеленец»;110/10 ;20
186;ПС «Восточная»;110/10 ;50
187;ПС «Западная»;110/10 ;80
188;ПС «Орбита»;110/10 ;75
189;ПС «Пажга»;110/10 ;12.6
190;ПС «Часово»;110/10 ;2.5
191;ПС «Соколовка»;110/10 ;12.6
192;ПС «Южная»;110/10 ;105
193;ПС «Човью»;110/10 ;32
194;ПС «Выльгорт»;110/10 ;32
195;ПС «Емваль»;110/10;20
