Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
"ПС 35/6 кВ ""Сандогора""";1964;1;58.1898825439991;40.964550990542
"ПС 35/10 кВ ""Гридино"" ";1995;1.8;57.7101495084343;41.139373670759
"ПС 35/10 кВ ""Новинки""";1971;1.8;57.6742673297024;41.4404434159568
"ПС 35/10 кВ ""Прискоково"" ";1984;2.5;57.5059656030648;41.438292023685
"ПС 110/10 кВ ""Григорцево"" ";1987;2.5;57.3731435627627;40.4843246139704
"ПС 110/10 кВ ""Клементьево""";2007;6.3;57.346404199833;40.816422523017
"ПС 35/10 кВ ""Рудино""";1973;2.5;57.4558355771727;40.8836164377304
"ПС 35/10 кВ ""Стоянково""";1977;1.6;57.4835788200169;40.7214674888836
"ПС 35/10 кВ ""Адищево""";1978;4;57.6662140744131;42.141638859568
"ПС 110/10 кВ ""Столбово"" ";1989;10;57.9291818547234;41.937044027747
"ПС 35/10 кВ ""Раслово"" ";1979;2.5;57.832710283116;41.4336997660481
"ПС 35/10 кВ ""Андреевское"" ";1979;1.6;58.152011157051;41.2883852937211
"ПС 35/10 кВ ""Попадьино"" ";1990;1.6;58.1862598078121;41.8877120398646
"ПС 110/10 кВ ""Елегино"" ";1987;2.5;58.7260104996056;41.9152105895244
"ПС 35/10 кВ ""Кренёво""";1989;2.5;58.5380042772016;41.3504685553701
"ПС 35/10 кВ ""Семеновское"" ";1991;1.6;58.3381037577598;41.3556667961352
"ПС 35/10 кВ ""Химик"" ";1969;3.2;58.5052091948879;41.5279324740402
"ПС 35/10 кВ ""Левково"" ";1992;1.6;58.5460181682215;42.1740925502677
"ПС 35/10 кВ ""Н. Берёзовец """;1976;2.5;58.6296758003352;42.2680363333558
"ПС 35/10 кВ ""Степаново"" ";1967;4;58.4467196973194;42.5165305105528
"ПС 35/10 кВ ""Горбачево""";1978;1;59.084791519264;42.6441065529433
"ПС 35/10 кВ  ""Калинино""";1992;1.6;58.9800020783906;41.8804073417431
"ПС 35/10 кВ ""Куземино""  ";1986;1.6;59.2320890067728;42.5078206658822
"ПС 35/10 кВ ""Совега"" ";1985;1;59.2878011599849;42.135713238766
"ПС 110/10 кВ ""Луковцино"" ";1988;2.5;58.6238897020365;42.6138197528918
"ПС 110/10 кВ ""Фёдоровское"" ";1983;2.5;58.8296311135245;42.5338975963263
"ПС 35/10 кВ ""Панкратово"" ";1997;1;59.1291171765865;43.4560517491185
"ПС 35/10 кВ ""Петровское"" ";1979;1.6;58.7565427189641;43.0132976186555
"ПС 35/10 кВ ""Котельниково"" ";1989;1;58.1059878298693;42.882018952219
"ПС 35/10 кВ ""Легитово"" ";1992;2.5;58.0718075501847;42.7300213594016
"ПС 35/10 кВ ""Слобода"" ";2002;2.5;58.4571240866789;42.9512032938889
"ПС 35/10 кВ ""Завражье"" ";1989;1.6;57.4098669491276;43.1547951561961
"ПС 35/10 кВ ""Окулово"" ";1977;1.6;57.4007848068519;42.9087539832099
"ПС 35/10 кВ ""Чернышево"" ";1972;4;57.5423891946983;43.1502190521623
"ПС 110/35/10 кВ ""Яковлево"" ";1967;10;58.7132175169674;44.6669039108159
"ПС 35/10 кВ ""Черменино"" ";1978;1.6;59.0592788801936;44.0039575454554
