№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;ПС-30 Лоймола;110/10 ;6.3
2;ПС-31 Гимолы;110/10 ;2.5
3;ПС-35 Найстеньярви;110/10 ;12.6
4;ПС-95 Хаапалампи;110/10 ;5
5;ПС-28 Вяртсиля;110/35/10 ;12.6
6;ПС-32 Суккозеро;110/35/10 ;20
7;ПС-34 Лахденпохья;110/35/10 ;26.3
8;ПС-94 Кирьявалахти;110/35/10 ;16.3
9;ПС-25 Питкяранта;110/35/6 ;50
10;ПС-26 Ляскеля;110/35/6 ;16.3
11;ПС-27 Сортавала;110/35/6 ;80
12;ПС-29 Поросозеро;110/35/6 ;16.3
13;ПС-93 Карьерная;110/35/6 ;12.6
14;ПС-38С Хямекоски;35/10;7.4
15;ПС-39С Харлу;35/6 ;1
16;ПС-10С Таунан;35/10;5
17;ПС-11С Липпола;35/10;5
18;ПС-12С Октябрь;35/10;1
19;ПС-13С Пийтсиеки;35/10;6.3
20;ПС-15С Труд;35/10;2.5
21;ПС-17С Салми;35/10;5
22;ПС-18С Хаутаваара;35/10;0.6
23;ПС-19С Вешкелицы;35/10;5
24;ПС-2С Куокканиеми;35/10;1.8
25;ПС-33С Ууксу;35/10;2
26;ПС-37С Игнойла;35/10;1
27;ПС-40С Леппясюрья;35/10;4.1
28;ПС-41С Тумба;35/10;1
29;ПС-42С Мотко;35/10;2.5
30;ПС-43С Лендеры;35/10;1.6
31;ПС-44С Ряймяля;35/10;5
32;ПС-45С Тохма;35/10;8
33;ПС-48С Ихала;35/10;5
34;ПС-4С Леванпельто;35/10;8
35;ПС-7С Искра;35/10;5
36;ПС-8С Элисенваара;35/10;5
37;ПС-1С Сортавала-Новая;35/6;50
38;ПС-20С Поросозеро;35/6;3.2
39;ПС-21С Хелюля;35/6;8
40;ПС-22С Кааламо;35/6;5
41;ПС-23С Кааламо;35/6;5
42;ПС-36С Ладожская;35/6;2.5
43;ПС-3С Туокслахти;35/6;5
44;ПС-46С Приладожская;35/6;12.6
45;ПС-5С Рускеала;35/6;8
46;ПС-6С Леппясилта;35/6;1.6
47;ПС-9С Импилахти;35/6;5
48;ПС-12 Беломорск;110/35/10 ;26
49;ПС-16К БЛДК;35/10;12.6
50;ПС-55 Калевала;110/10 ;12.6
51;ПС-53 Боровое;110/10 ;12.6
52;ПС-54 Кепа;110/10 ;2.5
53;ПС-28К Баб-Губа;35/10;3.4
54;ПС-29К Рабочий Остров;35/6;8
55;ПС-35К Электрокотельная;35/6;32
56;ПС-36К Белый Порог;35/6;4
57;ПС-9 Ругозеро;110/10 ;5
58;ПС-13 Ледмозеро;110/35/10 ;20
59;ПС-33 Пенинга;110/35/10 ;10
60;ПС-32К Муезерка;35/10;5
61;ПС-34К Волома;35/10;2.5
62;ПС-56 Пяозеро;110/10 ;8.8
63;ПС-57 Сосновый;110/10 ;2.5
64;ПС-58 Кестеньга;110/10 ;5
