Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/35/10 Артюховка;1984;6.3;51.5705202275816;35.7424125755201
ПС 110/35/10 Беседино;1977;6.3;51.7116510579766;36.4887627963753
ПС 110/10 Восход;1988;10;51.1352440007992;35.5485949793887
ПС 110/35/10 Журятино;1991;6.3;51.647925284194;34.7348888387189
ПС 110/35/10 Жуковка;1990;10;52.2066841809661;36.2235773986728
ПС 110/10 Забелье;1978;2.5;51.7299353926526;37.134825126561
ПС 110/10 Ивница;1980;6.3;51.4165997421764;35.2981204681161
ПС 110/35/10 Лачиново;1979;10;51.7962891332117;37.9165575577788
ПС 110/10 Малая Локня;1971;10;51.3338069071287;35.2307843655997
ПС 110/10 Марица;1977;2.5;51.7574178045801;35.2980781189473
ПС 110/35/10 Расховец;1972;6.3;51.898111633993;37.4251885200775
ПС 110/10 Семеновская;1975;2.5;52.4133386987502;35.6050761997873
ПС 110/35/10 Троицкая;1977;10;52.1982939093214;35.6122747002461
ПС 35/10 Автодор;1994;2.5;51.6312114820478;35.9807838793579
ПС 35/10 Агроном;1987;1.8;51.2119773173596;35.3957296906318
ПС 35/10 Акимовка;1982;2.5;51.5157332334824;34.3834314220883
ПС 35/10 Алексеевка;1974;2.5;52.0235318632024;36.827133670982
ПС 35/10 Афанасьевка (ЗЭС);1969;4;51.7763068762118;35.6018682334755
ПС 35/10 Б. Гнеушево;1975;2.5;51.7010694598159;34.4967437601208
ПС 35/10 Б.Солдатское 1;1971;3.2;51.2980500135466;35.498027494389
ПС 35/10 Банищи;1978;1.6;51.6859814347394;35.0557034711446
ПС 35/10 Бараново;1981;4;51.389638772043;37.7076088117127
ПС 35/10 Белгородка;1973;2.5;51.5060864721176;37.6958254504252
ПС 35/10 Белица;1975;4;51.0885926355327;35.5764546141702
ПС 35/10 Бирюковка;2007;2.5;51.2738749952452;35.4616578451465
ПС 35/10 Бобровка;1988;1.6;52.2180471099194;36.4369829815598
ПС 35/10 Боброво;1987;2.5;51.5598942983442;34.5409926424669
ПС 35/10 Будки;1982;1;51.3966148608845;34.5673357358916
ПС 35/10 Букреевка (ЦЭС);1979;1.8;51.848258418056;36.2611616717383
ПС 35/10 Букреевка (ЗЭС);1993;1.6;51.4922774993757;35.4229416660767
ПС 35/10 Бурцевка;1987;1.6;51.4234252786148;37.4206741340671
ПС 35/10 В. Щигор;1977;2.5;51.9652746124524;37.2176161944175
ПС 35/10 Ванино;1975;2.5;51.6884194760736;35.8792938384769
ПС 35/10 Васильевка;1982;2.5;51.9214632163626;35.136561761796
ПС 35/10 Водохранилище;1979;4;51.7837867303595;36.2390845837846
ПС 35/10 Волоконск;1990;2.5;51.4371701583289;35.4208344514322
ПС 35/10 Воробьевка;1967;2.5;51.4316135887194;36.4057747332866
ПС 35/10 Воронок;1976;4;51.6277902014716;34.3129105149617
ПС 35/10 Вязовое;1979;2.5;51.905812829803;36.9697972997637
ПС 35/10 Гахово;1975;2.5;51.3678865804659;35.8303211940544
ПС 35/10 Генеральшино;1990;2.5;52.0828134574291;35.2823164663425
ПС 35/10 Глазово;1979;2.5;51.9056838456529;35.4525374090944
ПС 35/10 Глебово;1982;2.5;52.08061460981;35.9947793743017
ПС 35/10 Гордеевка;1989;1.6;51.2134923260523;34.872947893054
ПС 35/10 Городенск;1990;1.6;51.6787090141864;35.3703814480081
ПС 35/10 Горяиново;1965;2.5;51.1763439939091;36.3045195641269
ПС 35/10 12-й Госконезавод;1994;2.5;51.7385716320563;37.9042054003594
ПС 35/10 Грайворонка;1990;2.5;51.7857241329517;37.7700842616786
ПС 35/10 Гриневка;1989;2.5;51.92386076045;37.5770320278708
ПС 35/10 Густомой;1988;1.6;51.6385865381933;35.0715043894497
ПС 35/10 Дарьино;1971;2.5;51.2640833734789;35.2712979314025
ПС 35/10 Демякино;1978;2.5;52.0140205557661;36.5613403851105
ПС 35/10 Ефросимовка;1975;1.8;51.6122285240366;37.5255558596771
ПС 35/10 Жданово;1983;2.5;52.1089357675193;35.659640869868
ПС 35/10 Защитное;1985;1.6;51.713879595488;36.7407518585289
ПС 35/10 Званное;1984;2.5;51.3619035021945;34.5604294524772
ПС 35/10 Знаменка;1982;1.8;51.4819443427205;37.7640768603031
ПС 35/10 Искра;1979;2.5;51.6237839718194;36.5271518519055
ПС 35/10 Казанка;1973;4;52.1469495051726;36.6503607693047
ПС 35/10 Калиновка (новая);1993;2.5;51.8917811194598;34.4960944513833
ПС 35/10 Карыж;1985;1.6;51.3633374955298;34.4447474001883
ПС 35/10 Китаевка;1983;1.6;51.4903773220405;36.3343834531597
ПС 35/10 Кобылки;1983;2.5;51.3157781673744;34.6646429957873
ПС 35/10 Колонтаевка;1992;2.5;51.5634129490912;35.1184752641436
ПС 35/10 Кондратовка;1965;1.8;50.9846340240904;35.4649436930903
