Наименование;Установленная мощность, МВА;Классы напряжения
ПС 1150 кВ Итатская;1002;500/220/10
ПС 220 кВ Абалаковская;250;220/110/10
ПС 220 кВ БУР-1;250;220/110/10
ПС 220 кВ Горевский ГОК;80;220/35/6
ПС 220 кВ ГПП г.Кодинск;407;220/110/10
ПС 220 кВ Дивногорская;282;220/110/10
ПС 220 кВ Заводская;432;220/110/10
ПС 220 кВ Зелёная;300;220/10/10
ПС 220 кВ КИСК;400;220/110/10
ПС 220 кВ Красная сопка;50;220/35/10
ПС 220 кВ Левобережная;1030;220/110/10
ПС 220 кВ Минусинская-Опорная;250;220/110/10
ПС 220 кВ Октябрьская;400;220/110/10
ПС 220 кВ Правобережная;740;220/110/10
ПС 220 кВ Приангарская;250;220/110/10
ПС 220 кВ Раздолинская;250;220/110/10
ПС 220 кВ Рассвет;282;220/110/10
ПС 220 кВ Тайга;250;220/110/10
ПС 220 кВ ТПК;126;220/110/10
ПС 220 кВ Троицкая Красн.ПМЭС;32;220/110/10
ПС 220 кВ Ужур;250;220/110/10
ПС 220 кВ Узловая;832,8;220/110/10
ПС 220 кВ Центр;400;220/110/10
ПС 220 кВ Шарыповская;250;220/110/10
ПС 220 кВ Шушенская - Опорная;189;220/110/10
ПС 500 кВ Ангара;2004;500/220/10
ПС 500 кВ Енисей;1602;500/220/10
ПС 500 кВ Камала-1;1400;500/220/110/10
ПС 500 кВ Красноярская;2403;500/220/35
