№ п/п;Наименование центра питания;ref;Классы напряжения, кВ;Установленная мощность, МВА
1;Березовка;49;35/10;6,5
2;Вознесенка;92;35/10;1,6
3;Долгий Мост;40;35/10;4
4;Залипье;39;35/10;3,2
5;Почет;91;35/10;1,6
6;Самойловка;38;35/10;5
7;Устьянская;42;35/10;5
8;Абан;5;110/35/10;32
9;Балахтон;51;35/10;6,5
10;Белый Яр;64;35/10;5
11;Косачи;95;35/10;2
12;М Ивановка;52;35/10;4
13;М Улуй;54;35/10;8
14;Нагорново;81;35/10;8
15;Преображенка;63;35/10;5
16;Птицесовхоз;82;35/10;8
17;Свинокомплекс;62;35/10;12,6
18;Козулька;50;35/10;2,5
19;Ястребово;74;35/10;5
20;Городская;10;110/10;50
21;ЖБИ;26;110/10;12,6
22;Козульская;19;110/35/10;26
23;Северная;13;110/35/6;63,5
24;Тарутинская;12;110/10;6,3
25;Центральная;15;110/10;50
26;Белоярская;92;35/10;5
27;Березовая;100;35/10;1,6
28;Грузенка;90;35/10;12,6
29;Еловка;69;35/10;5
30;Курбатовская;91;35/10;7,3
31;Петропавловка;87;35/10;5
32;Черемушки;104;35/10;8
33;Балахтинская;33;110/10;20
34;Кожаны;42;110/10;12,6
35;Новый Огур;38;110/10;5
36;Приморская;32;110/10;8,8
37;Тюльковская;102;110/35/10;20
38;Базаиха;40;35/6;12,6
39;Бархатово;44;35/10;12,6
40;Зыково;85;35/10;4
41;Киндяково;137;35/10;8
42;Кулаковская;75;35/10;8
43;Маганская;35;35/10;5
44;Няша;37;35/6;8
45;Сокол;79;35/10;8
46;Шумково;39;35/6;20
47;Березовская ПТФ;43;35/0,4;3,6
48;Березовская;42;110/35/6;80
49;Вознесенка;36;110/6;12,5
50;Вагино;58;35/10;8
51;Васильевка;68;35/10;1,6
52;Владимировка;60;35/10;5
53;Критово;59;35/10;5
54;МалКасуль;80;35/10;4,1
55;Поваренкино;55;35/10;3,2
56;Тюхтет;56;35/10;6,3
57;Юрьевка;57;35/10;4
58;Боготольская;11;110/35/10;30
59;Н-Каштан;18;110/6;50
60;Тюхтет;40;110/35/10;32
61;Боготольский;17;110/10;0
62;Айтат;168;35/10;4,3
63;Большой Кантат;58;35/10;0,63
64;Предивинск;61;35/10;5
65;Российка;60;35/10;4,1
66;Таловка;59;35/10;6,4
67;Юксеево;72;35/10;2,5
68;Бартат;56;110/35/10;20
69;Большая Мурта;57;110/35/10;32
70;Б.Улуй;53;35/10;2,5
71;Зачулымка;66;35/10;1
72;Кирчиж;90;35/10;3,2
73;Маталассы;92;35/10;3,2
74;Н Еловка;76;35/10;8
75;Полевое;65;35/10;1,8
76;Ст.Бирилюссы;83;35/10;1
77;Сучково;96;35/10;3,6
78;Счастливое;61;35/10;1
79;Удачное;93;35/10;2
80;Восточная;16;110/35/10;26
81;Ново-Бирилюссы;14;110/35/10;12,6
82;Колон;46;35/10;1,6
83;Орловка;59;35/10;5
84;Шеломки;45;35/10;8
85;Сухово;52;35/10;5
86;Фаначет;47;35/10;3,2
87;Дзержинская;6;110/35/10;32
88;Тасеево;8;110/35/10;26
89;Глядено;47;35/10;5
90;Дрокино;64;35/10;12,6
91;Заря;135;35/10;8
92;Малый Кемчуг;155;35/10;1,6
93;Никольская;136;35/10;8
94;Суханово;68;35/10/6;3,5
95;Сухая балка;133;35/10;8
96;Талая;88;35/10;4,1
97;Таскино;78;35/10;8
98;Творогово;116;35/10;2,5
99;Устюг;87;35/10;8
100;Шуваево;86;35/10;12,6
101;Элита;63;35/10;12,6
102;Емельяново-2;21;35/6;1,6
103;Передвижная;150;35/6;10
104;Емельяново-110;45;110/35/10;50
105;Западная-2;90;110/35/6;20
106;Солонцы;134;110/10;32
107;Частоостровская;94;110/10;12,6
108;Озерная;188;110/35/10;126
109;Погодаево;18;35/10;5
110;Подгорная;13;35/10;3,2
111;Полюс;14;35/6;8
112;Стрелка;51;35/6;10,3
113;Усть-Кемь;15;35/10;1,6
114;Лесосибирский КЭЗ;5;110/10;26
115;Н.Енисейский завод ДВП;4;110/6;32
116;Подсобное хозяйство;9;110/6;20
117;Лесосибирский ЛДК-2;8;110/6;32
118;Верхнепашино;12;110/10;16
119;Высокогорская;20;110/10;12,6
120;Городская;7;110/10;50
121;Енисейская;11;110/35/10;50
122;Лесосибирский ЛДК-1;6;110/6;32
123;Мотыгино;42;110/10;12,6
124;Н.Енисейский ЛДК;10;110/6;32
125;Партизанская;43;110/35/6;26
126;Подтесово;17;110/10;12,6
127;В.Усинская;42;35/10;5
128;Григорьевка;40;35/10;2,5
129;Мигна;10;35/10;8
130;Морозово;32;35/10;5
131;Танзыбей;41;35/10;2,5
132;Ермаковская;33;110/35/10;35
133;Б.Хабык;46;35/10;5,6
134;Большие Кныши;14;35/10;3,5
135;Отрок;45;35/10;2
136;Б.Салба;44;110/10;6,3
137;Идринская;53;110/35/10;20
138;Н.Берёзовская;49;110/10;2,5
139;Романовская;48;110/35/10;6,3
140;Верхняя Уря;38;35/10;4,1
141;Маловка;70;35/10;5
142;Новотроицкая;36;35/10;4,1
143;Подсобное хозяйство;32;35/10;1
144;Рассвет;34;35/10;4,3
145;Степановка;90;35/10;1,6
146;Тальская;19;35/10;5
147;Тумаково;59;35/10;8
148;Усть-Ярульская;37;35/10;5
149;Нагорная;48;110/35/10;20
150;Александровка;35;35/10;5
151;Вороковка;32;35/10;8
152;Дудовка;31;35/10;5
153;Кемская;22;35/10;5
154;Пискуновка;25;35/10;1,6
155;Чистополка;26;35/10;1
156;Большая Кеть;34;35/10;12,6
157;Бушуй;36;35/10;0
158;Казачинская;21;110/10;20
159;Мокрушинская;23;110/35/10;12,6
160;Шапкино;3;110/10;12,6
161;Пировская;33;110/35/10;31,3
162;Троица;37;110/10;12,6
163;Алгасы;97;35/10;3,2
164;Анцирь;58;35/10;5
165;Б.Уря;76;35/10;5
166;Верхний Амонаш;31;35/10;3,4
167;Восточная;21;35/6;20
168;Мокруша;50;35/10;5
169;Музыка;96;35/10;3,2
170;Сотниково;54;35/10;8
171;Таежное;37;35/10;4,3
172;Тарай;74;35/10;5,8
173;Чечеул;70;35/10;8
174;Георгиевка;7;110/35/10;20
175;Городская;1;110/35/6;50
176;ЗЛМК;9;110/35/10;50
177;Карьер;20;110/35/6;20
178;Канская опорная;3;110/10;26
179;Правобережная;102;110/10;16,3
180;ХБК;2;110/6;40
181;Юго-Восточная;4;110/35/10;32
182;Моторская;17;35/10;5
183;Уджейская;16;35/10;8
184;Ширыштыкская;18;35/10;8
