Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Лодейнопольская;126;220/110/10
ПС 220 кВ Пикалёвская;185;220/110/6
ПС 220 кВ Подпорожская;126;220/110/10
ПС 330 кВ Восточная;1852,6;330/220/110/35/10/6
ПС 330 кВ Гатчинская;726;330/110/35/6
ПС 330 кВ Зеленогорск;400;330/110/35
ПС 330 кВ Каменногорская;250;330/110/10
ПС 330 кВ Кингисеппская;450;330/110/10
ПС 330 кВ Лужская;250;330/110/10
ПС 330 кВ Пулковская;400;330/110/10
ПС 330 кВ Сясь;780;330/220/110/35/6
ПС 330 кВ Тихвин-Литейный;700;330/220/110/10
ПС 400 кВ Выборгская;1007,3;440/330/110/10
ПС 750 кВ Ленинградская;2430;750/330/110/6
