Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 110/10кВ Лев Толстой;1964;10;53.2169710924581;39.4816246190518
ПС 110/10 кВ Двуречки;1979;6.3;52.4486092290405;39.7159163518556
ПС 35/10 кВ Веселое;1984;2.5;52.3525150743259;38.0676900226417
ПС 35/10 кВ Кр.Пальна;1965;3.2;52.8577628106483;38.487695690839
ПС 35/10 кВ Каменка;1968;2.5;52.8701001386934;38.2525186358997
ПС 35/10 кВ Красотыновка;1981;2.5;52.3057754067838;38.1823795066869
ПС 35/10 кВ Озёрки;1984;2.5;52.0841765721138;38.7350564896252
ПС 35/10 кВ Панкратовка;1973;2.5;52.6481469564784;38.0996776649148
ПС 35/10 кВ Преображенье;1982;2.5;52.5712532849197;37.8690034342148
ПС 35/10 кВ Яковлево;1970;2.5;52.1285944455269;38.5827525624266
ПС 35/10 кВ Первомайская;1981;2.5;53.0767153199779;39.6057742579006
ПС 35/10 кВ Каменная Лубна;1970;2.5;52.7655586195661;39.1130959391351
ПС 35/10 кВ Знаменка;1980;2.5;53.2880316966625;39.3973902575631
ПС 35/10 кВ Пиково;1982;2.5;53.2958883312812;39.8288769946169
ПС 35/10 кВ Никольское;1984;4;53.3727406250845;39.9231647947107
ПС 35/10 кВ Песковатка;1973;1.6;52.5195641667129;40.0323180632977
ПС 35/6 кВ Дружба;1977;5.6;52.5377372416818;39.8630540498615
ПС 35/6 кВ Новониколаевка;1974;4;52.6306788353631;39.4308758269795
ПС 35/10 кВ Синдякино;1983;2.5;52.1159578794024;39.3176328688655
ПС 35/10 кВ Курино;1988;2.5;52.197765090447;39.3671810051223
ПС 35/10 кВ Новодубовое;1983;2.5;52.3043236094129;39.1871558621568
ПС 35/10 кВ Березовка  ;1986;2.5;;
ПС 35/6 кВ Карьер;2009;4;52.6465972419779;39.6934152000554
ПС 110/10 кВ Рождество;2016;25;52.889797;38.96636
ПС 110/6 кВ Агрегатная;1977;32;52.6535505277202;38.4427058472369
ПС 110/6 кВ Западная;1999;80;52.5994546253252;38.4643683068255
ПС 110/10 кВ Кашары;1972;16.3;52.4746944848908;38.9719646100004
ПС 110/10кВ Тербунский гончар;2008;50;52.1066755003307;38.2589461687148
ПС 110/6 кВ Табак;1981;32;52.628051190566;38.5542240311774
ПС 110/10 кВ Лукошкино;1990;5;52.6183283453015;38.8066637501099
ПС 110/10кВ  Нива ;1986;20;53.0257961468405;39.1411711996949
