Наименование центра питания;Установленная мощность, МВА
ПС 35/6 кВ Абаснур;3.6
ПС 110/10 кВ Агрегатная;46.3
ПС 110/10 кВ Акашево;12.6
ПС 110/10 кВ Аленкино;26
ПС 110/10 кВ Арбаны;6.3
ПС 110/35/10 кВ Большой Ляждур;6.3
ПС 110/35/10 кВ Визимьяры;16.3
ПС 110/10 кВ Виловатово;12.6
ПС 35/6 кВ Воскресенск;5
ПС 35/10 кВ Голубая;5
ПС 110/10/6 кВ Городская;80
ПС 110/35/10 кВ Данилово;20
ПС 110/35/10 кВ Еласы;16.3
ПС 110/10 кВ Заречная;81
ПС 110/35/10 кВ Звенигово;20
ПС 35/10 кВ Зеленогорск;3.2
ПС 110/35/10 кВ Илеть;6.3
ПС 35/10 кВ Кадам;5
ПС 35/10 кВ Казанск;2.5
ПС 35/10 кВ Карлыган;1.6
ПС 35/10 кВ Килемары;8
ПС 35/10 кВ Кленовая Гора;4.1
ПС 110/10 кВ Козьмодемьянск;32
ПС 110/10 кВ Кокшайск;6.3
ПС 35/10 кВ Коркатово;2.5
ПС 110/10 кВ Косолапово;8.8
ПС 35/10 кВ Красногорск;5
ПС 110/10 кВ Краснооктябрьск;16.3
ПС 110/10 кВ Красный Мост;2.5
ПС 35/10 кВ КС-21;12.6
ПС 110/10 кВ Куженер;12.6
ПС 35/10 кВ Кукнур;2.5
ПС 35/10 кВ М.Кугунур;4
ПС 110/35/10 кВ Кундыш;50
ПС 35/10 кВ Ленинская;2.5
ПС 110/6 кВ Лесная;12.6
ПС 35/10 кВ Лидвуй;2.5
ПС 110/35/6 кВ Луговая;10
ПС 110/10 кВ Люльпаны;2.5
ПС 35/10 кВ Майская;2.5
ПС 35/10 кВ Мари-Билямор;2.5
ПС 35/10 кВ Мариец;3.6
ПС 35/10 кВ Мари-Сола;1.6
ПС 110/35/10 кВ Мари-Турек;20
ПС 35/10 кВ Масканур;2.5
ПС 110/10 кВ Медведево;26
ПС 110/10 кВ Мелковка;32
ПС 35/10 кВ Микряково;8
ПС 110/35/10 кВ Морки;26
ПС 110/35/10 кВ Новый Торъял;20
ПС 35/10 кВ Озерки;8
ПС 110/10 кВ ОКБ;32
ПС 110/35/10 кВ Оршанка;26
ПС 35/10 кВ Памашъял;8
ПС 110/10 кВ Памъялы;12.6
ПС 110/35/10 кВ Параньга;20
ПС 110/10 кВ Параты;12.6
ПС 35/10 кВ Пахомово;5
ПС 35/10 кВ Пектубаево;4
ПС 110/10 кВ Пемба;32
ПС 110/10 кВ Пижма;12.6
ПС 110/10 кВ Пионерская;6.3
ПС 110/10 кВ Помары;20
ПС 35/10 кВ Русские Шои;2.5
ПС 35/10 кВ Руя-Сола;2.5
ПС 35/10 кВ Семейкино;2
ПС 110/35/10 кВ Сернур;20
ПС 110/6 кВ Сидельниково;6.3
ПС 35/10 кВ Силикатная;8
ПС 35/10 кВ Синеглазка;8
ПС 110/35/10 кВ Советская;26
ПС 110/35/10 кВ Сотнур;12.6
ПС 35/10 кВ Степная;2
ПС 110/35/10 кВ Суслонгер;20
ПС 110/10 кВ Табашино;12.6
ПС 35/10 кВ Токтар-Сола;1.6
ПС 110/35/10 кВ Троицкий Посад;10
ПС 35/10 кВ Хлебниково;8
ПС 35/10 кВ Филипп-Сола;3.2
ПС 35/10 кВ Шары;2.5
ПС 110/35/10 кВ Шелангер;16.3
ПС 110/10 кВ Шиньша;8.8
ПС 35/10 кВ Шулка;4
ПС 35/10 кВ Юледур;3.2
ПС 35/10 кВ Юркино;1.6
ПС 110/35/10 кВ Юрино;16.3
