№ п/п;Наименование центра питания;Установленная мощность, МВА
1;ПС 35 кВ Авгуры;2.5
2;ПС 110 кВ Аксел;2.5
3;ПС 35 кВ Алашеевка;5
4;ПС 110 кВ Алексеевка;32
5;ПС 35 кВ Алово;2.5
6;ПС 35 кВ Анненково;8
7;ПС 35 кВ Апраксино;5
8;ПС 110 кВ Ардатов;20
9;ПС 110 кВ Атемар;20
10;ПС 110 кВ Атюрьево;12.6
11;ПС 110 кВ Атяшево;20
12;ПС 35 кВ Ачадово;4.1
13;ПС 110 кВ Бабеево;8.8
14;ПС 110 кВ Барашево;12.6
15;ПС 35 кВ Береговые Сыреси;2.5
16;ПС 110 кВ Большие Березники;20
17;ПС 110 кВ Большая Елховка;12.6
18;ПС 110 кВ Большое Игнатово;20
19;ПС 110 кВ Большой Азясь;2.5
20;ПС 35 кВ Болдово;5
21;ПС 35 кВ Булгаково;1
22;ПС 35 кВ Верхняя Лухма;3.2
23;ПС 35 кВ Вечкусы;4.3
24;ПС 110 кВ Восточная;80
25;ПС 110 кВ Гарт;16
26;ПС 110 кВ  ГКС;32
27;ПС 35 кВ Горки;2.5
28;ПС 35 кВ Горяйновка;4.1
29;ПС 35 кВ Дачная;1.6
30;ПС 110 кВ Дубенки;20
31;ПС 35 кВ Дюрки;5
32;ПС 110 кВ Ельники;12.6
33;ПС 110 кВ Жегалово;2.5
34;ПС 35 кВ Жуково;4
35;ПС 110 кВ Заводская;32
36;ПС 110 кВ Зубова Поляна;12.6
37;ПС 110 кВ И-615;21.3
38;ПС 110 кВ Инсар;16.3
39;ПС 110 кВ Ичалки;20
40;ПС 35 кВ Кабаево;1.6
41;ПС 110 кВ Кадошкино;20
42;ПС 110 кВ Казенный Майдан;6.3
43;ПС 35 кВ Каласево;3.2
44;ПС 35 кВ Калиновка;2.5
45;ПС 110 кВ Калинино;10
46;ПС 110 кВ Кемля;6.3
47;ПС 35 кВ Киржеманы;2.5
48;ПС 35 кВ ККСК;8
49;ПС 110 кВ Ключарево;2.5
50;ПС 110 кВ Козловка;10
51;ПС 110 кВ Кочелаево;6.3
52;ПС 35 кВ Кочкурово;6.5
53;ПС 35 кВ Красная Рудня;10.3
54;ПС 35 кВ Красный Шадым;1.6
55;ПС 35 кВ Красино;4.1
56;ПС 110 кВ Краснослободск;20
57;ПС 35 кВ Куликово;2.5
58;ПС 110 кВ Кушки;2.5
59;ПС 110 кВ Лада;5
60;ПС 35 кВ Лемдяйский Майдан;1.6
61;ПС 35 кВ Лобаски;2.5
62;ПС 110 кВ Лямбирь;16.3
63;ПС 110 кВ Мамолаево;2.5
64;ПС 110 кВ Марьяновка;10
65;ПС 110 кВ Медаево;2.5
66;ПС 35 кВ Мельцаны;5
67;ПС 35 кВ Мокшалей;1.6
68;ПС 35 кВ Низовка;4.3
69;ПС 35 кВ Новодевичье;1.6
70;ПС 110 кВ Новое Зубарево;2.5
71;ПС 35 кВ Октябрьская;4.3
72;ПС 110 кВ Паракино;6.3
73;ПС 110 кВ Пензятка;6.3
74;ПС 35 кВ Первомайская;3.2
75;ПС 110 кВ Пивовар;50
76;ПС 35 кВ Пичеуры;5
77;ПС 110 кВ Посоп;50
78;ПС 35 кВ Протасово;1.6
79;ПС 110 кВ Пурдошки;12.6
80;ПС 35 кВ Пуркаево;1
81;ПС 110 кВ Пятина;5
82;ПС 110 кВ Рабочая;32
83;ПС 110 кВ Районная;6.3
84;ПС 35 кВ Резоватово;2.5
85;ПС 110 кВ Ромоданово;20
86;ПС 110 кВ Русская Паевка;2.5
87;ПС 110 кВ Рыбкино;2.5
88;ПС 110 кВ Сайгуши;6.3
89;ПС 110 кВ Сабаево;5
90;ПС 110 кВ Сараст;5
91;ПС 110 кВ Северная;80
92;ПС 110 кВ Северо-Западная;50
93;ПС 110 кВ Селищи;6.3
94;ПС 35 кВ Сиал-Пятина;4.1
95;ПС 35 кВ Сивинь;3.2
96;ПС 110 кВ Смольная;2.5
97;ПС 35 кВ Солдатское;1.6
98;ПС 35 кВ Спасское;1
99;ПС 35 кВ Стандрово;1.6
100;ПС 110 кВ Стародевичье;8.8
101;ПС 35 кВ Старое Синдорово;3.4
102;ПС 110 кВ Старое Шайгово;20
103;ПС 35 кВ Сургодь;4
104;ПС 110 кВ Сырятино;10
105;ПС 110 кВ Такушево;2.5
106;ПС 110 кВ Темников;20
107;ПС 110 кВ Тенишево;6.3
108;ПС 110 кВ Теньгушево;20
109;ПС 110 кВ Тепличная;12.6
110;ПС 110 кВ Тепловка;6.3
111;ПС 35 кВ Теризморга;1.6
112;ПС 110 кВ Троицк;2.5
113;ПС 35 кВ Уришка;1.6
114;ПС 35 кВ Хаджи;2.5
115;ПС 35 кВ Хилково;4
116;ПС 110 кВ Центральная;50
117;ПС 35 кВ Чамзинка;8
118;ПС 110 кВ Ширингуши;12.6
119;ПС 35 кВ Шишкеево;3.2
120;ПС 35 кВ Шугурово;3.2
121;ПС 110 кВ Юго-Западная;50
122;ПС 110 кВ Южная;32
123;ПС 35 кВ Яндовище;1.6
124;ПС 110 кВ Эрьзя ;80
