№ п/п;Наименование ПЦ;Место расположения;Год ввода в эксплуатацию/реконструкция с изменением трансформаторной мощности;Количество и установленная мощность трансформаторов, шт.хМВА;Общая
136;ПС 110/10/6 кВ Подлипки;Московская область, Мытищинский, г.Мытищи;1983;2х40;80
137;ПС 110/10/6 кВ Роса;Московская область, Мытищинский, д.Пирогово;1982;2х25;50
138;ПС 110/10 кВ Алабушево;Московская область, Солнечногорский, п.Алабушево;1976;1х25, 1х40.5;65
139;ПС 110/10 кВ Ангелово;Московская область, Красногорский , д.Ангелово;2008;2х63;126
140;ПС 110/35/10/6 кВ Октябрьская;Московская область, городской округ Химки, г.Сходня;2017;2х40, 1х25;105
141;ПС 35/6 кВ Лобня;Московская область, Мытищинский, г.Лобня;2003;2х10;20
142;ПС 35/6 кВ Ивантеевка;Московская область, Пушкинский, г.Ивантеевка;1963;2х7,5;15
143;ПС 110/35/10 кВ Поварово;Московская область, Солнечногорский, п.Поварово;2019;4х40;160
144;ПС 35/6 кВ Талицы;Московская область, Пушкинский, п.Софрино;1964;2х5,6;11
145;ПС 110/10/6 кВ Павшино;Московская область, Красногорский , г.Красногорск;1972;2х40,5;80,5
146;ПС 110/35/6 кВ Загорск;Московская область, Сергиево-Посадский, г.Сергиев-Посад;1969;1х40, 1х40,5;80
147;ПС 35/6 кВ Базарово;Московская область, Дмитровский, р.п.Икша;2014;2х10;20
148;ПС 35/6 кВ Катуар;Московская область, Дмитровский, п.Некрасовский;2003;1х6,3, 2х10;26
149;ПС 35/6 кВ Водники;Московская область, Мытищинский, г.Долгопрудный;2013;2х16;32
150;ПС 110/35/6 кВ Полевая;Московская область, Сергиево-Посадский, г.Пересвет;1963;2х20;40
151;ПС 110/35/10/6 кВ Смена;Московская область, Сергиево-Посадский, г.Сергиев-Посад;1980;2х40, 2х6,3;92
152;ПС 110/10/6 кВ Колонцово;Московская область, Мытищинский, г.Мытищи;1992;2х40;80
153;ПС 110/35/6 кВ Софрино;Московская область, Пушкинский, п.Софрино;1974;1х45;45
154;ПС 110/35/6 кВ Солнечногорск;Московская область, Солнечногорский, г.Солнечногорск;1966;2х20, 1х40;80
155;ПС 110/6 кВ Талдом 1;Московская область, Талдомский , п.Северный;1985;2х16;32
156;ПС 35/10/6 кВ Ванино;Московская область, Клинский, п.Нарынка;1967;2х1, 1х10;12
157;ПС 35/6 кВ Волково;Московская область, Клинский, д.Марфино;1964;2х1;2
158;ПС 35/6 кВ Першутино;Московская область, Клинский, г.Клин;2015;2х6,3;12
159;ПС 110/35/10/6 кВ Нахабино;Московская область, Красногорский , п.Нахабино;2010;2х40, 2х25;130
160;ПС 35/6 кВ Венцы;Московская область, Клинский, д.Акатьево;1989;2х1,6;3
161;ПС 35/6 кВ Васькино;Московская область, Дмитровский, д.Костюнино;1965;2х1;2
162;ПС 35/6 кВ Вязовка;Московская область, Дмитровский, д.Подвязново;2015;1х1, 1х1,6, 1х3,2;5
163;ПС 110/35/6 кВ Смолино;Московская область, Сергиево-Посадский, г.Пересвет;1965;2х31,5;63
164;ПС 110/10/6 кВ Экран;Московская область, Талдомский , п.Запрудня;1990;2х40;80
165;ПС 110/10/6 кВ Химки;Московская область, городской округ Химки, г.Химки;1963;2х40,5;80,5
166;ПС 110/35/10/6 кВ Бужаниново;Московская область, Сергиево-Посадский, п.Бужаниново;1965;2х1,8. 1х1;3
167;ПС 110/10/6 кВ Перемилово;Московская область, Дмитровский, г.Яхрома;1990;2х25;50
168;ПС 110/10/6 кВ Жостово;Московская область, Мытищинский, д.Осташково;2009;2х25;50
169;ПС 110/10 кВ Константиново;Московская область, Дмитровский, г.Дмитров;1993;2х40;80
170;ПС 110/35/6 кВ Клин;Московская область, Клинский, г.Клин;1995;2х63;126
171;ПС 35/6 кВ Вахромеево;Московская область, Дмитровский, д.Лупаново;2017;1х4, 2х6,3;16
172;ПС 35/6 кВ Воробьево;Московская область, Солнечногорский, д.Литвиново;2018;1х1, 1х6,3;7
173;ПС 110/6 кВ Реммаш;Московская область, Сергиево-Посадский, п.Реммаш;1976;2х10;20
174;ПС 35/6 кВ Воронино;Московская область, Солнечногорский, п/о.Лыткино;1962;2х1;2
175;ПС 110/10/6 кВ Хотьково;Московская область, Сергиево-Посадский, г.Хотьково;1986;2х40,5;80,5
176;ПС 110/35/6 кВ Н.Подлипки;Московская область, Мытищинский, г.Мытищи;1983;1х31,5, 1х20, 1х40;91
177;ПС 35/6 кВ Горохово;Московская область, Дмитровский, с.Тимоново;1996;1х1, 1х1,6;2
178;ПС 35/6 кВ Грачево;Московская область, Сергиево-Посадский, д.Каменки;1973;2х1;2
179;ПС 35/6 кВ Гвоздево;Московская область, Сергиево-Посадский, д.Наугольное;1972;2х1;2
180;ПС 35/6 кВ Ветрово;Московская область, Дмитровский, д.Княжево;2015;1х3,2, 1х6,3;9
181;ПС 35/6 кВ Горбуново;Московская область, Сергиево-Посадский, д.Путятино;1965;2х1;2
182;ПС 110/10/6 кВ Ярославская;Московская область, Сергиево-Посадский, г.Краснозаводск;1994;2х25;50
183;ПС 110/6 кВ Пионерская;Московская область, Мытищинский, г.Королев;1962;2х20, 1х15;55
184;ПС 220/110/10 кВ Новософрино;Московская область, Пушкинский, п.Софрино;2009;2х125 (РТ 2х40);225
185;ПС 110/10 кВ Ельдигино;Московская область, Пушкинский, с.Ельдигино;2019;2х16;32
186;ПС 110/10/6 кВ Зеленоградская;Московская область, Пушкинский, п.Лесной;1978;2х25;50
187;ПС 35/6 кВ Гудово;Московская область, Пушкинский, д.Назарово;2003;2х3,2;2x3,2
188;ПС 110/35/6 кВ Пушкино;Московская область, Пушкинский, г.Пушкино;2008;2х40, 2х40,5;80, 80,5
189;ПС 35/10 кВ Малеевка;Московская область, Клинский, д.Малеевка;2017;2x6,3;12
190;ПС 110/10/6 кВ Костино;Московская область, Мытищинский, г.Королев;2013;2х63;126
191;ПС 35/10/6 кВ Громово;Московская область, Пушкинский, п.Софрино-1;2001;3х1, 1х2,5;3x1, 1x2,5
192;ПС 220/110/10/6 кВ Хвойная;Московская область, Мытищинский, г.Королев;2011;2х200 (РТ 2х40), 1х40, 1х40,5;400 (РТ 80), 40, 40,5
193;ПС 110/10 кВ Мцыри;Московская область, Солнечногорский, д.Брехово;2015;2х16;32
194;ПС 35/10 кВ Станки 2;Московская область, Талдомский , д.Станки;1989;2х2,5;2x2,5
195;ПС 35/6 кВ Горлово;Владимирская область, Александровский, д.Таратино;2006;2х3,2;2x3,2
196;ПС 220/10/6 кВ Шуколово;Московская область, Дмитровский, д.Шуколово;2003;2х32;2x32
197;ПС 35/10 кВ Ченцы;Московская область, Сергиево-Посадский, д.Ченцы;1981;2х5,6;2x5,6
198;ПС 110/35/10/6 кВ Луговая;Московская область, Мытищинский, г.Лобня;1999;3х40, 1х25;120, 1x25
199;ПС 110/10 кВ Ожогино;Московская область, Солнечногорский, д.Ожогино;1979;2х6,3;12
200;ПС 110/10 кВ Осиновка;Московская область, Солнечногорский, д.Маслово;2012;2х40;80
201;ПС 35/10 кВ Лифаново;Московская область, Дмитровский, с.Ильино;1984;2х4;8
202;ПС 110/35/6 кВ Клязьма;Московская область, Мытищинский, г.Королев;2018;2х63;126
203;ПС 35/6 кВ Инженерная;Московская область, Дмитровский, г.Дмитров;2011;1х2,5;1x2,5
204;ПС 35/6 кВ Высоково;Московская область, Клинский, г.Высоковск;1995;2х10;20
205;ПС 110/35/6 кВ Талдом 2;Московская область, Талдомский , п.Северный;1968;1х15;1x15
206;ПС 35/6 кВ Васильково;Московская область, Дмитровский, д.Селевкино;1952;2х3,2;2x3,2
207;ПС 110/10/6 кВ Подрезково;Московская область, городской округ Химки, г.Сходня;2009;2х40;80
208;ПС 35/10 кВ Станки 1;Московская область, Талдомский , д.Станки;1972;1х1,6;1
209;ПС 110/10 кВ Долгопрудная;Московская область, Мытищинский, г.Долгопрудный;1984;2х25;50
210;ПС 110/10/6 кВ Шереметьево;Московская область, Солнечногорский, д.Чашниково;2013;2х63;126
211;ПС 35/6 кВ Правда;Московская область, Пушкинский, п.Первомайский;1975;1х9, 1х10;9, 10
212;ПС 35/6 кВ Юркино 1;Московская область, Талдомский , г.Талдом;2014;1х6,3, 1х5,6;1x6,3, 1x5,6
213;ПС 35/6 кВ Бабайки;Московская область, Клинский, д.Заовражье;1959;2х5,6;2x5,6
214;ПС 110/10/6 кВ Бутаково;Московская область, городской округ Химки, г.Химки;1971;1х40, 3х40,5;40, 120,5
215;ПС 35/6 кВ Запрудня;Московская область, Талдомский , п.Запрудня;2015;1х1,8, 2х4;1x1,8, 8
216;ПС 35/6 кВ Фарфоровая;Московская область, Талдомский , п.Вербилки;2008;2х6,3;12
217;ПС 35/10 кВ Мельчевская;Московская область, Дмитровский, п.Мельчевка;1999;2х4;8
218;ПС 35/10/6 кВ Растовцы;Московская область, Талдомский , д.Растовцы;2012;2х6,3;12
219;ПС 35/6 кВ Парус;Московская область, Мытищинский, д.Красная Горка;1960;1х10;1x10
220;ПС 35/6 кВ Рюмино;Московская область, Сергиево-Посадский, д.Игнатьево;1967;2х10;20
221;ПС 35/6 кВ Орлово;Московская область, Сергиево-Посадский, п.Скоропусковский;2001;2х10;20
222;ПС 35/6 кВ Березки;Московская область, Клинский, г.Клин-9;1962;2х10;20
