"№ п/п";"Наименование ПЦ";"Место расположения";"Год ввода в эксплуатацию/реконструкция с изменением трансформаторной мощности";"Количество и установленная мощность трансформаторов, шт.хМВА";"Общая"
1;"ПС 110/10/6 кВ Кожухово";"Москва, Южный АО, Даниловский";1980;"2х63, 2х63 (аб.)";"126, 126 (аб.)"
2;"ПС 110/35/10/6 кВ Карачарово";"Москва, Юго-Восточный АО, Нижегородский";2007;"2х20, 2х63";166
3;"ПС 110/10/6 кВ Фили";"Москва, Западный АО, Драгомилово";2015;"3х63";189
4;"ПС 220/10/6 кВ Бабушкин";"Москва, Северо-Восточный АО, Бабушкинский";2013;"4х63";252
5;"ПС 110/10/6 кВ Измайлово";"Москва, Восточный АО, Измайлово";1975;"2х63, 1х40,5";171
6;"ПС 110/10/6 кВ Сокольники";"Москва, Восточный АО, Богородское";2006;"1х40,5, 3х63";230
7;"ПС 220/110/10/6 кВ Бутырки";"Москва, Северо-Восточный АО, Бутырский";2010;"2х250 (РТ 2х40, 2х63), 2х80, 1х63";723
8;"ПС 110/10 кВ Стромынка";"Москва, Восточный АО, Богородское";1993;"2х63";126
9;"ПС 110/10 кВ Зюзино";"Москва, Юго-Западный АО, Ясенево";2012;"2х63";126
10;"ПС 110/10 кВ Беляево";"Москва, Южный АО, Москворечье-Сабурово";2011;"2х80";160
11;"ПС 110/10/6 кВ Сетунь";"Москва, Западный АО, Можайский";1986;"2х63";126
12;"ПС 110/10/6 кВ Электрозаводская";"Москва, Восточный АО, Сокольники";2005;"2х63";126
13;"ПС 110/35/10/6 кВ Ленинская";"Москва, Юго-Восточный АО, Люблино";1999;"4х63";252
14;"ПС 110/10/6 кВ Угреша";"Москва, Юго-Восточный АО, Южнопортовый";2014;"2х63, 2х40";206
15;"ПС 110/10/6 кВ Рублево";"Москва, Западный АО, Кунцево";1994;"2х63";126
16;"ПС 110/10/6 кВ Тушино";"Москва, Северо-Западный АО, Южное Тушино";2003;"2х63, 1х80";206
17;"ПС 110/10/6 кВ Ростокино";"Москва, Северо-Восточный АО, Останкинский";2016;"2х63, 1х40,5";166
18;"ПС 110/10 кВ Лосинка";"Москва, Северо-Восточный АО, Ярославский";1983;"2х63";126
19;"ПС 220/110/35/10/6 кВ Хлебниково";"Москва, Северо-Восточный АО, Северный";2008;"2х250 (РТ 2х63), 2х40";580
20;"ПС 110/10/6 кВ Черкизово";"Москва, Центральный АО, Басманный";2015;"4х40,5";162
21;"ПС 110/10/6 кВ Новокунцево";"Москва, Западный АО, Очаково-Матвеевское";2003;"3х40";120
22;"ПС 220/110/10 кВ Южная";"Москва, Южный АО, Нагатино-Садовники";2008;"2х200 (ВДТ 2х40, 1х63)";400
23;"ПС 110/10 кВ Каширская";"Москва, Южный АО, Орехово-Борисово Южное";2006;"2х40";80
24;"ПС 110/10 кВ Черемушки";"Москва, Юго-Западный АО, Донской";1987;"2х63";126
25;"ПС 110/10/6 кВ Коптево";"Москва, Северный АО, Коптево";2013;"4х40,5";162
26;"ПС 220/110/20/10 кВ Новобратцево";"Москва, Северный АО, Головинский";2015;"2х250 (РТ 4х63), 2х63, 2х100";826
27;"ПС 110/10/6 кВ Донецкая";"Москва, Юго-Восточный АО, Люблино";1996;"2х40";80
28;"ПС 110/10/6 кВ Менделеево";"Москва, Зеленоградский АО, Матушкино";1984;"2х40";80
29;"ПС 110/10/6 кВ Немчиновка";"Москва, Западный АО, Можайский";1979;"2х63";126
30;"ПС 110/10/6 кВ Чистая";"Москва, Юго-Восточный АО, Некрасовка";2015;"2х25, 2х40";130
31;"ПС 110/10/6 кВ Миусская";"Москва, Центральный АО, Беговой";1967;"4х40,5";162
32;"ПС 110/10/6 кВ Новоспасская";"Москва, Юго-Восточный АО, Южнопортовый";1974;"3х40,5";122
33;"ПС 110/10 кВ Сенная";"Москва, Южный АО, Орехово-Борисово Северное";1989;"2х16";32
34;"ПС 110/10/6 кВ Ломоносово";"Москва, Западный АО, Раменки";2016;"2х80";160
35;"ПС 110/10/6 кВ Мазилово";"Москва, Западный АО, Фили-Давыдково";1974;"2х40,5";80.5
36;"ПС 220/110/10 кВ Сабурово";"Москва, Южный АО, Москворечье-Сабурово";2009;"2х200 (ВДТ 4х40)";400
37;"ПС 220/110/10 кВ Чертаново";"Москва, Южный АО, Чертаново Центральное";2011;"2х250 (РТ 4х63), 2х63";626
38;"ПС 110/10 кВ Чухлинка";"Москва, Юго-Восточный АО, Рязанский";1992;"2х63";126
39;"ПС 220/110/10/6 кВ Центральная";"Москва, Центральный АО, Мещанский";2015;"2х250 (РТ 4х40), 2х80";660
40;"ПС 110/10/6 кВ Подшипник";"Москва, Юго-Восточный АО, Южнопортовый";1994;"2х63";126
41;"ПС 110/10/6 кВ Бирюлёво";"Москва, Южный АО, Бирюлево Западное";2018;"2х100";200
42;"ПС 110/10/6 кВ Яузская";"Москва, Центральный АО, Басманный";1974;"2х63";126
43;"ПС 110/10 кВ Семеновская";"Москва, Юго-Западный АО, Черемушки";2009;"3х63";189
44;"ПС 110/10/6 кВ Ткацкая";"Москва, Центральный АО, Пресненский";2013;"2х80";160
45;"ПС 35/6 кВ Внуково";"Новая Москва, Западный АО, Внуково";2018;"2х3,2";6
46;"ПС 110/10/6 кВ Красные Горки";"Москва, Северо-Восточный АО, Северный";2011;"2х40,5";80.5
47;"ПС 110/10/6 кВ Метростроевская";"Москва, Восточный АО, Метрогородок";1975;"2х63";126
48;"ПС 110/10 кВ АЗЛК";"Москва, Юго-Восточный АО, Печатники";1986;"2х63";126
49;"ПС 110/10 кВ Бакеево";"Москва, Зеленоградский АО, Крюково";1995;"2х63";126
50;"ПС 110/10 кВ Сигма";"Москва, Зеленоградский АО, Силино";2012;"2х250 (РТ 4х63), 2х63";626
51;"ПС 110/10 кВ Самарская";"Москва, Центральный АО, Мещанский";1988;"2х63";126
52;"ПС 110/10/6 кВ Некрасовка";"Москва, Юго-Восточный АО, Некрасовка";1984;"2х63";126
53;"ПС 220/110/20/10 кВ Автозаводская";"Москва, Южный АО, Даниловский";2018;"2х250 (ВДТ 4х40), 2х80";660
54;"ПС 110/10 кВ Косино";"Москва, Восточный АО, Косино-Ухтомский";1990;"2х63";126
55;"ПС 220/110/10 кВ Чоботы";"Новая Москва, Западный АО, Ново-Переделкино";2006;"2х250 (ВДТ 4х40)";500
56;"ПС 110/10/6 кВ Солнцево";"Москва, Западный АО, Солнцево";1980;"2х40,5";80.5
57;"ПС 110/10 кВ Сумская";"Москва, Южный АО, Царицыно";2000;"2х63";126
58;"ПС 220/10 кВ  Пенягино";"Москва, Северо-Западный АО, Митино";2007;"2х40, 1х32";112
59;"ПС 110/10 кВ Дубровская";"Москва, Юго-Восточный АО, Люблино";1995;"2х63";126
60;"ПС 220/10 кВ  Жулебино";"Москва, Юго-Восточный АО, Выхино-Жулебино";2007;"2х63";126
