№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;ПС-3;110/35/6.3;32
2;ПС-4;110/6.3;80
3;ПС-5;110/35/6;143
4;ПС-6;150/35/6;126
5;ПС-8*;110/35/6;50
6;ПС-20;110/10;76
7;ПС-20А;150/35/10;183
8;ПС-21;150/35/6;126
9;ПС-21А;150/6;60
10;ПС-28;150/35/6;50
11;ПС-29;150/35/6;80
12;ПС-36;110/35/6;32
13;ПС-50;150/35/6;50
14;ПС-51 ;150/35/6;32
15;ПС-52;150/10(6);64
16;ПС-53;150/35/6;80
17;ПС-57;110/35/6;32
18;ПС-64;110/35/6;80
19;ПС-81;150/35/6;50
;ПС-81А;150/6;64
20;ПС-82;150/35/6;32
21;ПС-97;150/35/6;50
22;ПС-98;150/10;32
23;ПС-99;150/35/6;15
24;ПС-100;150/35/10;32
25;ПС-101;110/10;6.3
26;ПС-89;150/35/6;50
27;ПС-108;150/35/6;50
28;ПС-109;150/6;64
29;ПС-301;35/6;42
30;ПС-302;35/6;32
31;ПС-303;35/6;12.6
32;ПС-304;35/6;3.6
33;ПС-306;35/6;32
34;ПС-307;35/6;11.2
35;ПС-309;35/6;3.6
36;ПС-314;35/6;12.6
37;ПС-316;35/6;12.6
38;ПС-317;35/6;12.6
39;ПС-318;35/6;12.6
40;ПС-320;35/6;20
41;ПС-321;35/6;20
42;ПС-322;35/6;12.6
43;ПС-324;35/6;8
44;ПС-325;35/10;20
45;ПС-333;35/6;1
46;ПС-335;35/6;32
47;ПС-338;35/6;32
48;ПС-340;35/6;20
49;ПС-341;35/6;32
50;ПС-342;35/10;5
;ПС-342;35/10;8
51;ПС-346;35/6;20
52;ПС-372;35/6;12.6
53;ПС-373;35/10;20
54;ПС-385;35/6;20
55;ПС-387;35/6;20
56;ПС-388;35/6;32
57;ПС-389;35/6;20
58;ПС-391;35/6;16.3
59;ПС-393;35/10;20
60;ПС-394;35/6;20
61;ПС-395;35/6;12.6
62;ПС-400;35/6;20
63;ПС-401;35/6;6.3
64;ПС-402;35/6;2.5
65;ПС-406;35/6;20
66;ПС-407;35/6;8
67;ПС-408;35/6;20
68;ПС-419;35/6;20
69;ПС-417;35/6;20
70;ПС-11А;150/10;193
71;ПС-11Б;150/10;189
72;ПС-370;35/10;50
73;ПС-25А;110/10;6.3
74;ПС-15;110/35/6;52.5
75;ПС-24;110/35/10;50
76;ПС-75;110/6;20
77;ПС-83;150/10;3.5
78;ПС-112;150/10;64
79;ПС-360;110/10;32
80;ПС-18;110/10;41
81;ПС-18А;110/10;30
82;ПС-42;110/35/6;16.3
83;ПС-44;110/10;20
84;ПС-48;110/10;6.3
85;ПС-69;110/10;32
86;ПС-70;110/6;20
87;ПС-88;150/10;16
88;ПС-93;110/10;6.3
89;ПС-94;110/10;12.6
90;ПС-95;150/35/10;32
91;ПС-106;110/10;20
92;ПС-40А;150/110/35/6;80
93;ПС-41;110/35/10;15.6
94;ПС-368;35/6;5
95;ПС-22;110/10;11.2
96;ПС-25;110/10;12.6
97;ПС-26;110/10;30
98;ПС-30;150/110/6;78.5
99;ПС-31;110/35/6;26
100;ПС-32;110/6;32
101;ПС-33;110/35/6;20
102;ПС-34;110/10;12.6
103;ПС-35;110/10;32
104;ПС-54;110/6;12.6
105;ПС-65;110/6;6.3
106;ПС-78;110/6;12.6
107;ПС-79;110/6;20
108;ПС-80;110/6;32
109;ПС-96;110/10;80
110;ПС-331;35/6;2.5
111;ПС-361;35/10;8
112;ПС-11В;150/10;126
113;ПС-11Г;150/10;64
114;ПС-11Д;150/10;126
115;ПС-11Е;150/10;63
116;ПС-203А;110/6;6.3
117;ПС-91;110/10;2.5
118;ПС-415;35/10;5
119;ПС-49;150/6;16
120;ПС-41А;110/35/6;23.5
121;ПС-412;35/10;20
122;ПС-87;150;0
123;ПС-92;110/10;2.5
