№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;ПС Беззубцево ;110/10;8.8
2;ПС Вятка ;110/10;8.8
3;ПС Кабожа ;110/10;2.5
4;ПС Киприя ;110/10;5
5;ПС Кулотино ;110/10;16.3
6;ПС Любытино ;110/35/10;12.6
7;ПС Мошенское ;110/35/10;22.3
8;ПС Неболчи ;110/10;12.6
9;ПС Огнеупоры ;110/35/6;50
10;ПС Парахино ;110/6;15
11;ПС Пестово ;110/35/10;50
12;ПС Песь ;110/10;50
13;ПС Погорелово ;110/10;2.5
14;ПС Починная ;110/10;8.8
15;ПС ППС-5 ;110/10;12.6
16;ПС Прогресс ;110/35/10;50
17;ПС Сельская ;110/35/10;32
18;ПС Сушилово ;110/10;5
19;ПС Устюцкая ;110/10;2.5
20;ПС Хвойная ;110/35/10;20
21;ПС Юбилейная ;110/35/10;6.3
22;ПС Ягайлово ;110/35/10;12.6
23;ПС Бояры ;110/10;2.5
24;ПС Валдай ;110/35/10;50
25;ПС Велилы ;110/10;6.3
26;ПС Газовая ;110/10/6;65
27;ПС Демянск ;110/35/10;20
28;ПС Заря ;110/10;2.5
29;ПС Елисеево ;110/35/10;20
30;ПС Крестцы ;110/35/10;20
31;ПС Лычково ;110/35/10;26
32;ПС Любница ;110/10;5
33;ПС Марево ;110/35/10;12.6
34;ПС Новое Рахино ;110/10;20
35;ПС Ручьи ;110/10;6.3
36;ПС Антоново ;110/6;80
37;ПС Базовая ;110/6;108
38;ПС Батецкая ;110/35/10;12.6
39;ПС Борки ;110/10;12.6
40;ПС Вишерская ;110/10;32
41;ПС Восточная ;110/10;32
42;ПС ДСП ;110/10;50
43;ПС Западная ;110/10;32
44;ПС Керамзит ;110/10;2.5
45;ПС Коростынь ;110/10;2.5
46;ПС Лесная ;110/10;16.3
47;ПС Мойка ;110/10;5
48;ПС Мостищи ;110/10;32
49;ПС Насосная ;110/6;36
50;ПС Новоселицы ;110/35/10;31
51;ПС Подберезье ;110/10;20
52;ПС Районная ;110/6/6;120
53;ПС Ракомо ;110/10;5
54;ПС Рогавка ;110/35/6;23.6
;ПС Рогавка ;110/35/6;40
55;ПС Савино ;110/10;12.6
56;ПС Светлицы ;110/10;5
57;ПС Сольцы ;110/35/10;26
58;ПС Спасская ;110/10;6.3
59;ПС Чечулино ;110/10;12.6
60;ПС Шелонь ;110/10;6.3
61;ПС Шимск ;110/35/10;31
62;ПС Энергомаш ;110/10;50
63;ПС Южная ;110/10;80
64;ПС Вороново ;110/10;5
65;ПС Дунаево ;110/10;5
66;ПС Залучье ;110/10;12.6
67;ПС  Медниково ;110/10;32
68;ПС Парфино ;110/10/6;32
69;ПС Пола ;110/35/10;12.6
70;ПС Солобско ;110/10;5
71;ПС Русса ;110/35/10;50
72;ПС Тухомичи ;110/10;5
73;ПС Холм ;110/35/10;20
74;ПС Абросово ;35/10;1.6
75;ПС Алешино ;35/10;6.5
76;ПС Артем ;35/6;4
77;ПС Бабино ;35/10;5
78;ПС Егла ;35/10;5
79;ПС Миголощи ;35/10;3.5
80;ПС Окладнево ;35/10;3.2
81;ПС Опеченский Посад ;35/10;6.5
82;ПС Перелучи ;35/10;4.1
83;ПС ППС Быково ;35/10;12.6
84;ПС Травково ;35/10;3.2
85;ПС Удино ;35/10/6;2.5
;ПС Удино ;35/10/6;1.6
86;ПС Угловка ;10/35;2.5
87;ПС Б.Уклейно ;35/6;8
88;ПС Д.О.Валдай ;35/10;8
89;ПС Дворец ;35/10/6;2.6
;ПС Дворец ;35/10/6;1.8
90;ПС Есипово ;35/10;2
91;ПС Зайцево ;35/10;2.5
92;ПС Зеленая ;35/10;2
93;ПС Красная ;35/10;2.5
94;ПС Молвотицы ;35/10;2.6
95;ПС Нелюшка ;35/10;1
96;ПС Полново ;35/10;3.2
97;ПС Поля ;35/10;2
98;ПС Почеп ;35/10;5
99;ПС Синяя ;35/6;8
100;ПС Усть-Волма ;35/10;1
101;ПС Черный Ручей ;35/10;3.2
102;ПС Яжелбицы ;35/10;5
103;ПС Ямник ;35/10;5
104;ПС 35 кВ  Ящерово ;35/10;3.2
105;ПС Вшели ;35/10;5
106;ПС Гостцы ;35/10;1.6
107;ПС Грузино ;35/10;4.1
108;ПС ЖБИ ;35/6;12.6
109;ПС Крапивно ;35/10;5
110;ПС Красный Фарф. ;35/10;5
111;ПС Кречевицы ;35/6;8
112;ПС Медведь ;35/10;8
113;ПС Оскуй ;35/10;1.6
114;ПС Передольская ;35/10;3.6
115;ПС Подгощи ;35/10;8
116;ПС Пролетарий ;35/10;16.3
117;ПС Рышево ;35/10;4
118;ПС Ситня ;35/10;3.2
119;ПС Тесово-2 ;35/6;3.6
120;ПС Уторгош ;35/10;5
121;ПС Астрилово ;35/10;2.6
122;ПС Белебелка ;35/10;2.6
123;ПС Березка ;35/10;3.2
124;ПС Волот ;35/10;8
125;ПС Лажины ;35/10;5
126;ПС Морхово ;35/10;5
127;ПС Новая Деревня ;35/10;3.2
128;ПС Новосельская ;35/10;2.5
129;ПС Поддорье ;35/10;5
130;ПС Селеево ;35/10;1
131;ПС Славитино ;35/10;1.8
132;ПС Теремово ;35/10;4.1
