Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;500/220/110/10;Арзамасская;1512;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;500/220/110/10;Луч;1002;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;500/220/10;Нижегородская;1002;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;500/220/10;Осиновка;1002;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;500/110/10;Радуга;1250;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/35/10;Макарьево;98;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/35/10;Семёновская;356;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/35/10;Сергач;260;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/35/6;Кудьма;251;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Бобыльская;126;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Борская;250;2015;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Заречная;400;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Нагорная;600;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Ока;325;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Узловая;131.3;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/110/10;Этилен;250;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/35/10;Рыжково;29;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/35/20;Русвинил;;2014;ООО «Русвинил»;
ПС;;220/110/10;Дизель;400;1993;ООО «Заводские сети»;
ПС;;220/10;Ермолово;378;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/10;Лукояновская;126;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/10;Пильна;126;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/10;Починковская-1;378;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/10;Починковская-2;252;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220/10;Филатово;252;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;220;Сасово;;;АО «Саровская электросетевая компания»;
ПП;;220;Зелецино;;2012;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
РП;;220;Сеченово;;;ПАО «ФСК ЕЭС»;МЭС Волги/Нижегородское ПМЭС
ПС;;110/35/10/6;Починки-110;75.6;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Арзамас-110;80;1956;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Арзинка;5.6;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Большое Маресьево;20;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Бриляковская;26;1955;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
