№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Звонарев Кут;35/10;8
2;Цветнополье;35/10;8
3;Память Тельмана;110/10;12,6
4;Азово;110/35/10;32
5;Гауф;110/10;16,3
6;Курносово;35/10;2,5
7;Уленкуль;35/10;1,6
8;Чебаклы;35/10;1,6
9;Большеречье;110/35/10;26
10;Евгащино;110/10;5
11;Ингалы;110/10;5
12;Маяк;110/10;2,5
13;Новологиново;110/10;2,5
14;Почекуево;110/10;2,5
15;Такмык;110/10;2,5
16;Шипицино;110/10;6,3
17;Белогривка;35/10;3,2
18;Верхние Уки;35/10;1
19;Становка;35/10;1
20;Большие Уки;110/35/10;16,3
21;Радищево;110/10;5
22;База Треста;35/10;4
23;Базовая;35/10;5
24;Дружино;35/10;20
25;Красная Горка;35/6;10,3
26;НСД;35/6;6,3
27;НСО;35/6;6,3
28;Омская;35/10;12,6
29;Очистные сооружения;35/6;8
30;Гидроузел;35/10;5
31;Амурская;110/10;50
32;Барановская;110/10;80
33;Весенняя;110/10;80
34;Власть Труда;110/35/6;26
35;Восточная-110;110/35/6;20
36;Животновод;110/10;20
37;Западная;110/10;50
38;Карбышево;110/10;32
39;Кировская;110/10;50
40;Куйбышевская;110/10;80
41;Левобережная;110/10;80
42;Надеждинский ТПК;110/10;32
43;Новая;110/10;80
44;Октябрьская;110/10;120,5
45;Омская Нефть;110/6;50
46;Прибрежная;110/10;80
47;Северозападная;110/10;80
48;Сибзавод;110/10;64
49;Советская;110/10;32
50;Сургутская;110/35/10;41
51;Съездовская;110/10;50
52;Фрунзенская;110/10;80
53;Центральная;110/10;80
54;Чунаевская;110/10;20
55;Энтузиастов;110/10;80
56;ТЭЦ-2;110/10;80
57;Алексеевка;35/10;8
58;Георгиевка;35/10;8
59;ГНС;35/10;16
60;Канал;35/10;10
61;Максимовка;35/10;1,6
62;Новопокровка;35/10;8
63;Павлодаровка;35/10;2,5
64;Подольск;35/10;8
65;Серебряное;35/10;2,5
66;Сухое;35/10;2,5
67;Горьковская;110/35/10;20
68;Исаковская;110/35/10;32
69;Красная Поляна;110/10;5
70;Романенко;110/35/10;12,6
71;Атак;35/10;2,5
72;Атирка;35/10;5
73;Васисс;35/10;5
74;Ермаковка;35/10;5
75;Кейзес;35/10;3,2
76;Мартюши;35/10;5
77;Нагорное;35/10;1
78;Пологрудово;35/10;6,5
79;Рагозино;35/10;2,6
80;Екатерининская;110/35/10;20
81;Избышево;110/35/10;20
82;Знаменская;110/10;12,6
83;Новоягодное;110/10;12,6
84;Шухово;110/10;5
85;Баррикада;35/10;2,5
86;Боевая;35/10;8
87;Лесная;35/10;3,2
88;Медвежка;35/10;4,1
89;Новорождественка;35/10;1,6
90;Пучково;35/10;6,5
91;Украинка;35/10;8
92;Воскресенка;35/10;8
93;Восточная-35;35/10;4
94;Индейка;35/10;2,5
95;Колония;35/10;4
96;Куликово;35/10;8
97;Мехзавод;35/10;8
98;Мясокомбинат;35/10;20
99;Орловка калачинская;35/10;1,6
100;Осокино;35/10;8
101;Сорочино;35/10;5
102;Великорусская;110/35/10;20
103;Калачинская;110/35/10;50
104;Кутырлы;35/10;2,5
105;Ламаново;35/10;1,6
106;Строкино;35/10;2,5
107;Таскатлы;35/10;3,2
108;Чапаево;35/10;3,2
109;Бражниково;110/10;2,5
110;Колосовская;110/35/10;20
111;Богдановка;35/10;2,5
112;Кольцовка;35/10;5
113;Корниловка;35/10;4
114;Некрасовка;35/10;8
115;Никитинка;35/10;4
116;Новоселье;35/10;2,5
117;Правда;35/10;8,8
118;Дубровская;110/35/10;12,6
119;Новокормиловская;110/35/10;32
120;Победитель;110/35/10;12,6
121;Новокарасук;35/10;3,2
122;Паново;35/10;4,1
123;Рыжково;35/10;1,6
124;Салтаим;35/10;5
125;Стахановка;35/10;1,6
126;Шипуново;35/10;2,5
127;Ширяево;35/10;1,6
128;Яман;35/10;2,5
129;Крутинская;110/35/10;32
130;Большаковка;35/10;8
131;Казанка;35/10;2,5
132;Камышловка;35/10;5
133;Красный Яр;35/10;12,6
134;Новоархангеловка;35/10;8
135;Рассвет;35/10;12,6
136;Северолюбинская;35/10;3,2
137;Голубковская;110/10;12,6
138;Новолюбинская;110/35/10;50
139;Конезавод;35/10;5,6
140;Конезавод-1;35/10;1,6
141;Новопоповка;35/10;8
142;Новошараповка;35/10;8
143;Орловка водопровод;35/6;1,6
144;Орловка марьяновская;35/10;5
145;Урожай;35/10;3,2
