№ ПС/ТП;Наименование;Установленная мощность, МВА
471;ПС 110 кВ Акбулакская;41
473;ПС 110 кВ Изобильная;10
474;ПС 110 кВ Илекская;20
477;ПС 110 кВ Светлинская;80
482;ПС 220 кВ Бузулукская;321.5
500;ПС 220 кВ Каргалинская;250
504;ПС 220 кВ Киембай;321.5
516;ПС 220 кВ Михайловская;250
521;ПС 220 кВ Новотроицкая;400
524;ПС 220 кВ Оренбургская;321.5
525;ПС 220 кВ Орская;250
531;ПС 220 кВ Рысаево;250
536;ПС 220 кВ Северная;50.32
541;ПС 220 кВ Сорочинская;291
555;ПС 35 кВ Линевская;10
556;ПС 35 кВ Покровская;3.4
559;ПС 500 кВ Газовая;501
