№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Городская;35/6;6.3
2;КраснаяГорка;35/10;4
3;Первомайская;110/35/10;2.5
4;Аэропорт;110/10;25
5;Гайская;110/10;6.3
6;Гамалеевская;110/10;2.5
7;Желтая;110/10;2.5
8;Инвертор;110/10;25
9;Индустриальная;110/10;15
10;Кардаиловская;110/10;2.5
11;Киндельская;110/10;2.5
12;Колтубановская;110/10;2.5
13;Лучевая;110/10;6.3
14;Маякская;110/10;6.3
15;Ново-Белогорская;110/10;2.5
16;Новогородская;110/10;10
17;Овощевод;110/10;16
18;ОЗТП;110/10;25
19;Платовская;110/10;6.3
20;Погроминская;110/10;6.3
21;Покровская;110/10;2.5
22;Полевая;110/10;4
23;Россия;110/10;16
24;Ростоши;110/10;25
25;Сакмарская;110/10;6.3
26;Степная;110/10;5.6
27;Чашкан;110/10;10
28;Шелковая;110/10;25
29;Энергия;110/10;6.3
30;Береговая;110/10/6;40
31;Кардонная;110/10/6;25
32;Шевченковская;110/10/6;25
33;Юго-Восточная;110/10/6;40
34;Юго-Западная;110/10/6;40
35;Адамовская-2;110/35/10;10
36;Александровская;110/35/10;10
37;Александровская-1;110/35/10;10
38;Алексеевская;110/35/10;10
39;Андреевская;110/35/10;6.3
40;Белоусовская;110/35/10;6.3
41;Богдановская;110/35/10;6.3
42;Восточная;110/35/10;25
43;Державинская;110/35/10;6.3
44;Дубенская;110/35/10;10
45;Елшанская;110/35/10;40
46;Емонтаево;110/35/10;6.3
47;Заречная;110/35/10;4
48;Каликинская;110/35/10;10
49;Кваркенская;110/35/10;16
50;Колпакская;110/35/10;16
51;Краснохолмская;110/35/10;10
52;Крючковка;110/35/10;10
53;Кувандыкская;110/35/10;16
54;Курманаевская;110/35/10;10
55;Мансуровская;110/35/10;2.5
56;Новоникольская;110/35/10;10
57;Новоорская;110/35/10;16
58;Новосергиевская;110/35/10;16
59;Новотепловская;110/35/10;6.3
60;Новочеркасская;110/35/10;6.3
61;НПС;110/35/10;40
62;Озерная;110/35/10;10
63;Октябрьская;110/35/10;10
64;Переволоцкая;110/35/10;16
65;Пилюгино;110/35/10;6.3
66;Плешановская;110/35/10;10
67;Пономаревка;110/35/10;16
68;Приморская;110/35/10;16
69;Пугачевская;110/35/10;40
70;Самородово;110/35/10;10
71;Саракташская;110/35/10;16
72;Сельская;110/35/10;10
73;Соль-Илецкая;110/35/10;32
74;Ташлинская;110/35/10;10
75;Твердиловская;110/35/10;10
76;Тобольская;110/35/10;10
77;Тоцкая;110/35/10;26
78;Тюльганская;110/35/10;10
79;Фёдоровская;110/35/10;6.3
80;Чебеньковская;110/35/10;6.3
81;Черный Отрог;110/35/10;10
82;Шарлык;110/35/10;16
83;Шильдинская;110/35/10;10
84;Щебзавод;110/35/10;10
85;КС-15;110/35/10/6;40
86;Донгузская;110/35/6;10
87;КС-16;110/35/6;40
88;Кумакский Водозабор;110/35/6;10
89;Левобережная;110/35/6;25
90;Медногорская-районная;110/35/6;40
91;Новая;110/35/6;10
92;Прииск-Кумак;110/35/6;10
93;Тюрино;110/35/6;10
94;Заводская;110/6;15
95;Кавказская;110/6;16
96;Речная;110/6;10
97;Круторожино;35/0,4;1
98;9-ое Января;35/10;10
99;А-1;35/10;2.5
100;Авторемзаводская;35/10;4
101;Адамовка;35/10;4
102;Азаматово;35/10;4
103;Акжарская;35/10;2.5
104;Аксенкино;35/10;4
105;Аксютино;35/10;4
106;Актюбинская;35/10;4
107;Аландская;35/10;4
108;Александровка 2;35/10;2.5
109;Андрианопольская;35/10;4
110;Аниховская;35/10;4
111;Ахмеровская;35/10;3.2
112;Ащебутакская;35/10;1.6
113;Баклановская;35/10;4
114;Беловская;35/10;2.5
115;Белозерская;35/10;4
116;Беляевская;35/10;2.5
117;Бердянка;35/10;4
118;Беседино;35/10;1.6
119;Благодарновская;35/10;4
120;Благославенка;35/10;2.5
121;Богородская;35/10;4
122;Боевая;35/10;2.5
123;Большевик;35/10;6.3
124;Большедорожное;35/10;4
125;Борискино;35/10;4
126;Брацлавская;35/10;2.5
127;Бриентская;35/10;2.5
128;Будамшинская;35/10;2.5
129;Буранчинская;35/10;1.6
130;Бурлыкская;35/10;4
131;Буруктальская;35/10;4
132;В-1;35/10;1.6
133;В-2;35/10;1.6
134;Верхнекардаиловская;35/10;4
135;ВК;35/10;4
136;Воздвиженка;35/10;2.5
137;Войковская;35/10;4
138;Воронежская;35/10;2.5
139;Восточная;35/10;10
140;Вязовская;35/10;4
141;Горьковская;35/10;4
142;Гранит;35/10;6.3
143;Грачёвская;35/10;4
144;Губерлинская;35/10;4
145;Д-2;35/10;2.5
146;Димитровская;35/10;2.5
147;Дмитриевская;35/10;2.5
148;Домбаровская;35/10;4
149;Донецкая;35/10;4
150;Дружба;35/10;4
151;Емельяновка;35/10;1.6
152;Ефимовская;35/10;4
153;Ефремо-Зыково;35/10;2.5
154;Ждановская;35/10;4
155;Жилинская;35/10;4
156;Заводская;35/10;10
157;Залесовская;35/10;4
158;Западная;35/10;4
159;Заречная;35/10;6.3
160;Заречная;35/10;1.6
161;Зауральная;35/10;4
162;Зеркло;35/10;4
163;Зиянчуринская;35/10;4
164;Ивановка;35/10;4
165;Ильинская;35/10;4
166;Ириклинская;35/10;6.3
167;Караванная;35/10;2.5
168;Карагач;35/10;2.5
169;Карасайская;35/10;4
170;Кариновка;35/10;4
171;Кзыл-Мечеть;35/10;4
172;Кинжебулакская;35/10;1.8
173;Кинзельская;35/10;2.5
174;Кичкасс;35/10;4
175;Ключевка;35/10;4
176;Ключевка;35/10;4
177;Ключевская;35/10;2.5
178;Комсомольская;35/10;4
179;Коптяжево;35/10;4
180;Коровино;35/10;2.5
181;Коскульская;35/10;4
182;Красногвардейская;35/10;1.6
183;Краснознаменка;35/10;3.2
184;Кристалка;35/10;4
185;Крыловская;35/10;4
186;КС-2;35/10;1.6
187;Кувай;35/10;4
188;Кузьминовская;35/10;2.5
189;Кулагинская;35/10;2.5
190;Кульминская;35/10;4
191;Кумак;35/10;4
192;Лабазинская;35/10;3.2
193;Лапаз;35/10;4
194;Логачёвская;35/10;4
195;Мало-зайкино;35/10;4
196;Марксовская;35/10;4
197;Марьевка;35/10;4
198;Матвеевка;35/10;6.3
199;Маячная;35/10;4
200;Медногорская-городская;35/10;6.3
201;Междуречье;35/10;1.8
202;Мирошкинская;35/10;1.8
203;Михеевка;35/10;4
204;Могутовская;35/10;1.6
205;Мочегай;35/10;2.5
206;Мустаевская;35/10;4
207;Мухрановская;35/10;4
208;Нижний Гумбет;35/10;4
209;Николаевская;35/10;1.6
210;Никольская;35/10;2.5
211;Ново-Александровская;35/10;2.5
212;Ново-Каменская;35/10;1.6
213;Новомусино;35/10;4
214;Новониколаевская;35/10;4
215;Новоуралец;35/10;4
216;НС;35/10;1.6
217;О;35/10;1
218;Обильная;35/10;4
219;ОСТ;35/10;1
220;Первомайская;35/10;10
221;Передовик;35/10;4
222;Перовская;35/10;4
223;Петр-Херсонец;35/10;1.6
224;Подколки;35/10;4
225;Поимская;35/10;4
226;Покровка;35/10;4
227;Покровка-1;35/10;4
228;Полевая;35/10;10
229;Полибино;35/10;4
230;Преображенка;35/10;4
231;Привольновская;35/10;2.5
232;Прогресс;35/10;3.2
233;Пустобаевская;35/10;4
234;Путятино;35/10;4
235;Ранняя;35/10;1.6
236;Ратчино;35/10;4
237;Родина;35/10;4
238;Родинская;35/10;4
239;Ромашкинская;35/10;3.2
240;Рубежинская;35/10;4
241;Рязановка;35/10;2.5
242;Сагарчинская;35/10;4
243;Садовая;35/10;4
244;Садовая;35/10;4
245;Самарская;35/10;6.3
246;Сара;35/10;6.3
247;Свердловская;35/10;4
248;Секретарка;35/10;4
249;Сенная;35/10;2.5
250;Советская;35/10;4
251;Советская;35/10;1.6
252;Совхозная;35/10;4
253;Сокол;35/10;4
254;Софиевка;35/10;4
255;Спасская;35/10;4
256;Спутник;35/10;4
257;Староборискино;35/10;4
258;Степановка;35/10;4
259;Степановская;35/10;6.3
260;Степная;35/10;2.5
261;Степная;35/10;25
262;Струковская;35/10;2.5
263;Сыртинская;35/10;4
264;Таллинская;35/10;4
265;Таналыкская;35/10;4
266;Тёпловская;35/10;2.5
267;Троицкое;35/10;2.5
268;Тугустемирская;35/10;4
269;Украинка;35/10;2.5
270;Ульянова;35/10;1.6
271;Уральская;35/10;4
272;Уранбаш;35/10;6.3
273;Фрунзе;35/10;4
274;Хабарная;35/10;4
275;Хмелевская;35/10;4
276;Хортица;35/10;4
277;Хуторская;35/10;4
278;Цвиллингская;35/10;4
279;Центральная;35/10;10
280;Чапаевская;35/10;2.5
281;Чесноковская;35/10;4
282;Чкаловская;35/10;4
283;Шаболовская;35/10;4
284;Шаповаловская;35/10;4
285;Электрозавод;35/10;4
286;Юность;35/10;4
287;Яшкинская;35/10;4
288;Александровка;35/6;6.3
289;Восточная;35/6;2.5
290;Городская;35/10;10
291;Елатомка;35/6;2.5
292;Западная;35/6;16
293;Кумакский Водозабор;35/6;3.2
294;Насосная-2;35/6;2.5
295;Насосная-3;35/6;4
296;Полив-1;35/6;2.5
297;Полив-3;35/6;4
298;Юбилейная;35/6;6.3
299;Юлия;35/6;3.15
300;Южная;110/10/6;25
301;Заглядино;35/6;3.2
302;Строительная;110/6;6.3
