Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ В.Дубрава;1972;4.1;52.3086343104036;37.8813497922599
ПС 35/10 кВ Рахманово;1980;5;52.6525748317539;37.6954449516225
ПС 35/10 кВ Сергиевская;1979;6.5;52.3556823189083;37.6870186510398
ПС 110/35/10 кВ Кр. Заря;1981;20;52.7880595352946;37.6781375739157
ПС 35/10 кВ Липовец;2003;2.5;52.4353054128909;37.674820108031
ПС 35/10 кВ Никольская;1966;5.7;52.2936989739201;37.6675374211821
ПС 35/10 кВ Судбищи;1964;2.5;52.9613876590171;37.6645188409552
ПС 35/10 кВ Мезенцево;1969;10.3;52.5257289281547;37.6387054856546
ПС 35/10 кВ В.Ольшаное;1977;6.5;52.1368840630651;37.6366921424724
ПС 35/6 кВ Пушкарская;2014;12.6;52.4287355399739;37.6229850689199
ПС 110/6 кВ ПМ;1979;20;52.4190586155284;37.584005144044
ПС 110/35/6 кВ Черкасская;1964;65;52.425566624461;37.5678248526293
ПС 110/6 кВ Пластмасс;1972;32;52.4247617956859;37.5634723043976
ПС 110/35/10/6 кВ Мясокомбинат;1993;10;52.4394803435365;37.5621926416454
ПС 35/10 кВ Михайловка;1982;2.5;52.8710401975133;37.5594359957789
ПС 110/35/10 кВ Совхозная;1985;10;52.4035824120306;37.5486397280368
ПС 35/10 кВ ССК;1975;3.4;52.4187007793736;37.5282605685716
ПС 110/35/10 кВ Долгое;1979;26;52.0520847112697;37.524145790787
ПС 35/10 кВ Росстани;1980;5;52.3531231395105;37.5105279338541
ПС 35/10 кВ Крутое;1972;5;52.4414730527461;37.4997820970019
ПС 35/10 кВ Тим;1992;1.6;52.1249814348137;37.462166631951
ПС 35/10 кВ Корсеево;1964;1;52.9661929271723;37.4486412304222
ПС 35/10 кВ Хомутово;1964;8;52.8618291173728;37.4134803848052
ПС 110/35/10 кВ Шатилово;1984;10;52.9950180495068;37.3919431274914
ПС 35/10 кВ Парамоново;1962;6.5;53.157417317834;37.3799160728208
ПС 110/10 кВ Речица;1989;12.6;52.4104329823941;37.3786993142219
ПС 35/10 кВ Введенское;1984;3.4;52.3026282023007;37.3756200938982
ПС 35/10 кВ Корсаково;1981;6.5;53.2517090824073;37.3477126325815
ПС 110/10 кВ Р.Брод;1981;15.6;52.6245809993813;37.3440967193075
ПС 35/10 кВ Урынок;1974;3.2;52.0717829911415;37.3308777384104
ПС 35/10 кВ Паньково;1986;1.6;53.0297296980579;37.3285288129541
ПС 35/10 кВ Н.Жерновец;1976;3.2;52.4877566475602;37.2927039766406
ПС 110/35/10 кВ Верховье I;1964;26;52.8109365174003;37.247381220591
ПС 35/10 кВ Песочная;1987;6.4;52.8337283756442;37.2038392921272
ПС 110/35/10 кВ Верховье II;1977;80;52.8461325489012;37.18861145164
ПС 35/10 кВ Ярище;1975;2.5;52.2411588166933;37.1474804422955
ПС 35/10 кВ Спасская;1983;4.1;52.1256376361223;37.1089202825716
ПС 35/10 кВ Скородное;1976;3.2;52.774282071795;37.0992692050337
ПС 35/10 кВ Варваринка;1962;5;53.1089703224682;37.0866920664998
ПС 35/10 кВ Спешнево;1977;3.2;53.2355772278513;37.0794345329688
ПС 35/10 кВ Дросково;1975;6.5;52.4901692361388;37.0533714213478
ПС 110/35/10 кВ Колпны-110;1983;26;52.2379803632748;37.0527330338453
ПС 110/35/10 кВ Новосиль;1974;20;52.9841752599772;37.023762531876
ПС 35/10 кВ Колпны-35;1973;12.6;52.2390355059773;37.0128226147878
ПС 35/10 кВ Одинок;1988;3.2;53.0542766740987;36.9023807517743
ПС 110/35/10 кВ  Залегощь;1970;26;52.892026455388;36.8993899757318
ПС 35/10 кВ  Гладкое;1998;2.5;53.2093020477507;36.890391082936
ПС 110/35/10 кВ Покровская;1978;20;52.6166446724103;36.8797846323804
ПС 35/6 кВ  Сахарный завод;2007;4;52.8916244723687;36.8680161728916
