"№ ПС/ТП";"Наименование";"Установленная мощность, МВА";"Классы напряжения"
491;"ПС 110 кВ Троицкая";5;"110/10"
492;"ПС 220 кВ Апрельская";125;"220/110/10"
496;"ПС 220 кВ Бумажная";432;"220/110/35/10"
497;"ПС 220 кВ Владимирская";406.3;"220/110/10"
501;"ПС 220 кВ Горная";245;"220/110/10"
506;"ПС 220 кВ Ирень";450;"220/110/35/10"
508;"ПС 220 кВ Искра";250;"220/110/10"
509;"ПС 220 кВ Калийная";250;"220/110/10"
515;"ПС 220 кВ Каучук";126;"220/110/10"
548;"ПС 220 кВ Светлая";125.8;"220/110/6"
552;"ПС 220 кВ Соболи";500;"220/110/10"
557;"ПС 220 кВ Титан";400;"220/110/10"
560;"ПС 220 кВ Химкомплекс";250;"220/110/10"
561;"ПС 220 кВ Цемент";250;"220/110/10"
566;"ПС 220 кВ Эмаль";250;"220/110/6"
575;"ПС 500 кВ Калино";1432;"500/220/110/10"
581;"ПС 500 кВ Северная";1602;"500/220/15"
