№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
1;Березниковская;35000/6000;20
2;Бондюг;110000/35000/10000;12,6
3;Быгель;110000/35000/10000;80
4;Вая;35000/10000;1
5;В.Язьва;35000/10000;2,5
6;Волынка;110000/35000/6000;20
7;Галкинская;110000/10000;20
8;Городище;35000/10000;8
9;Губдор;110000/10000;3,2
10;Касиб;35000/10000;1,6
11;Керчево;110000/10000;12,6
12;Красновишерск;110000/35000/6000;50
13;Кузнецовская;35000/10000;8
14;Мутиха;35000/10000;1
15;Ныроб;110000/35000/10000;16,3
16;Половодово;35000/10000;5,7
17;Правобережная;110000/35000/10000;32
18;Пыскор;35000/10000;5
19;Пянтег;110000/10000;8,8
20;Рассохи;35000/10000;1
21;Романово;35000/10000;2,5
22;Сильвинит;110000/6000;5
23;Содовая-1;35000/6000;10
24;Содовая-2;35000/6000;30
25;Содовая-3;110000/6000;80
26;Соликамск-110;110000/35000/10000/6000;229,5
27;Соликамск-городская;35000/6000;32
28;Тохтуево;35000/10000;8
29;Тюлькино;110000/35000/10000;20
30;Уролка;35000/10000;1
31;Усть-Игум;35000/10000;8
32;Цепел;35000/10000;1
33;Чердынь;110000/10000;20
34;Шемейный;35000/10000;1,6
35;Шубино;35000/10000;4
36;Яйва;35000/6000;20
37;Асово;35000/10000;1,6
38;Аспа;35000/10000;3,6
39;Ашап;35000/10000;8
40;Березовка;35000/10000;20
41;Брехово;35000/10000;8
42;Воскресенск;35000/10000;4,3
43;Ергач;35000/6000;11,9
44;Зарубино;35000/10000;3,2
45;Ильичевская;35000/10000;4
46;Калинино;35000/10000;7,2
47;Калиничи;110000/35000/10000;50
48;Карьево;110000/35000/6000;32
49;Комсомольская;35000/10000;12,6
50;Красноармейская;35000/10000;32
51;Красный Яр;35000/10000;5
52;Красный Ясыл;35000/10000;6,4
53;Кунгур;110000/35000/6000;63
54;Ленск;35000/10000;8
55;Мазунино;110000/35000/10000;17,6
56;Медянка;35000/10000;8
57;Новокунгурская;110000/35000/10000;32
58;Орда;35000/10000;12,6
59;Посад;110000/10000;20
60;Промбаза;35000/6000;9,6
61;Сабарка;35000/10000;4
62;Серга;35000/10000;8
63;Совхоз;35000/10000;8
64;Сосновка;35000/10000;11,2
65;Суда;110000/35000/10000;26
66;Суксун;110000/35000/10000;30
67;Уинск;35000/10000;8
68;Юрман;35000/10000;32
69;Андреевка;35000/10000;2,6
70;Бабка;110000/10000;8,8
71;Беляевка;35000/10000;3,6
72;Б.Соснова;110000/35000/10000;41
73;Буб;35000/10000;5
74;Вознесенск;110000/35000/10000;18,5
75;Городская;110000/35000/10000;20
76;Дворец;35000/10000;3,2
77;Дружба;35000/10000;8
78;Дуброво;35000/10000;4
79;Екатерининск;35000/10000;2,5
80;Зюкайка;110000/35000/10000;14
81;Карагай;35000/10000;12,6
82;Кизьва;35000/10000;1,6
83;Киприно;35000/10000;4
84;К.Демьянск;110000/35000/10000;26
85;Кулики;35000/10000;1,6
86;Левино;35000/10000;1,6
87;Лужково;35000/10000;6,4
88;Малахово;110000/10000;50
89;Меркуши;35000/10000;2,5
90;Монастырка;35000/10000;1,6
91;Морозово;110000/10000;12,6
92;Нердва;110000/10000;8,8
93;Обва;35000/10000;2,5
94;Острожка;35000/10000;8,8
95;Оханск;35000/10000;12,6
96;Очер;110000/35000/10000;32
97;Павловская;110000/35000/10000;80
98;Петропавловск;35000/10000;5
99;Полозово;110000/10000;5
100;Рождественск;35000/10000;2,5
101;Рябины;35000/10000;8
102;Савино;35000/10000;12,6
103;С.Коммунар;110000/35000/10000;20
104;Сепыч;110000/10000;12,6
105;Сива;35000/10000;10,3
106;Стрелка;110000/10000;5
107;Тойкино;35000/10000;5
108;Ударник;110000/10000;6,3
109;Факел;110000/35000/10000;10
110;Частые;110000/10000;26
111;Черновская;110000/35000/10000;20
112;Шлыки;35000/10000;5
113;Андроновская;110000/6000;32
114;Балатовская;110000/6000;75
115;Балмошная;110000/35000/6000;50
116;Бахаревка;110000/10000;80
117;Берег;110000/35000/6000;80
118;Бор;110000/10000;50
119;Восточная;35000/6000;20
120;Выставка;35000/6000;20
121;Гайва;35000/6000;20
122;Гипермаркет;35000/6000;20
123;ГНС-5;35000/6000;3,2
124;Голованы;110000/35000/6000;80,5
125;Грачёва;35000/6000;32
126;Гудкова;35000/6000;48
127;Данилиха;110000/35000/6000;126
128;Дзержинская;35000/6000;30
129;Док;35000/6000;20
130;Долина;110000/35000/10000;50
131;Дорожная;35000/6000;3,15
132;Егошиха;110000/35000/6000;80
133;Загарье;110000/6000;50
134;Закамская;35000/6000;6,4
135;Заозерье;35000/6000;8
136;Заостровка;110000/10000;50
137;Западная;110000/35000/6000;80
138;Ива;110000/6000;50
139;Котельная;35000/6000;8
