name;voltage;power
ТПС Бородулино;110;50
ТПС Верещагино;110;50
ТПС Зюкай;110;32
ТПС Менделеево;110;32
ТПС Григорьевская;110;32
ТПС Сюзьва;110;32
ТПС Чайковская;110;50
ТПС Оверята;110;50
ТПС Курья;110;32
ТПС Пермь-2;35;48
ТПС Левшино;35;52.6
ТПС Бобки;110;20
ТПС Дивья;110;20
ТПС Кухтым;110;20
ТПС Боковая;110;17.5
ТПС Парма;110;17.5
ТПС Шестаки;110;20
ТПС Блочная;110;20
ТПС Бахаревка;35;48.64
ТПС Мулянка;110;45
ТПС Кукуштан;110;40
ТПС Ергач;110;31
ТПС Кунгур;35;49.12
ТПС Кишерть;110;31
ТПС Тюриково;110;31
ТПС Лек;110;31
ТПС Глухарь;110;32
ТПС Осенцы;110;32
ТПС Маховатня;110;20
ТПС Губаха;35;32
ТПС Половинка-Чусовская;35;41.28
ТПС Углеуральская;110;20
ТПС Расик;110;20
ТПС Копи;35;42.5
ТПС Всеволодо-Вильва;110;32
ТПС Люзень;110;32
ТПС Соликамск;35;17.240000000000002
ТПС Березники-сорт;110;41
ТПС Обходная;110;32
ТПС Путейная;110;32
ТПС Ленва;110;32
ПС Дурыманы;110;63
ПС Сибирь;110;80
ПС Пермяково;110;126
ПС Минерал;110;64
ТПС Ляды;110;31
ТПС Валежная;35;46.4
ТПС Кутамыш;110;19
ТПС Вереинский;35;65.5
ТПС Чусовская;110;53.14
ТПС Всесвятская;35;38.6
ТПС Пашия;35;20
ТПС Койва;110;20
ТПС Бисер;110;20
ТПС Теплая Гора;110;23.5
ТПС Европейская;110;20
ТПС Лямино;35;42.25
ТПС Заготовка;110;32
