№ п/п;Наименование центра питания;Установленная мощность, МВА
1;ПС 110/10 Анненково;12.6
2;ПС 110/10 Арбеково;32
3;ПС 110/10 Арбеково-2;32
4;ПС 110/10 Ардым;12.6
5;ПС 110/10 Башмаково;12.6
6;ПС 110/10 Башмаково-2;12.6
7;ПС 110/10 Бессоновка;32
8;ПС 110/10 Большая Лука;8.8
9;ПС 110/10 Большой Колояр;5
10;ПС 110/10 Вазерки;12.6
11;ПС 110/10 Верхний Ломов;12.6
12;ПС 110/10 Веселовка;16.3
13;ПС 110/10 Волхон Умет;12.6
14;ПС 110/10 Волчий Враг;12.6
15;ПС 110/10 Дружаевка;6.3
16;ПС 110/10 ДСК;20
17;ПС 110/10 Евлашево;20
18;ПС 110/10 Земетчино;12.6
19;ПС 110/10 ЗТП;20
20;ПС 110/10 Изумрудная;50
21;ПС 110/10 Калдусы;6.3
22;ПС 110/10 Кириллово;5
23;ПС 110/10 КОС;16.3
24;ПС 110/10 Красная Дубрава;2.5
25;ПС 110/10 Куракино;6.3
26;ПС 110/10 Лесхоз;20
27;ПС 110/10 Махалино;20
28;ПС 110/10 Мещерск;80
29;ПС 110/10 Наровчат-2;32
30;ПС 110/10 Невежкино;6.3
31;ПС 110/10 Новая;20
32;ПС 110/10 Новая Толковка;5
33;ПС 110/10 Новозападная;80
34;ПС 110/10 Пачелма с/х;6.3
35;ПС 110/10 Пашково;5
36;ПС 110/10 Поселки;12.6
37;ПС 110/10 Пяша;8.8
38;ПС 110/10 Рамзай;2.5
39;ПС 110/10 Средняя Елюзань;6.3
40;ПС 110/10 Студенец;5
41;ПС 110/10 Сура;12.6
42;ПС 110/10 Табаковка;2.5
43;ПС 110/10 Тарханы;5
44;ПС 110/10 Терновка;32
45;ПС 110/10 ХПП;20
46;ПС 110/10 Черная Пятина;6.3
47;ПС 110/10 Чумаево;2.5
48;ПС 110/10 Юбилейная;50
49;ПС 110/10/6 Заводская;50
50;ПС 110/10/6 Заря;80
51;ПС 110/10/6 Маяк;80
52;ПС 110/10/6 Ферриты;65
53;ПС 110/35/10 Беднодемьяновск;20
54;ПС 110/35/10 Беково;16.3
55;ПС 110/35/10 Белинский;26
56;ПС 110/35/10 Вадинск;20
57;ПС 110/35/10 Верхозим;20
58;ПС 110/35/10 Вишневое;6.3
59;ПС 110/35/10 Городище;20
60;ПС 110/35/10 Даниловка;16.3
61;ПС 110/35/10 Знаменка;12.6
62;ПС 110/35/10 Колышлей;20
63;ПС 110/35/10 Кондоль;20
64;ПС 110/35/10 Лопатино;20
65;ПС 110/35/10 Лунино с/х;20
66;ПС 110/35/10 Малая Сердоба;12.6
67;ПС 110/35/10 Мокшан;20
68;ПС 110/35/10 Неверкино;12.6
69;ПС 110/35/10 Панкратовка;50
70;ПС 110/35/10 Прогресс;20
71;ПС 110/35/10 Русский Камешкир;12.6
72;ПС 110/35/10 Сосновоборск;26
73;ПС 110/35/10 Сурск;32
74;ПС 110/35/10 Сурск-старая;31
75;ПС 110/35/10 Тамала;16.3
76;ПС 110/35/10 Телегино;12.6
77;ПС 110/35/10 Титово;12.6
78;ПС 110/35/10 Цветочная;50
79;ПС 110/35/10/6 Водозабор;50
80;ПС 110/35/10/6 Компрессорная;63
81;ПС 110/35/6 Исса;63
82;ПС 110/35/6 Каменка;31
83;ПС 110/35/6 Кижеватово;80
84;ПС 110/35/6 Соседка;80
85;ПС 110/6 Восточная;80
86;ПС 110/6 Западная;25
87;ПС 110/6 КТМ;10
88;ПС 110/6 Мясокомбинат;16.3
89;ПС 110/6 Сердобск-2;5
90;ПС 110/6 Химмаш;123
91;ПС 110/6 ЭМЗ;20
92;ПС 110/6 Южная;100
93;ПС 35/10 9-е января;2.5
94;ПС 35/10 Анучино;8
95;ПС 35/10 Армиево;6.5
96;ПС 35/10 Бакшеевка;20
97;ПС 35/10 Балтинка;2.5
98;ПС 35/10 Белынь;4
99;ПС 35/10 Березовка;5
100;ПС 35/10 Большая Елань;12.6
101;ПС 35/10 Большая Ижмора;4.1
102;ПС 35/10 Большой Вьясс;4.1
103;ПС 35/10 Бондовка;8
104;ПС 35/10 Бояровка;5
105;ПС 35/10 Варварино;2.5
106;ПС 35/10 Васильевка;8
107;ПС 35/10 Веденяпино;6.5
108;ПС 35/10 Верхний Шкафт;3.2
109;ПС 35/10 Веселовка;2.5
110;ПС 35/10 Вирга;6.5
111;ПС 35/10 Владыкино;4.1
112;ПС 35/10 Водозабор;8
113;ПС 35/10 Воскресеновка;8
114;ПС 35/10 Гидростройдеталь;32
115;ПС 35/10 Голицино;6.5
116;ПС 35/10 Елизаветино;8
117;ПС 35/10 Зеленодольская;6.5
118;ПС 35/10 Золоторевка;8
119;ПС 35/10 Ильмино;4.1
120;ПС 35/10 Казачья Пелетьма;5
