№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
1;Богополь;110/10;692422, Приморский край, Кавалеровский р-н, Богополь, Братьев Швед ул
2;Вадимовка;110/10;692387, Приморский край, Черниговский р-н, Вадимовка с, Некрасова ул
3;Глубинная;110/10;692178, Приморский край, Красноармейский р-н, Глубинное с
4;Дмитриевка;110/10;692397, Приморский край, Черниговский р-н, Дмитриевка с, Партизанская ул
5;Казармы;110/10;692485, Приморский край, Надеждинский р-н, Раздольное п, Шоссейная 15 - (ориентир) - 2 км на северо-запад от ориентира
6;Кипарисово;110/10;692481, Приморский край, Надеждинский р-н, Кипарисово
7;Мучная;110/10;692372, Приморский край, Черниговский р-н, Черниговка с, Заводская ул
8;Новый мир;110/10;Приморский край, Большой Камень г, Южная Ливадия
9;Ольга;110/10;692460, Приморский край, Ольгинский р-н, Ольга пгт, Партизанская ул
10;Песчаная;110/10;692847, Приморский край, Шкотовский р-н, Рождественка д
11;Пластун;110/10;692152, Приморский край, Тернейский р-н, Пластун пгт, Энергетиков, дом № 1
12;Подъяпольск;110/10;692828, Приморский край, Шкотовский р-н, Подъяпольский п, Зеленая ул, дом № 24
13;Приозерная;110/10;692265, Приморский край, Хорольский р-н, Приозерное с
14;Раздольное 2;110/10;Приморский край, Надеждинский р-н, Раздольное п (Радиоцентр)
15;Тереховка;110/10;692493, Приморский край, Надеждинский р-н, Барановская ж/д_ст
16;Троица;110/10;692725, Приморский край, Хасанский р-н, Зарубино пгт
17;Промышленная;110/10/6;692500, Приморский край, Уссурийск г, Коммунальная
18;Разрез;110/10/6;"Приморский край, Пожарский р-н, Промзона РУ""Лучегорскуголь"""
19;Барабаш;110/35/10;692723, Приморский край, Хасанский р-н, Барабаш с, Восточная Слобода ул
20;Игнатьевка;110/35/10;692023, Приморский край, Пожарский р-н, Игнатьевка с
21;Камень-Рыболов;110/35/10;692682, Приморский край, Ханкайский р-н, Камень-Рыболов с, Подстанционная ул, дом № 7, корпус а
22;Краскино;110/35/10;692715, Приморский край, Хасанский р-н, Краскино пгт, Новокиевская ул, дом № 71
23;Лучегорск;110/35/10;692001, Приморский край, Пожарский р-н, Лучегорск пгт, 5-й микрорайон
24;М (Манзовка);110/35/10;692390, Приморский край, Черниговский р-н, Сибирцево пгт, Шоссейная ул
25;Новопокровка;110/35/10;692120, Приморский край, Красноармейский р-н, Новопокровка с
26;Петровичи;110/35/10;692278, Приморский край, Хорольский р-н, Петровичи с
27;Полевая;110/35/10;Приморский край, Октябрьский р-н, Стуговка
28;Преображение;110/35/10;692998, Приморский край, Лазовский р-н, Преображение пгт, Советская ул
29;Пушкинская;110/35/10;"692495, Приморский край, Надеждинский р-н, Вольно-Надеждинское с, 160 м на Юго-Восток от поворота на гос. трассе ""Уссури"" на свинокомплекс ""Дальний"""
30;Раздольное 1;110/35/10;Приморский край, Надеждинский р-н, Раздольное п (Раздольное)
31;Рощино;110/35/10;692130, Приморский край, Красноармейский р-н, Рощино с, Энергетиков ул, дом № 4
32;Славянка;110/35/10;692701, Приморский край, Хасанский р-н, Славянка пгт, Ленинская ул
33;Тайфун;110/35/10;692995, Приморский край, Лазовский р-н, Киевка с
34;Хороль;110/35/10;692251, Приморский край, Хорольский р-н, Хороль с, Лазо ул, дом № 1
35;Черниговка;110/35/10;692372, Приморский край, Черниговский р-н, Черниговка с, Октябрьская ул, дом № 190
36;А;110/35/6;690034, Приморский край, Владивосток г, Стрелковая ул, дом № 23
37;Арсеньев 1;110/35/6;692335, Приморский край, Арсеньев г, Смирнова ул, дом № 9
38;Береговая 1;110/35/6;692801, Приморский край, Большой Камень г, Лебедева ул, дом № 1
39;Бурная;110/35/6;690003, Приморский край, Владивосток г, Бестужева ул, дом № 23, корпус б
40;Бурун;110/35/6;Приморский край, Владивосток г, Кирова ул, дом № 19, корпус б
41;Волчанец;110/35/6;692916, Приморский край, Партизанский р-н, Волчанец п, Шоссейная ул
42;ВТЭЦ-1;110/35/6;690091, Приморский край, Владивосток г, Западная ул, дом № 29
43;Голдобин;110/35/6;690063, Приморский край, Владивосток г, Гастелло ул, дом № 20
44;Голубинка;110/35/6;690014, Приморский край, Владивосток г, Толстого ул, дом № 27
45;Давыдовка;110/35/6;692496, Приморский край, Надеждинский р-н, Тавричанка п, РВС
46;Екатериновка;110/35/6;692911, Приморский край, Партизанский р-н, Екатериновка, Кооперативная ул, дом № 14
47;Залив;110/35/6;690091, Приморский край, Владивосток г, Западная ул
48;Западная;110/35/6;692730, Приморский край, Артем г, Угловое пгт, Красногвардейская ул
49;Кожзавод;110/35/6;692502, Приморский край, Уссурийск г, Штабского ул
50;Кролевцы;110/35/6;692778, Приморский край, Артем г, Заводской пгт, Автобаза
51;Липовцы;110/35/6;692567, Приморский край, Октябрьский р-н, Липовцы пгт, пер.Сосновый
52;Михайловка;110/35/6;692651, Приморский край, Михайловский р-н, Михайловка с, Калининская ул
53;Молодежная;110/35/6;692330, Приморский край, Арсеньев г, Пограничная ул, дом № 74
54;Надаровская;110/35/6;692001, Приморский край, Пожарский р-н, Лучегорск пгт
55;Находка;110/35/6;Приморский край, Находка г, Пограничная ул
56;Николаевка;110/35/6;Приморский край, Дальнегорский р-н, Николаевский Рудник
57;Новоникольск;110/35/6;692500, Приморский край, Уссурийск г, Новоникольское ш
58;Орлиная;110/35/6;690106, Приморский край, Владивосток г, Нерчинская ул
59;Павловка 1;110/35/6;692656, Приморский край, Михайловский р-н, Новошахтинский пгт
60;Павловка 2;110/35/6;692656, Приморский край, Михайловский р-н, Новошахтинский пгт, Вокзальная ул
61;Плавзавод;110/35/6;692434, Приморский край, Дальнегорский р-н, Рудная Пристань с
62;Седанка;110/35/6;690024, Приморский край, Владивосток г, Айвазовского ул
63;Спутник;110/35/6;690025, Приморский край, Владивосток г, Минеральная ул
64;Студгородок;110/35/6;692519, Приморский край, Уссурийск г, Раздольная ул, дом № 4, корпус б
65;Уссурийск 1;110/35/6;692502, Приморский край, Уссурийск г, Владивостокское ш, дом № 28, корпус в
66;Факел;110/35/6;Приморский край, Шкотовский район, шахта им.Артема
67;Чайка;110/35/6;690024, Приморский край, Владивосток г, Айвазовского ул
68;Ярославка;110/35/6;692270, Приморский край, Хорольский р-н, Ярославский пгт, Ленинская ул, дом № 26
69;1Р;110/6;Приморский край, Владивосток г, Жигур ул
70;2Р;110/6;Приморский край, Владивосток г, Иртышская ул
71;Амурская;110/6;Приморский край, Владивосток г, Комсомольская ул
72;Восток;110/6;692133, Приморский край, Красноармейский р-н, Восток пгт
73;Голубовка;110/6;Приморский край, Находка г, 1-я Промышленная, дом № 14
74;Горностай;110/6;Приморский край, Владивосток г, дом № 23
75;Гранит;110/6;692519, Приморский край, Уссурийск г, Фрунзе ул
76;Де-фриз;110/6;Приморский край, Надеждинский р-н, полуостров Де-фриз
77;ЖБИ 130;110/6;692651, Приморский край, Михайловский р-н, Михайловка с, Привокзальная ул
78;ЖБФ;110/6;Приморский край, Находка г, Портовая ул
79;З;110/6;692500, Приморский край, Уссурийск г, Астафьева
80;Загородная;110/6;690011, Приморский край, Владивосток г, Новожилова ул
81;Котельная 2Р;110/6;Приморский край, Владивосток г, Бородинская ул
82;ЛРЗ;110/6;692510, Приморский край, Уссурийск г, Ветеранов пер
83;Междуречье;110/6;692522, Приморский край, Уссурийск г, Бородинская ул
84;Мингородок;110/6;690037, Приморский край, Владивосток г, Адмирала Юмашева ул
85;Муравейка;110/6;Приморский край, Артем г
86;Насосная;110/6;692001, Приморский край, Пожарский р-н, Лучегорск пгт
87;Новицкое;110/6;692914, Приморский край, Партизанский р-н, Новицкое с, Лесная ул, дом № 8
88;НСРЗ;110/6;Приморский край, Находка г, Заводская
89;Океан;110/6;690108, Приморский край, Владивосток г, Артековская ул
90;Промузел;110/6;Приморский край, Владивосток г
91;Ракушка;110/6;692452, Приморский край, Ольгинский р-н, Ракушка с, Энергетиков, дом № 7
92;Реттиховка;110/6;692393, Приморский край, Черниговский р-н, Реттиховка пгт, Центральная ул
93;Стройиндустрия;110/6;Приморский край, Владивосток г, Снеговая ул
94;Тимофеевка;110/6;692451, Приморский край, Ольгинский р-н, Тимофеевка с, Шоссейная ул
95;Топаз;110/6;Приморский край, Большой Камень г, завод Красный вымпел
96;УКФ;110/6;692500, Приморский край, Уссурийск г
97;Улисс;110/6;690035, Приморский край, Владивосток г, Вязовая ул
98;Учебная;110/6;Приморский край, Находка г
99;ХФЗ;110/6;692856, Приморский край, Партизанск г, Кутузова ул, дом № 23
100;Черемшаны;110/6;692446, Приморский край, Дальнегорский ГО, Черемшаны д
101;Чуркин;110/6;690012, Приморский край, Владивосток г, Харьковская ул
102;Шахта 7;110/6;692760, Приморский край, Артем г, Лобачевского ул
103;Штыково;110/6;692841, Приморский край, Шкотовский р-н, Штыково п
104;Южная;110/6;692860, Приморский край, Партизанск г, Лозовый п, Энергетическая ул
105;Чугуевка;220/110/35/10;692623, Приморский край, Чугуевский р-н, Чугуевка с, Рабочая ул
106;Быт-Незаметное;35/0,4;692132, Приморский край, Красноармейский р-н, Незаметное с
107;Извилинка;35/0,4;692603, Приморский край, Чугуевский р-н, Извилинка с
108;Л;35/0,4;692411, Приморский край, Кавалеровский р-н, Рудный пгт, Радарная, дом № 1
