Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Арсеньев-2;250;220/110/10
ПС 220 кВ Аэропорт;50;220/10
ПС 220 кВ БК-2;126;220/110/6
ПС 220 кВ Волна;280;220/110/6
ПС 220 кВ Высокогорск;20;220/6
ПС 220 кВ Горелое;317,8;220/110/10
ПС 220 кВ Звезда;251;220/10/10
ПС 220 кВ Зеленый угол;126;220/110/10
ПС 220 кВ И;146;220/35/10
ПС 220 кВ К;176;220/110/35/6
ПС 220 кВ Кировка;35;220/35/10
ПС 220 кВ Лесозаводск;40;220/35/10
ПС 220 кВ НПС-38;50;220/10
ПС 220 кВ НПС-40;50;220/10
ПС 220 кВ НПС-41;50;220/10
ПС 220 кВ Патрокл;126;220/110/10
ПС 220 кВ Промпарк;126;220/10
ПС 220 кВ Русская;126;220/110/35
ПС 220 кВ Уссурийск-2;438;220/110/35/6
ПС 220 кВ Широкая;330;220/110/35
ПС 220 Спасск;410;220/110/35/10
ПС 500 кВ Владивосток;501;500/220
ПС 500 кВ Дальневосточная;1002;500/220
ПС 500 кВ Лозовая;501;500/220
ПС 500 кВ Чугуевка 2;501;500/220
