№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;"ПС-2 ""Должицы""";35/10;3.2
2;"ПС-3 ""Талицы""";35/10;1.6
3;"ПС-4 ""Черново""";35/10;5
4;"ПС-5 ""Юбилейная""";35/10;3.2
5;"ПС-6 ""Юшково""";35/10;3.2
6;"ПС-7 ""Палкино""";35/10;8
7;"ПС-8 ""Смуравьево""";35/10/6;7.5
8;"ПС-9 ""Ротово""";35/10;4.1
9;"ПС-10 ""Поддубье""";35/10;3.2
10;"ПС-11 ""Лавры""";35/10;3.2
11;"ПС-12 ""Вышгород""";35/10;1.6
12;"ПС-14 ""В/ч Остров""";35/6;5
13;"ПС-15 ""Творожково""";35/10;1.6
14;"ПС-16 ""Выбор""";35/10;3.2
15;"ПС-17 ""Владимирские лагеря""";35/10;12.6
16;"ПС-18 ""Кр. Луч""";35/10;8
17;"ПС-19 ""Сев. устье""";35/10;1
18;"ПС-20 ""Криуха""";35/10;1.6
19;"ПС-21 ""Вехно""";35/10;3.2
20;"ПС-22 ""Жавры""";35/10;3.2
21;"ПС-23 ""Велье""";35/10;3.2
22;"ПС-24 ""Жадрицы""";35/10;3.2
23;"ПС-25 ""Нов. уситва""";35/10;5
24;"ПС-26 ""Дубровно""";35/10;2.5
25;"ПС-27 ""Андромер""";35/10;3.2
26;"ПС-29 ""Максютино""";35/10;2.6
27;"ПС-30 ""Глазуново""";35/10;3.2
28;"ПС-31 ""Бояриново""";35/10;3.2
29;"ПС-32 ""Алоль""";35/10;3.2
30;"ПС-33 ""Островки""";35/10;3.2
31;"ПС-34 ""Рожковичи""";35/10;5
32;"ПС-35 ""Черпессы""";35/10;1.6
33;"ПС-37 ""Борки""";35/10;4.1
34;"ПС-38 ""Усмынь""";35/10;2.5
35;"ПС-39 ""Лехово""";35/10;8
36;"ПС-40 ""Усвяты""";35/10;8
37;"ПС-41 ""Шильская""";35/10;2.5
38;"ПС-42 ""Сосновый бор""";35/6;3.2
39;"ПС-43 ""Каленидиво""";35/10;5
40;"ПС-44 ""Раменье""";35/10;3.2
41;"ПС-45 ""Ждани""";35/10;3.2
42;"ПС-46 ""Ратьково""";35/10;1.6
43;"ПС-48 ""Тимофеевка""";35/10;5
44;"ПС-49 ""Усть-Долыссы""";35/10;3.2
45;"ПС-50 ""Туричино""";35/10;5
46;"ПС-51 ""Хотовань""";35/10;2.5
47;"ПС-52 ""Поцелуево""";35/10;2.5
48;"ПС-53 ""Псков""";110/10/6;80
49;"ПС-54 ""Назимово""";35/10;1.6
50;"ПС-55 ""Боровичи""";35/10;1.6
51;"ПС-56 ""Пухново""";35/10;2.5
52;"ПС-57 ""Миритиницы""";35/10;5
53;"ПС-58 ""Тарасы""";35/10;1.6
54;"ПС-59 ""Оснюги""";35/10;1.6
55;"ПС-60 ""Адорье""";35/10;3.2
56;"ПС-61 ""Струги Красные""";110/35/10;20
57;"ПС-62 ""Полистово""";35/10;1.6
58;"ПС-63 ""Платишино""";35/10;3.2
59;"ПС-64 ""Карамышево""";110/35/10;20
60;"ПС-65 ""Новохованск""";35/10;5
61;"ПС-66 ""Сергейцево""";35/10;5
62;"ПС-67 ""Каськово""";35/10;5
63;"ПС-68 ""Остров""";110/35/10;41
64;"ПС-69 ""Изборск""";110/35/10;16.3
65;"ПС-70 ""В.Луки""";110/35/6;80
66;"ПС-71 ""Духново""";35/10;3.2
67;"ПС-72 ""Б.Загорье""";35/10;3.2
68;"ПС-73 ""Льнокомбинат""";110/6;32
69;"ПС-74 ""Печоры""";110/10;16.3
70;"ПС-75 ""Осыно""";35/10;3.2
71;"ПС-76 ""Пушгоры""";110/35/10;26
72;"ПС-77 ""Демидово""";35/10;4.1
73;"ПС-78 ""Дубрава""";35/10;6.3
74;"ПС-79 ""Дружба""";35/10;5
75;"ПС-80 ""Чудская""";35/10;8
76;"ПС-81 ""Щеб.завод Березка""";35/10;4
77;"ПС-82 ""Опухлики""";35/10;3.2
78;"ПС-83 ""Алексеевка""";35/10;2.5
79;"ПС-85 ""Заплюсье""";35/10;3.2
80;"ПС-100 ""Северная""";110/10;12.6
81;"ПС-112 ""Павы""";110/35/10;6.3
82;"ПС-113 ""Плюсса""";110/35/10;12.6
83;"ПС-114 ""Невель-1""";110/35/10;32
84;"ПС-115 ""Порхов""";110/10;26
85;"ПС-116 ""Дно""";110/35/10;26
86;"ПС-117 ""Дедовичи""";110/35/10;16.3
87;"ПС-118 ""Чихачево""";110/10;12.6
88;"ПС-119 ""Локня""";110/35/10;16.3
89;"ПС-126 ""Речная""";110/6;40
90;"ПС-129 ""Невель-2""";110/10;20
91;"ПС-130 ""Рябики""";110/10/6;50
