Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ А-20;250;220/110/10
ПС 220 кВ А-30;126;220/110/10
ПС 220 кВ Б-10;245;220/110/35/10/6
ПС 220 кВ Вешенская-2;141;220/110/10
ПС 220 кВ Г-20;125;220/110
ПС 220 кВ Городская-2;64;220/10/10
ПС 220 кВ Донецкая;125;220/110/10
ПС 220 кВ Зерновая;289;220/110/35/10
ПС 220 кВ Зимовники;126;220/110/10
ПС 220 кВ Койсуг;500;220/110/27,5
ПС 220 кВ НЗБ;380;220/110/35/27,5/6
ПС 220 кВ НЭЗ;410;220/110/10
ПС 220 кВ Песчанокопская;142,3;220/110/10/6
ПС 220 кВ Погорелово;250;220/110/10
ПС 220 кВ Р-20;400;220/110/10
ПС 220 кВ Р-4;800;220/110/10
ПС 220 кВ Р-40;250;220/110/10
ПС 220 кВ РП Волгодонск;5;220/10
ПС 220 кВ Сальская;300;220/110/10
ПС 220 кВ Т-10;250;220/110/27,5/10/6
ПС 220 кВ Т-15;466;220/110/10
ПС 220 кВ Ш-50;125;220/110/10
ПС 500 кВ Ростовская;900;500/220/10
ПС 500 кВ Шахты;1252;500/220/110/10
