Наименование центра питания;Установленная мощность, МВА
ПС 110/6 кВ Рязань ;146
ПС 110/6 кВ Печатная ;126
ПС 110/10/6 кВ Дашки ;126
ПС 110/10 кВ Песочня ;80
ПС 110/10/6 кВ Горроща ;50
ПС 110/10/6 кВ Дягилево ;80
ПС 110/10 кВ Элеватор ;32
ПС 110/10 кВ Окружная ;16.3
ПС 110/10 кВ Лихачево ;126
ПС 110/10 кВ Центролит ;63
ПС 110/35/6 кВ Факел;160
ПС 110/6 кВ Волокно ;45
ПС 110/10/6 кВ Театральная ;160
ПС 110/6 кВ Разлив ;20
ПС 35/6 кВ Строитель ;32
ПС 220/110/6 кВ Пущино;200
ПС 110/35/10 кВ Заборье ;12.6
ПС 35/10 кВ Солотча ;9.5
ПС 35/10 кВ Мещерская ;2.5
ПС 110/10 кВ Поляны ;80
ПС 110/10 кВ Мурмино ;16.3
ПС 110/10 кВ Ока ;41
ПС 110/10 кВ Есенино ;20
ПС 110/10 кВ Костино ;5
ПС 110/10 кВ Вожа ;12.6
ПС 110/10 кВ Пионерская ;6.3
ПС 110/10 кВ Колос ;26
ПС 110/10 кВ Карелино ;20
ПС 110/10 кВ Комбикорм ;12.6
ПС 110/10 кВ Подвязье ;20
ПС 110/10 кВ Победа ;12.6
ПС 110/10 кВ Елино ;12.6
ПС 110/35/10 кВ Луч ;32
ПС 35/10 кВ Голдино ;10.3
ПС 35/10 кВ Мишино ;5
ПС 35/10 кВ Шоссейная ;2.5
ПС 110/35/10 кВ Виленки ;50
ПС 35/10 кВ Треполье ;2.5
ПС 35/10 кВ Большое Коровино ;8
ПС 110/35/10 кВ Некрасово ;32
ПС 35/10 кВ Горностаевка ;3.6
ПС 35/10 кВ Поздное ;5
ПС 110/6 кВ Цементная ;80
ПС 110/35/10 кВ Пронск ;41
ПС 35/10/6 кВ Погореловский Карьер ;18.8
ПС 35/10 кВ Октябрьская ;5
ПС 35/10/6 кВ Денисово ;7.2
ПС 110/10 кВ Тырново ;12.6
ПС 110/10 кВ Старожилово ;12.6
ПС 110/10 кВ Истье ;80
ПС 110/10 кВ Гулынки ;16.3
ПС 110/10 кВ Столпцы ;12.6
ПС 110/10 кВ Епихино ;2.5
ПС 110/35/10 кВ Касимов ;50
ПС 35/10 кВ Сынтул ;7.2
ПС 35/10 кВ Елатьма ;4.3
ПС 35/10 кВ Кольдюки ;8
ПС 35/10 кВ Моховая ;1.8
ПС 35/10 кВ Затон ;3.4
ПС 110/35/10 кВ Ашуково ;32
ПС 35/10 кВ Телебукино ;12.6
ПС 35/10 кВ Зеленино ;8
ПС 110/10 кВ Бельки ;12.6
ПС 110/35/10 кВ Забелино ;20
ПС 35/10 кВ Лашма ;7.2
ПС 35/10 кВ Кочемары ;2.8
ПС 110/10 кВ Сабурово ;12.6
ПС 110/35/10 кВ Шостье ;12.6
ПС 35/10 кВ Ерахтур ;1.6
ПС 35/10 кВ Нармушадь ;5.8
ПС 35/10 кВ Илебники ;3.2
ПС 35/10 кВ Инякино ;5
ПС 110/10 кВ Соломино ;50
ПС 110/10 кВ Бусаево ;5
ПС 110/10 кВ Тума ;6.3
ПС 110/35/10 кВ Алексеево ;10
ПС 35/10 кВ Малахово ;5.7
ПС 110/35/10/6 кВ Клепики ;60.3
ПС 35/10 кВ Болонь ;5
ПС 110/10 кВ Светлая ;8.8
ПС 35/10 кВ Путятино ;8
ПС 110/10 кВ Кутуково ;5
ПС 110/10 кВ Кирицы ;5
ПС 110/10 кВ Собчаково ;12.6
ПС 110/35/10 кВ Коловрат ;30
ПС 35/10 кВ Родионовка ;2.8
ПС 35/10 кВ Ижевск ;9.6
ПС 35/10 кВ Киструс ;3.6
ПС 35/10 кВ Выжелес;8
ПС 110/10 кВ Сумбулово ;12.6
ПС 110/10/6 кВ Парская ;50
ПС 110/35/10/6 кВ Ермишь ;31
ПС 35/10 кВ Кадом  ;10.3
ПС 110/35/10 кВ Восход ;20
ПС 35/10 кВ Рожково ;4.1
ПС 35/10 кВ Котелино  ;3.2
ПС 110/10 кВ Николаевка  ;2.5
ПС 110/10 кВ Пителино  ;12.6
ПС 110/10 кВ Цна  ;50
ПС 110/35/10/6 кВ Сотницыно ;39.2
ПС 35/10 кВ Каргашино ;12.6
ПС 35/10 кВ Нива ;5.7
ПС 35/10 кВ Студенец ;3.2
ПС 110/35/10 кВ Теньсюпино ;10
ПС 35/10 кВ Ямбирно  ;5.7
ПС 35/10 кВ Желанное  ;3.4
ПС 35/10 кВ Вялсы  ;1.6
ПС 110/10 кВ Свобода ;5
ПС 110/35/10 кВ Чучково ;32
ПС 35/10 кВ Дудкино ;5
ПС 35/10 кВ Аладьино  ;3.4
ПС 35/10 кВ Пертово  ;8
ПС 110/35/10 кВ Шацкая ;35
ПС 35/10 кВ Караулово ;3.2
ПС 35/10 кВ Борки ;5
ПС 35/10 кВ Казачья ;7.2
ПС 110/10 кВ Ольхи ;5
ПС 110/10 кВ Каверино ;5
ПС 110/35/10 кВ Кораблино ;52
ПС 35/10 кВ Пустотино ;5
ПС 35/10 кВ Строилово  ;8
ПС 110/10 кВ Яблонево ;12.6
ПС 110/10 кВ Кипчаково ;8.8
ПС 110/35/10 кВ Милославская ;20
ПС 35/10 кВ Чернава ;8
ПС 35/10 кВ Дубасово ;5.7
ПС 35/10 кВ Луговая ;8
ПС 110/10 кВ Невская ;12.6
ПС 110/10 кВ Давыдово ;12.6
ПС 110/35/10 кВ Сапожок ;20
ПС 35/10 кВ Канино ;5
ПС 110/10 кВ Михеи  ;5
ПС 110/35/10 кВ Сараи ;32
ПС 35/10 кВ Муравлянка  ;4.1
ПС 35/10 кВ Журавлевка  ;4.1
ПС 35/10 кВ Бокино ;4.1
ПС 35/10 кВ Ивановка ;5
ПС 110/10 кВ Можары ;12.6
ПС 110/10 кВ Ламино ;5
ПС 110/6 кВ Скопин ;50
ПС 110/10 кВ Гремячка ;12.6
ПС 110/35/6 кВ Секирино ;45
ПС 35/6 кВ Поплевино  ;15.6
ПС 35/10 кВ Большевик ;5
ПС 35/10 кВ Шелемишево;4.9
ПС 35/10 кВ Самарино ;8
ПС 110/35/10 кВ Горлово ;12.6
ПС 35/10 кВ Клекотки ;8
ПС 110/35/10 кВ Ухолово ;30
ПС 35/10 кВ Михалковская ;5
ПС 110/10 кВ Зорино ;5
