№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
1;Алдан;110;Саха /Якутия/ Респ, Алданский у, г. Алдан
2;Безымянка;110;678954, Саха /Якутия/ Респ, Алданский у, Томмот г
3;Беркакит;110;678990, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г, Беркакит пгт
4;Большой Нимныр;110;678942, Саха /Якутия/ Респ, Алданский у, Большой Нимныр пгт
5;Верхний Куранах;110;678950, Саха /Якутия/ Респ, Алданский у, Верхний Куранах с
6;Городская;110;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
7;Гранитная;110;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
8;ЗИФ;110;678940, Саха /Якутия/ Респ, Алданский у, Нижний Куранах пгт
9;Лебединый;110;678946, Саха /Якутия/ Респ, Алданский у, Лебединый пгт
10;Малый Нимныр;110;Саха /Якутия/ Респ, Алданский у, п. Малый Нимныр
11;РМЗ;110;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
12;Серебряный Бор;110;Саха /Якутия/ Респ, Нерюнгринский у, Серебрянный Бор
13;СХК;110;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
14;ТДЭС;110;678954, Саха /Якутия/ Респ, Алданский у, Томмот г
15;УВД;110;Саха /Якутия/ Респ, Нерюнгринский у, г. Нерюнгри
16;Угольная;110;Саха /Якутия/ Респ, Нерюнгринский у, п. Угольный
17;Фабрика;110;Саха /Якутия/ Респ, Нерюнгринский у, г. Нерюнгри
18;Хатыми;110;678988, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г, Большой Хатыми с
19;Юхта;110;Саха /Якутия/ Респ, Алданский у, в 47 км по трассе М-56 от г. Алдана в сторону г. Нерюнгри
20;Алексеевск;35;678955, Саха /Якутия/ Респ, Алданский у, Томмот г, Алексеевск мкр
21;Аэропорт;35;678980, Саха /Якутия/ Респ, Нерюнгринский у, Чульман пгт
22;Белая Гора;35;Саха /Якутия/ Респ, Алданский у, в 24 км по трассе М-56 от Алдана в сторону г. Нерюнгри
23;Водозабор;35;678900, Саха /Якутия/ Респ, Алданский у, Алдан г
24;Восточная;35;Саха /Якутия/ Респ, Алданский у, г. Алдан
25;ЛДЗ;35;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
26;Левобережная;35;678954, Саха /Якутия/ Респ, Алданский у, Томмот г
27;Ленинский;35;678944, Саха /Якутия/ Респ, Алданский у, Ленинский пгт
28;МПС;35;Саха /Якутия/ Респ, Алданский у, г. Алдан
29;РПБ;35;678955, Саха /Якутия/ Респ, Алданский у, Томмот г, Нагорная ул
30;Укулан;35;678954, Саха /Якутия/ Респ, Алданский у, Томмот г
31;Хатыстыр;35;678930, Саха /Якутия/ Респ, Алданский у, Хатыстыр с
32;ХПВ;35;678960, Саха /Якутия/ Респ, Нерюнгринский у, Нерюнгри г
33;Ыллымах;35;678920, Саха /Якутия/ Респ, Алданский у, Ыллымах пгт
34;Электрокотельная;35;Саха /Якутия/ Респ, Алданский у, г. Алдан
35;Якокит;35;678954, Саха /Якутия/ Респ, Алданский у, Томмот г
36;Якокут;35;678945, Саха /Якутия/ Респ, Алданский у, Якокут с
