Наименование;Установленная мощность, МВА;Классы напряжения;Год ввода в эксплуатацию
ПС 220 кВ Васильевская;500;220/110/10;1976
ПС 220 кВ Головная;210,3;220/110/10;1994
ПС 220 кВ Кинельская;380;220/110/10;1958
ПС 220 кВ Кировская;1060;220/110/10;1984
ПС 220 кВ Комсомолец;250;220/110/10;1980
ПС 220 кВ КС-22;252;220/10;1982
ПС 220 кВ Кубра;400;220/110/10;1991
ПС 220 кВ Левобережная;1030;220/110;2011
ПС 220 кВ Новокуйбышевская;200;220/110/10;1997
ПС 220 кВ Новоотрадная;250;220/110/6;1975
ПС 220 кВ Орловская;200;220/110/10;1983
ПС 220 кВ Оросительная;125;220/110/10;1976
ПС 220 кВ Просвет;250;220/110/6;1974
ПС 220 кВ Серноводская;400;220/110/10;1983
ПС 220 кВ Солнечная;300;220/110/6;1989
ПС 220 кВ Сызрань;505;220/110/35;1987
ПС 220 кВ Томыловская;250;220/110/10;1985
ПС 220 кВ Южная;250;220/110/10;1995
ПС 500 кВ Азот;1051;500/220/110/10;
ПС 500 кВ Красноармейская;801;500/220/35;1981
ПС 500 кВ Куйбышевская;1602;500/220;2014
