№ п/п;Наименование ПС;Класс напряжения ВН/СН/НН ПС, кВ;Sном, МВА;Год ввода в эксплуатацию
;Томашев Колок;110/6;126;2014
;Кряжская;110/35/6;103;1962
;АТД;110/10/6;80.5;1969
;Центральная - 2;110/10/6;80;1985
;Центральная - 3;110/6;80;1990
;Городская-1;110/6;80;1977
;Городская-2;110/10;80;1980
;Городская-3;110/10;85;1981
;Фарада;110/35/6;80;1981
;Клиническая;110/35/6;126;2003
;Студеная;110/6;64;1982
;Северная;110/10;80;2008
;Безымянка-3;110/10;90;1971
;Ботаническая;110/6;80;2006
;Танаевская;110/10;80;2007
;Красноглинская-1;110/35/6;126;2012
;Винтай;110/35/10;45;1960
;Курумоч;110/6;20;1975
;Горная;110/35/6;32;1984
;ДСК-2;110/35/10/6;20;1992
;Серноводская-110;110/35/6;42;1962
;Сергиевская;110/10;32;2012
;КС-21;110/10;252;1982
;Красносельская;110/10;12.5;1978
;Исаклинская;110/35/10;32;1980
;Кошки;110/10;35;1964
;Нижняя Быковка;110/10;6.3;1966
;Русская Васильевка;110/10;6.3;1968
;Новая Кармала;110/10;10;1997
;Надеждино;110/10;6.3;1968
;Ермаково;110/10;6.3;1988
;Садовая;110/10;12.6;1989
;Елховка;110/35/10;32;1995
;Красноярская;110/35/10;50;1994
;Алакаевка;110/35/6;40;1960
;Хилково;110/6;12.6;1975
;Челно-Вершинская;110/35/10;35;1974
;Зубовская;110/10;10;1966
;Кутузовская;110/10;6.3;1984
;Клявлинская;110/35/10;32;1995
;Камышла;110/35/10;50;1996
;Русское Добрино;110/10;2.5;1969
;Шенталинская;110/35/10;32;1993
;Город-1;110/6;20;1972
;Шигоны;110/35/10;16;1983
;Южная;110/6;16;1976
;Восточная;110/6;25;2012
;Портовая;110/6;10;2000
;Районная котельная;110/6;16;1981
;Западная;110/6;25;2001
;Северная;110/6;25;1996
;Ягодное;110/10;25;2010
;Узюково;110/10;6,3;1983
;Мусорка;110/10;6,3;1994
;Хрящевка;110/10;6,3;1992
;Белозерки;110/35/10;6,3;1973
;Лопатино;110/35/10;6,3;1972
;Совхозная;110/35/10;25;1980
;Плотина;110/6;6,3;1972
;Матюшкино;110/35/10;16;1979
;Комсомольская;110/35/6;40;1990
;Зольное;110/35/6;5,6;1952
;Жигулевская;110/35/6;25;2000
;Ремзавод;110/35/10;25;1995
;Александровка;110/35/10;16;1983
;Рождествено;110/35/10;10;1989
;ЖЭТЗ;110/35/6;10;1968
;Алексеевка;110/35/10;80;1991
;Александровка;110/6;6.3;1972
;АСК-2 (ЗРУ-10);110/35/10;80;1992
;Богатое;110/10;26;1986
;Борское;110/35/10;32;1986
;Безымянка-2 (ЗРУ-6);110/6;80;1976
;Вершины;110/10;80;1977
;Волжская-2 (ЗРУ-6);110/6;126;2014
;Георгиевка;110/10;20;1979
;Гидронамыв;110/6;5;1983
;Дубовый Умет;110/35/10;50;1985
;Ерзовка;110/10;80;1977
;Заводская-1 (ЗРУ-6);110/6;80;1989
;Засамарская (ЗРУ-10);110/10;65;2001
;Коханы;110/35/6;35;1968
;Кротовка (ЗРУ-6);110/35/6;40;1957
;Красная Самарка;110/10;15.6;1976
;Кутулук;110/10;32;1981
;Малая Малышевка;110/10;12.6;1985
;Нефтегорская-1;110/35/6;35;1962
;Нефтегорская-2 (ЗРУ-6);110/35/6;80;2014
;НФТП (ЗРУ-10);110/10;50;1984
;Овощная (ЗРУ-6);110/6;50;1985
;Похвистнево-2 (ЗРУ-6);110/35/6;50;1985
;ОРУ-35 Похвистнево тяговая;110/35/10;41;1976
;Птицефабрика;110/10;16;1978
;Сад Город;110/35/10;20;1977
;Северный Ключ;110/10;22.3;1985
;Семеновка;110/10;12.6;1981
;Сосновка;110/35/6;45;2005
;Толевая (ЗРУ-6);110/6;80;1978
;Утевка;110/10;12.6;1979
;Энергия;110/10;6.3;1985
;Черкассы;110/10;50;1992
;Южная (ЗРУ-6);110/6;32;1972
;Абашево;110/10;50;1975
;Августовка;110/35/10;16.3;1973
;Большая Глушица;110/35/10;50;1965
;Большая Черниговка;110/35/10;32;1966
;Висла;110/35/10;50;1982
;Восток;110/10;2.5;1975
;Воздвиженка;110/10;12.6;1986
;Колдыбань;110/35/10;32;1980
;Лесная;110/10;6.3;1976
;Любецкая;110/10;64;1981
;Масленниково;110/10;20;1970
;Морец;110/10;16.3;1986
;Натальино;110/35/10;16;1989
;Новокуровка;110/35/10;16;1990
;Новоспасская;110/35/10;32;1974
;Нулевая;110/10;20;1988
;Обшаровка;110/10;20;1984
;Ольгино;110/35/10;20;1974
;Переволоки;110/35/10;50;1976
;Пестравка;110/35/10;32;1982
;Поляково;110/10;6.3;1991
;Приволжье;110/35/10;50;1981
;Снисски;110/35/6;32;1965
;Совхозная-2;110/35/6;50;1975
;Совхозная-3;110/35/6;64;1978
;Солнечная;110/10;6.3;1974
;Центральная;110/6;80;2009
;Чапаевская;110/35/10;80;1955
