№ п/п;Наименование центра питания;Установленная мощность, МВА
1;ПС 110/35/10 кВ ОРУ-35 Похвистнево тяговая;25
2;ММПС 110 кВ;25
3;ЦРП 10 кВ АСК-2;0
4;ПС 110/35/10 кВ Алексеевка;80
5;ПС 110/35/10 кВ АСК-2;80
6;ПС 110/35/10 кВ Борское;32
7;ПС 110/35/10 кВ Дубовый Умет;50
8;ПС 110/35/10 кВ Сад-город;20
9;ПС 110/35/6 кВ Коханы;35
10;ПС 110/35/6 кВ Кротовка;40
11;ПС 110/35/6 кВ Мелиорация;32
12;ПС110/35/6 кВ Нефтегорская-1;35
13;ПС 110/35/6 кВ Нефтегорская-2;80
14;ПС 110/35/6 кВ Похвистнево-2;50
15;ПС 110/35/6 кВ Сосновка;45
16;ПС 110/10 кВ Богатое;26
17;ПС 110/10 кВ Вершины;80
18;ПС 110/10 кВ Георгиевка;20
19;ПС 110/10 кВ Ерзовка;80
20;ПС 110/10 кВ Засамарская;80
21;ПС 110/10 кВ Красная Самарка;15.6
22;ПС 110/10 кВ Кутулук;32
23;ПС 110/10 кВ Малая Малышевка;12.6
24;ПС 110/10 кВ НФТП;50
25;ПС 110/10 кВ Подбельская ПФ;32
26;ПС 110/10 кВ Северный Ключ;22.3
27;ПС 110/10 кВ Семеновка;12.6
28;ПС 110/10 кВ Утевка;12.6
29;ПС 110/10 кВ Энергия;6.3
30;ПС 110/10 кВ Черкассы;50
31;ПС 110/6 кВ Александровка;6.3
32;ПС 110/6 кВ Безымянка-2;80
33;ПС 110/6 кВ Волжская-2;126
34;ПС 110/6 кВ Гидронамыв;15
35;ПС 110/6 кВ Заводская-1;80
36;ПС 110/6 кВ Овощная;50
37;ПС 110/6 кВ Толевая;80
38;ПС 110/6 кВ Южная;32
39;ПС 35/10 кВ Алдаркино;6.3
40;ПС 35/10 кВ Богдановка;4
41;ПС 35/10 кВ Гавриловка;4
42;ПС 35/10 кВ Герасимовка;4
43;ПС 35/10 кВ Домашка;6.3
44;ПС 35/10 кВ Зуевка;4
45;ПС 35/10 кВ Ильичевская;8
46;ПС 35/10 кВ Коноваловка;8
47;ПС 35/10 кВ Кротково;2.5
48;ПС 35/10 кВ Максимовка;6.3
49;ПС 35/10 кВ Неприк;8
