Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Аткарская;276;220/110/35/10
ПС 220 кВ Балаковская;330;220/110/35/6
ПС 220 кВ Возрождение;26,3;220/35/10
ПС 220 кВ Вольская;307;220/110/35/6
ПС 220 кВ Горный;260;220/110/10
ПС 220 кВ Екатериновка-газовая;126;220/10
ПС 220 кВ Ершов;250;220/110/10
ПС 220 кВ Красный Яр;295,6;220/110/10
ПС 220 кВ Подлесное;125;220/110/10
ПС 220 кВ Пушкино;125;220/110
ПС 220 кВ Ртищево;250;220/110/10
ПС 220 кВ Саратовская;680;220/110/35
ПС 220 кВ Хопёр;250;220/110
ПС 220 кВ Центральная;2,5;110/6
ПС 500 кВ Курдюм;1202;500/220/110
