№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
1;Алагир;110/10;22
2;Ардон;110/10;26
3;АЗС;110/10;13.8
4;Беслан;110/10;50
5;Беслан-Север.;110/10;32
6;В-1;110/10;65
7;Верхний Згид;110/10;6.3
8;Восточная;110/10;10
9;Городская;110/10;32
10;Дзуарикау;110/10;12.6
11;Дигора;110/10;20
12;Западная;110/10;30
13;Заманкул;110/10;10
14;Зарамаг;110/10;30
15;Змейская;110/10;17.5
16;Кармадон;110/10;6.3
17;Карца;110/10;32
18;Левобережная;110/10;50
19;Мизур;110/10;16
20;Моздок-110;110/10;32
21;Ногир;110/10;32
22;Нузал;110/10;22
23;Ольгинская;110/10;16
24;Павлодольская-110;110/10;10
25;Победит;110/10;80
26;Предмостная;110/10;20
27;РП-110;110/10;72
28;Северо-Запад.;110/10;50
29;Северо-Восточ.;110/10;40
30;Терек;110/10;20
31;Терская;110/10;32
32;Унал;110/10;6.3
33;Фиагдон;110/10;12.6
34;ЦРП-1;110/10;32
35;Чикола;110/10;20
36;Электроцинк-1;110/10;65
37;Эльхотово;110/10;16
38;Юго-Западная;110/10;50
39;Янтарь;110/10;65
40;Ардон-35;35/10;6.5
41;Архонская;35/10;13.3
42;Бекан;35/10;5
43;Бурон;35/10;4
44;Гизель;35/10;6.3
45;Дарг-Кох;35/10;2.5
46;Дигора-насосная;35/10;2.5
47;Дигора-35;35/10;2.6
48;Кадгарон;35/10;5
49;Комарово;35/10;4
50;Кора-Урсдон;35/10;2.5
51;Коста;35/10;2.5
52;Михайловская;35/10;12.6
53;Мичурино;35/10;4
54;Николаевская;35/10;5
55;Ново-Осетин.;35/10;2.5
56;НК-35;35/10;2.5
57;Осетия;35/10;8
58;Павлодольская-1;35/10;2.5
59;Павлодольская-2;35/10;5
60;ПТФ;35/10;12
61;Редант;35/10;12.6
62;Раздольная;35/10;5
63;Сунжа;35/10;8
64;Тарская;35/10;5
65;Толдзгун;35/10;2.5
66;Троицкая;35/10;8
67;Хумалаг;35/10;6.5
68;Черноярская;35/10;6.5
69;Цалык;35/10;5
70;Фаснал;35/10;8.1
71;Цей;35/10;2.5
72;Электроконтактор;35/10;12.6
73;Южная;35/10;7.2
74;40 Лет Октября;35/10;4
75;Терк-35;35/0,4;0.63
76;Украина;35/0,4;0.63
77;Иристон;110/6;50
